vintage,iso3c,measure,variant,years,value
weo-2024-10,UGA,working_age,Low,2009,15169
weo-2024-10,UGA,working_age,Low,2010,15692
weo-2024-10,UGA,working_age,Low,2011,16233
weo-2024-10,UGA,working_age,Low,2012,16789
weo-2024-10,UGA,working_age,Low,2013,17367
weo-2024-10,UGA,working_age,Low,2014,18003
weo-2024-10,UGA,working_age,Low,2015,18718
weo-2024-10,UGA,working_age,Low,2016,19557
weo-2024-10,UGA,working_age,Low,2017,20493
weo-2024-10,UGA,working_age,Low,2018,21429
weo-2024-10,UGA,working_age,Low,2019,22400
weo-2024-10,UGA,working_age,Low,2020,23386
weo-2024-10,UGA,working_age,Low,2021,24363
weo-2024-10,UGA,working_age,Low,2022,25290
weo-2024-10,UGA,working_age,Low,2023,26163
weo-2024-10,UGA,working_age,Low,2024,27058
weo-2024-10,UGA,working_age,Low,2025,27988
weo-2024-10,UGA,working_age,Low,2026,28954
weo-2024-10,UGA,working_age,Low,2027,29954
weo-2024-10,UGA,working_age,Low,2028,30979
weo-2024-10,UGA,working_age,Low,2029,32020
weo-2024-10,UGA,working_age,Low,2030,33076
weo-2024-10,UGA,working_age,Low,2031,34147
weo-2024-10,UGA,working_age,Low,2032,35241
weo-2024-10,UGA,working_age,Low,2033,36366
weo-2024-10,UGA,working_age,Low,2034,37521
weo-2024-10,UGA,working_age,Low,2035,38704
weo-2024-10,UGA,working_age,Low,2036,39912
weo-2024-10,UGA,working_age,Low,2037,41094
weo-2024-10,UGA,working_age,Low,2038,42240
weo-2024-10,UGA,working_age,Low,2039,43387
weo-2024-10,UGA,working_age,Low,2040,44533
weo-2024-10,UGA,working_age,Low,2041,45677
weo-2024-10,UGA,working_age,Low,2042,46785
weo-2024-10,UGA,working_age,Low,2043,47858
weo-2024-10,UGA,working_age,Low,2044,48923
weo-2024-10,UGA,working_age,Low,2045,49976
weo-2024-10,UGA,working_age,Low,2046,51012
weo-2024-10,UGA,working_age,Low,2047,52008
weo-2024-10,UGA,working_age,Low,2048,52963
weo-2024-10,UGA,working_age,Low,2049,53896
weo-2024-10,UGA,working_age,Low,2050,54808
weo-2024-10,UGA,working_age,Low,2051,55697
weo-2024-10,UGA,working_age,Low,2052,56562
weo-2024-10,UGA,working_age,Low,2053,57403
weo-2024-10,UGA,working_age,Low,2054,58214
weo-2024-10,UGA,working_age,Low,2055,58995
weo-2024-10,UGA,working_age,Low,2056,59745
weo-2024-10,UGA,working_age,Low,2057,60461
weo-2024-10,UGA,working_age,Low,2058,61143
weo-2024-10,UGA,working_age,Low,2059,61795
weo-2024-10,UGA,working_age,Low,2060,62418
weo-2024-10,UGA,working_age,Low,2061,63013
weo-2024-10,UGA,working_age,Low,2062,63579
weo-2024-10,UGA,working_age,Low,2063,64111
weo-2024-10,UGA,working_age,Low,2064,64607
weo-2024-10,UGA,working_age,Low,2065,65064
weo-2024-10,UGA,working_age,Low,2066,65479
weo-2024-10,UGA,working_age,Low,2067,65857
weo-2024-10,UGA,working_age,Low,2068,66194
weo-2024-10,UGA,working_age,Low,2069,66487
weo-2024-10,UGA,working_age,Low,2070,66740
weo-2024-10,UGA,working_age,Low,2071,66954
weo-2024-10,UGA,working_age,Low,2072,67135
weo-2024-10,UGA,working_age,Low,2073,67282
weo-2024-10,UGA,working_age,Low,2074,67388
weo-2024-10,UGA,working_age,Low,2075,67449
weo-2024-10,UGA,working_age,Low,2076,67467
weo-2024-10,UGA,working_age,Low,2077,67448
weo-2024-10,UGA,working_age,Low,2078,67392
weo-2024-10,UGA,working_age,Low,2079,67303
weo-2024-10,UGA,working_age,Low,2080,67178
weo-2024-10,UGA,working_age,Low,2081,67018
weo-2024-10,UGA,working_age,Low,2082,66818
weo-2024-10,UGA,working_age,Low,2083,66573
weo-2024-10,UGA,working_age,Low,2084,66287
weo-2024-10,UGA,working_age,Low,2085,65959
weo-2024-10,UGA,working_age,Low,2086,65589
weo-2024-10,UGA,working_age,Low,2087,65214
weo-2024-10,UGA,working_age,Low,2088,64844
weo-2024-10,UGA,working_age,Low,2089,64450
weo-2024-10,UGA,working_age,Low,2090,64038
weo-2024-10,UGA,working_age,Low,2091,63610
weo-2024-10,UGA,working_age,Low,2092,63186
weo-2024-10,UGA,working_age,Low,2093,62767
weo-2024-10,UGA,working_age,Low,2094,62336
weo-2024-10,UGA,working_age,Low,2095,61891
weo-2024-10,UGA,working_age,Low,2096,61433
weo-2024-10,UGA,working_age,Low,2097,60981
weo-2024-10,UGA,working_age,Low,2098,60529
weo-2024-10,UGA,working_age,Low,2099,60065
weo-2024-10,UGA,working_age,Medium,2009,15169
weo-2024-10,UGA,working_age,Medium,2010,15692
weo-2024-10,UGA,working_age,Medium,2011,16233
weo-2024-10,UGA,working_age,Medium,2012,16789
weo-2024-10,UGA,working_age,Medium,2013,17367
weo-2024-10,UGA,working_age,Medium,2014,18003
weo-2024-10,UGA,working_age,Medium,2015,18718
weo-2024-10,UGA,working_age,Medium,2016,19557
weo-2024-10,UGA,working_age,Medium,2017,20493
weo-2024-10,UGA,working_age,Medium,2018,21429
weo-2024-10,UGA,working_age,Medium,2019,22400
weo-2024-10,UGA,working_age,Medium,2020,23386
