vintage,iso3c,demography_wa_growth,demography_wa_growth_low,demography_wa_growth_high,demography_variant_spread,productivity_hist_long,productivity_hist_decade,productivity_weo_residual,inflation_weo_last,inflation_hist_median,inflation_recent_median,interest_rate_weo_last,interest_growth_differential_weo_last,debt_weo_last,debt_hist_last,debt_hist_min
weo-2024-10,AFG,2.0129,1.6093,2.3926,0.7833,1.4767,-2.2509,,,7.6395,2.8136,,,,,6.3498
weo-2024-10,AGO,2.5163,2.1532,2.8547,0.7015,0.317,-3.1032,-0.6494,11.1054,19.642,19.0051,10.8162,-3.5369,32.7157,73.6821,16.7259
weo-2024-10,ALB,-1.2625,-1.9014,-0.6289,1.2725,4.6157,2.1411,4.3316,2.9628,2.4483,1.462,4.8697,-1.5621,53.6974,59.8113,53.5503
weo-2024-10,ARE,-0.4945,-0.8624,-0.1485,0.7139,-1.7614,2.0746,3.5445,1.4969,4.833,-0.9861,2.307,-3.3157,29.4418,32.436,2.6897
weo-2024-10,ARG,-0.0759,-0.6207,0.4181,1.0388,1.0587,-1.0261,1.1489,8.8731,24.9776,41.5765,3.7368,-6.9735,51.498,155.411,38.9349
weo-2024-10,ARM,-1.506,-2.0873,-0.9776,1.1097,4.8217,4.4157,5.8338,4.0,3.1354,2.2181,7.1529,-1.4052,55.4691,50.7231,16.1017
weo-2024-10,AUS,0.1526,-0.3346,0.5996,0.9342,1.1852,0.5902,1.3213,2.262,3.4042,2.8204,2.5025,-2.0643,45.975,49.0088,9.6655
weo-2024-10,AUT,-0.6057,-1.1277,-0.1307,0.997,0.8546,0.3544,1.3067,2.0843,1.8907,2.122,1.8147,-1.169,80.7069,77.545,65.0314
weo-2024-10,AZE,-0.7338,-1.3331,-0.212,1.1212,2.8628,-0.515,1.7327,2.8974,10.2906,5.998,4.3651,-0.9949,17.353,21.8286,3.2208
weo-2024-10,BDI,2.0955,1.7154,2.4456,0.7302,-1.4959,-1.4048,0.1092,9.329,8.4303,7.2273,3.3408,-9.976,69.1402,62.3625,25.6902
weo-2024-10,BEL,-0.2129,-0.7284,0.2714,0.9998,0.8086,0.426,1.3517,1.6977,1.8712,1.7991,2.0606,-0.9522,118.9534,105.1709,87.3246
weo-2024-10,BEN,2.1993,1.8463,2.5372,0.6909,1.8532,3.5335,3.1788,2.0132,1.8565,0.7675,3.3985,-4.3733,48.6483,54.537,8.3661
weo-2024-10,BFA,2.0122,1.6182,2.384,0.7658,3.1205,2.0959,1.5458,2.2154,1.9451,1.3073,3.8618,-3.2041,47.5282,55.9046,20.0888
weo-2024-10,BGD,-0.1285,-0.6937,0.3828,1.0765,3.4183,4.1007,5.1215,5.3901,5.8443,5.3588,5.6902,-5.8359,41.671,39.3366,27.7198
weo-2024-10,BGR,-1.7294,-2.3521,-1.1647,1.1874,2.3977,2.107,3.6487,2.2932,4.5366,4.5366,2.1269,-2.7053,32.5941,22.0492,14.0639
weo-2024-10,BHR,-0.4078,-0.8453,0.0,0.8453,-0.0125,0.7991,2.0081,1.9121,4.4143,0.261,3.4912,-1.2959,142.0778,123.3203,12.0507
weo-2024-10,BHS,0.0,-0.7194,0.3236,1.043,-0.4252,-0.7615,1.3739,2.0976,1.4186,2.6264,5.3009,1.6133,69.3124,79.6968,18.2117
weo-2024-10,BIH,-1.4033,-1.9897,-0.814,1.1758,7.9321,1.226,3.6699,1.7875,2.4738,2.1258,3.9474,-0.8524,38.5197,32.2154,18.7094
weo-2024-10,BLR,-1.4585,-2.0532,-0.9162,1.137,2.1916,0.0317,2.8977,4.5364,14.4341,12.0145,3.2329,-2.1128,38.4476,40.7199,8.1151
weo-2024-10,BLZ,0.2725,0.0,0.7812,0.7812,-0.1355,-0.1593,0.8161,1.2575,2.0073,0.761,3.8776,0.576,57.0413,66.8333,51.4185
weo-2024-10,BOL,0.6989,0.2154,1.1599,0.9445,1.4629,1.2661,0.5197,3.8,5.5326,0.7763,3.177,-2.8349,106.9387,88.4283,35.3267
weo-2024-10,BRA,-0.6925,-1.2701,-0.1682,1.1019,0.7251,-0.3583,2.2046,3.4697,7.6591,7.0193,6.2345,0.1942,97.5621,84.6755,59.5947
weo-2024-10,BRB,-0.625,-0.6579,0.0,0.6579,-0.088,-0.1589,3.3136,2.8699,2.7215,2.2378,4.754,-0.1652,78.3568,112.9442,62.608
weo-2024-10,BRN,-0.6289,-1.3201,-0.3003,1.0198,-1.1363,-1.8067,1.9332,1.8193,3.0876,-2.5899,0.0,-4.7331,1.8161,2.3292,0.0
weo-2024-10,BTN,-0.6504,-1.1966,0.0,1.1966,4.1241,1.2429,4.7378,4.0611,5.066,4.3808,3.3947,-7.2766,130.2292,116.0649,52.3523
weo-2024-10,BWA,0.6085,0.1269,1.0916,0.9647,1.1885,1.672,1.6019,4.6702,6.8561,4.0409,5.8089,-2.7937,20.4929,20.2793,6.1227
weo-2024-10,CAF,2.8815,2.5493,3.2221,0.6728,-0.5794,-2.5866,-0.8142,3.0981,3.2501,3.164,1.3613,-5.0225,42.8642,57.5584,19.6863
weo-2024-10,CAN,0.22,-0.2675,0.6711,0.9386,0.9644,0.5856,1.4807,2.0358,2.2561,1.5986,0.3518,-3.2404,96.2586,107.4947,67.1814
weo-2024-10,CHE,-0.2312,-0.7246,0.2045,0.9292,0.8148,1.0827,1.3588,0.9901,0.3102,-0.2366,0.0214,-2.1336,27.262,33.3165,33.3165
weo-2024-10,CHL,-0.7202,-1.2717,-0.219,1.0527,2.2576,0.8166,2.2995,2.6866,4.8913,5.4036,2.0159,-2.887,41.7893,39.4134,3.9013
weo-2024-10,CHN,-1.4809,-2.0644,-0.947,1.1174,8.4798,6.2373,4.2105,1.9846,2.8546,1.6195,1.8022,-3.3608,111.1375,84.3809,24.5746
weo-2024-10,CIV,2.1026,1.711,2.4678,0.7567,0.5806,3.3606,3.3882,2.0,2.6341,2.0344,4.1176,-3.8832,51.1407,58.0699,24.6237
weo-2024-10,CMR,2.0292,1.6364,2.3986,0.7623,0.4817,1.0649,1.1549,2.4426,2.213,1.5269,2.9408,-4.0819,32.657,43.1521,11.153
weo-2024-10,COD,2.9367,2.6303,3.227,0.5967,-0.3792,2.4755,1.6236,6.3067,13.3283,6.8069,8.476,-2.1848,4.3585,14.3671,14.3494
weo-2024-10,COG,1.9194,1.5013,2.2934,0.7921,-1.0374,-3.4722,0.2635,3.0954,8.8467,-2.161,3.226,-3.5778,60.7896,99.0095,30.1976
weo-2024-10,COL,-0.5023,-1.0611,0.0,1.0611,1.5603,2.1326,2.1239,3.0,5.175,4.8822,5.0339,-0.9955,56.0423,54.3171,32.3824
weo-2024-10,COM,1.1392,0.657,1.5873,0.9303,0.0683,-0.0334,1.645,1.9606,1.7336,0.8957,0.6965,-4.867,34.3741,33.232,10.2771
weo-2024-10,CPV,0.0,-0.6452,0.1953,0.8405,3.8407,0.8781,3.4534,1.9579,1.1663,1.4579,1.6006,-4.607,84.7907,114.0391,57.4933
weo-2024-10,CRI,-0.6968,-1.2881,-0.2127,1.0753,1.9289,2.4491,3.3013,3.2338,5.4703,2.4705,6.6807,-0.1118,55.3285,61.1193,24.0071
weo-2024-10,CYP,-0.9445,-1.4833,-0.5643,0.919,1.4017,1.2792,2.6763,2.253,1.6482,1.0207,2.9609,-2.2242,49.0984,77.2843,44.1261
weo-2024-10,CZE,-0.1291,-0.6225,0.31,0.9325,2.1166,1.4524,1.556,2.0659,2.3358,3.3273,2.0179,-1.9999,43.4847,42.3751,22.5969
weo-2024-10,DEU,-0.5808,-1.1159,-0.1017,1.0142,0.8654,0.4298,1.5615,2.0236,1.591,1.8819,2.1544,-0.6109,57.8178,62.6601,57.5837
weo-2024-10,DJI,0.6965,0.2075,1.2428,1.0354,3.0504,3.0504,4.2019,1.0985,1.8956,0.9929,5.3416,-1.2351,18.6555,34.6098,24.5734
weo-2024-10,DNK,0.3605,-0.1348,0.8376,0.9724,1.3931,0.8731,1.6079,2.0106,1.7886,0.9839,-3.6666,-6.9105,27.273,29.6626,27.2785
weo-2024-10,DOM,0.0468,-0.5157,0.5369,1.0526,2.8202,2.8214,3.7333,3.9513,5.6123,4.2513,6.7089,-2.2753,51.061,60.0189,20.3514
weo-2024-10,DZA,0.0854,-0.3743,0.5141,0.8884,0.1962,0.606,1.1634,4.5605,6.5909,1.1682,3.2783,-3.2779,62.3499,48.6188,6.4775
weo-2024-10,ECU,0.0483,-0.4847,0.5408,1.0255,0.1726,-1.5603,0.6596,1.5195,2.4313,1.0516,2.8661,-1.1679,49.9183,55.3481,18.4355
weo-2024-10,EGY,0.9285,0.4473,1.3725,0.9252,2.0668,2.5179,2.5614,5.201,10.772,10.7875,10.7493,-0.3594,64.5331,95.9295,66.7606
weo-2024-10,ESP,-0.9757,-1.5869,-0.426,1.1609,0.3717,-0.0826,2.5928,2.3113,1.3442,1.2242,2.6191,-1.2904,97.1076,105.0343,35.6981
weo-2024-10,EST,-1.3314,-2.0155,-0.8475,1.168,3.6364,1.6853,1.4542,2.4486,4.4476,3.7819,2.3078,-2.0956,37.3166,19.3142,3.7647
weo-2024-10,ETH,1.7836,1.3775,2.162,0.7845,3.7227,4.8531,4.2086,9.8047,12.0136,12.0136,4.0468,-12.0634,31.3896,38.7409,29.9601
weo-2024-10,FIN,-0.4039,-0.9446,0.089,1.0337,1.5604,0.3381,1.1017,2.063,1.6415,1.6415,0.9518,-2.5687,85.3142,77.025,32.5627
weo-2024-10,FJI,0.2717,-0.2845,0.7802,1.0647,1.3077,2.499,2.8802,2.807,2.8198,2.0732,4.5986,-1.3575,77.2033,79.6023,41.0348
weo-2024-10,FRA,-0.2457,-0.7892,0.2531,1.0423,0.7816,0.3412,1.3766,1.7733,1.2583,1.1951,2.4676,-0.6573,124.0962,109.876,58.6509
weo-2024-10,GAB,1.2531,0.7812,1.6499,0.8686,-0.8641,-0.2718,0.1981,0.4299,2.8566,0.4625,4.9713,1.8873,102.9606,72.1168,20.0532
weo-2024-10,GBR,-0.1952,-0.7213,0.2859,1.0072,1.3034,0.816,1.0578,2.0643,2.126,1.9424,2.5253,-0.8835,108.3413,99.9673,34.9577
weo-2024-10,GEO,-1.0506,-1.5523,-0.5023,1.05,3.4522,4.4355,6.4052,3.5,6.3777,4.9844,4.4859,-3.8547,35.8073,39.2321,22.5362
weo-2024-10,GHA,1.2955,0.8567,1.7053,0.8486,2.618,2.1337,1.9095,7.5394,15.0774,12.6795,6.4462,-5.73,66.9188,82.9365,18.5088
weo-2024-10,GIN,1.8118,1.4161,2.1743,0.7582,2.5222,3.7615,2.382,7.1304,8.8786,6.364,2.9037,-9.0703,29.5134,40.7534,26.8665
weo-2024-10,GMB,1.8945,1.4701,2.2251,0.7551,-0.3798,-0.6182,1.9601,4.761,5.7887,7.1669,3.3215,-6.0876,45.3838,75.228,38.0229
weo-2024-10,GNB,1.5413,1.1294,1.9239,0.7945,-0.4139,0.3531,1.9226,2.8,2.7704,2.7704,3.82,-3.3568,66.0136,79.3713,45.6193
weo-2024-10,GNQ,1.3843,1.0315,1.8221,0.7906,12.2655,-7.0895,-3.4443,2.0966,7.8818,-2.9693,3.5974,-1.4134,49.4172,37.3689,0.4881
weo-2024-10,GRC,-0.8736,-1.474,-0.3293,1.1447,0.6693,-0.3776,2.3361,1.9985,1.2222,0.0308,2.5935,-0.7465,139.3932,168.869,101.4561
weo-2024-10,GTM,0.6648,0.138,1.1455,1.0075,1.0496,1.9002,1.4794,4.0018,3.9014,2.8663,6.3508,-1.4849,26.6176,27.1976,17.3622
weo-2024-10,GUY,0.0,-0.5386,0.4878,1.0264,7.226,14.7267,21.4415,-6.9671,4.4213,1.5036,1.9308,-2.1048,23.6221,26.4313,26.4313
weo-2024-10,HKG,-1.7774,-2.3995,-1.2189,1.1807,2.2299,1.4047,3.9809,2.4798,1.6636,2.4113,-3.5509,-8.0918,13.4359,6.4572,0.0529
weo-2024-10,HND,0.5071,0.0,0.9706,0.9706,0.8736,0.1169,1.7918,4.0494,5.5542,4.5594,3.3739,-4.2864,37.5002,44.9525,21.8163
weo-2024-10,HRV,-1.3542,-2.0285,-0.7937,1.2349,3.0802,2.3857,3.8491,2.2163,2.0721,1.6103,2.1848,-2.5641,55.4165,63.0184,36.4528
weo-2024-10,HTI,0.6013,0.103,1.0492,0.9463,-0.9419,-1.114,-1.3442,9.1,10.3935,16.3553,1.0,-8.7925,11.9841,28.4623,19.4112
weo-2024-10,HUN,-0.7248,-1.2831,-0.2183,1.0648,1.7748,1.1502,2.999,2.6798,4.492,4.8162,4.7247,-1.171,69.2084,73.4531,52.2531
weo-2024-10,IDN,0.0019,-0.5337,0.492,1.0258,2.7216,2.8955,4.1328,2.5209,5.6917,3.8993,5.8133,-1.7648,39.5732,39.6012,22.9547
weo-2024-10,IND,-0.0477,-0.5837,0.4414,1.025,3.9891,3.7684,5.6688,3.9996,5.6738,3.608,5.922,-4.366,78.3622,83.0205,67.102
weo-2024-10,IRL,-0.1208,-0.6631,0.3471,1.0102,3.5995,5.7649,0.2102,2.0,1.4201,1.2999,1.054,-3.1539,35.9181,43.2732,23.6452
weo-2024-10,IRN,-1.342,-1.9054,-0.7845,1.1209,0.6616,0.0734,2.1589,24.8078,21.3943,30.514,3.4398,-18.7464,35.5499,33.9817,11.7576
weo-2024-10,IRQ,1.6321,1.194,2.038,0.844,5.1117,0.3633,-0.197,2.4801,14.5908,-1.6745,2.8273,-3.7427,74.0536,44.5047,31.987
weo-2024-10,ISL,-0.4016,-0.8403,0.0,0.8403,1.6967,0.8993,2.2439,3.2041,4.2375,4.2992,3.7582,-1.8499,44.7662,62.2427,62.2427
weo-2024-10,ISR,1.0179,0.5889,1.416,0.827,1.4803,1.9512,1.2586,2.2341,1.3973,1.4627,4.1726,-1.4301,70.082,61.4434,59.0485
weo-2024-10,ITA,-0.84,-1.447,-0.2972,1.1498,0.5079,0.2439,1.526,2.0,1.7157,1.1596,2.9914,0.2628,142.3258,134.5601,103.4498
weo-2024-10,JAM,-1.7668,-2.4375,-1.0585,1.379,-0.1731,-1.5297,1.8785,4.753,8.791,6.7985,6.6521,0.2096,53.7921,74.2082,74.2082
weo-2024-10,JOR,0.8495,0.3632,1.2865,0.9232,-0.0565,-2.3003,1.6694,2.5,2.5668,1.9767,5.3181,-0.2433,79.9887,92.8105,54.2403
weo-2024-10,JPN,-0.9255,-1.5457,-0.3735,1.1722,0.5685,-0.1307,1.4686,1.9046,-0.462,0.5274,0.5513,-1.834,245.022,249.669,145.1235
weo-2024-10,KAZ,0.6411,0.1895,1.0598,0.8704,2.7844,2.2699,2.593,5.4907,11.5814,9.8771,3.6954,-4.6065,36.5741,22.7687,4.092
weo-2024-10,KEN,1.4527,0.9784,1.8925,0.9141,0.4512,1.7958,2.3861,4.979,6.1351,5.9787,7.6103,-2.3813,66.0715,73.1069,34.195
weo-2024-10,KGZ,0.8426,0.3787,1.2863,0.9076,0.6977,2.7689,3.1438,5.0325,7.7719,7.3712,4.4879,-4.4089,49.9548,44.7166,44.7166
weo-2024-10,KHM,-0.0672,-0.6256,0.4423,1.0679,3.0016,2.5766,4.6542,2.849,3.2211,2.931,0.7773,-7.5572,26.3486,25.729,20.8354
weo-2024-10,KOR,-1.5516,-2.2244,-0.9437,1.2808,3.188,1.5473,3.1693,1.651,1.9596,1.8541,0.2705,-3.3286,58.1641,51.4983,16.4444
weo-2024-10,KWT,-1.0857,-1.5904,-0.5789,1.0115,-0.2764,-2.301,0.0567,1.0882,6.3176,-3.4341,-87.6928,-88.1369,24.821,3.1661,2.9439
weo-2024-10,LAO,0.3751,-0.1571,0.8471,1.0042,4.2828,3.753,1.5562,16.8293,5.6756,3.1428,3.0961,-13.9271,126.7318,115.8764,43.0045
weo-2024-10,LBN,0.069,-0.5061,0.5601,1.0663,1.1782,-3.0959,,,3.2378,4.7758,,,,195.17,131.0512
weo-2024-10,LBR,1.825,1.3938,2.2253,0.8315,-0.5105,-0.6657,2.5765,0.0897,5.075,1.223,1.7085,-4.0986,50.3826,58.8082,20.5042
weo-2024-10,LBY,0.2728,-0.2662,0.7845,1.0507,1.2243,-3.5084,3.6428,0.6628,5.3371,2.7022,,,,,
