iso3c,years,productivity_level
BGD,1991,6688.207437093109
BGD,1992,6862.776753080881
BGD,1993,6985.655481018834
BGD,1994,7050.750643016157
BGD,1995,7200.966720411015
BGD,1996,7331.256514848923
BGD,1997,7467.457377811696
BGD,1998,7650.616620721285
BGD,1999,7799.252959905135
BGD,2000,8002.499338283777
BGD,2001,8222.027251007949
BGD,2002,8358.387237048964
BGD,2003,8582.976954019185
BGD,2004,8827.160884800773
BGD,2005,9202.296797519863
BGD,2006,9591.191295071516
BGD,2007,10195.301743229898
BGD,2008,10752.85921413434
BGD,2009,11228.572393763741
BGD,2010,11476.654303837942
BGD,2011,12055.071302144677
BGD,2012,12655.116980288883
BGD,2013,13213.08485288271
BGD,2014,13752.061107152424
BGD,2015,14388.087923709938
BGD,2016,15124.842381055618
BGD,2017,15164.995538327246
BGD,2018,15900.596048554296
BGD,2019,16787.756042316272
BGD,2020,17368.097869395635
BGD,2021,17978.22434978513
BGD,2022,18896.49424336069
KEN,1991,11184.216232923294
KEN,1992,10733.687518665458
KEN,1993,10423.384596279911
KEN,1994,10335.854278141507
KEN,1995,10420.096083940012
KEN,1996,10495.464580486747
KEN,1997,10216.98446395231
KEN,1998,10221.535503905072
KEN,1999,10116.29134417883
KEN,2000,9795.132576683676
KEN,2001,9770.690261536207
KEN,2002,9453.393077492685
KEN,2003,9363.73962597054
KEN,2004,9476.177373005155
KEN,2005,9662.839437064506
KEN,2006,9922.656869896167
KEN,2007,10242.636190593552
KEN,2008,9941.850376214015
KEN,2009,9939.74059453825
KEN,2010,10389.081604668669
KEN,2011,10557.510794994841
KEN,2012,10688.29221855136
KEN,2013,10760.44512739095
KEN,2014,10950.894719813288
KEN,2015,11143.19343300596
KEN,2016,11251.597840377688
KEN,2017,11455.576404455729
KEN,2018,11873.155099841411
KEN,2019,12247.450689696854
KEN,2020,12053.035899189486
KEN,2021,12518.814241276381
KEN,2022,12756.245533586092
OED,1991,77395.49722720111
OED,1992,78468.11237730338
OED,1993,79424.08644799175
OED,1994,80910.89589526175
OED,1995,81632.69920377554
OED,1996,83163.3741556637
OED,1997,84847.27389706224
OED,1998,86574.16747248155
OED,1999,88510.46121200598
OED,2000,90977.04824524527
OED,2001,91502.12567802107
OED,2002,92674.42752660236
OED,2003,93791.92946569392
OED,2004,96076.83246765946
OED,2005,97106.60899690351
OED,2006,98435.28056490741
OED,2007,99642.74262363969
OED,2008,99309.55166575308
OED,2009,97394.79448764751
OED,2010,99965.20390535178
OED,2011,100958.18137225902
OED,2012,101259.70339378335
OED,2013,101922.73965038903
OED,2014,102734.94628941973
OED,2015,103782.50704335449
OED,2016,104064.28565658993
OED,2017,105144.5735677898
OED,2018,106023.18161176404
OED,2019,106630.91376260645
OED,2020,105603.091234131
OED,2021,109091.00144158187
OED,2022,109264.1314757061
UGA,1991,3193.9641937271454
UGA,1992,3202.125689517305
UGA,1993,3355.850106337689
UGA,1994,3463.9665450962098
UGA,1995,3778.6148638105687
UGA,1996,4041.457689313461
UGA,1997,4149.642556793027
UGA,1998,4253.44988194021
UGA,1999,4456.280577397301
UGA,2000,4463.2086189295605
UGA,2001,4557.402188520743
UGA,2002,4800.747085164011
UGA,2003,4953.540998259788
UGA,2004,5086.421826460074
UGA,2005,5208.145250524254
UGA,2006,5616.104877523701
UGA,2007,5922.416472396163
UGA,2008,6254.42946886289
UGA,2009,6502.488903581691
UGA,2010,6645.262437713454
UGA,2011,7020.794913275129
UGA,2012,7051.329071618025
UGA,2013,6942.97479130093
UGA,2014,7074.363658345181
UGA,2015,7180.643633357236
UGA,2016,7224.695337277235
UGA,2017,7143.916579060507
UGA,2018,7255.28229458923
UGA,2019,7381.031710779478
UGA,2020,7401.457105484893
UGA,2021,7275.926556729895
UGA,2022,7280.93753855315
