vintage,iso3c,years,gdp_growth,expenditure_growth,weak_year
weo-2024-10,AFG,2006,13.41,32.44,0
weo-2024-10,AFG,2007,23.62,45.3,0
weo-2024-10,AFG,2008,21.06,18.03,0
weo-2024-10,AFG,2009,17.34,18.75,0
weo-2024-10,AFG,2010,17.21,15.24,0
weo-2024-10,AFG,2011,17.49,23.48,0
weo-2024-10,AFG,2012,23.6,41.23,0
weo-2024-10,AFG,2013,8.05,7.78,0
weo-2024-10,AFG,2014,5.93,7.97,1
weo-2024-10,AFG,2015,3.68,5.83,1
weo-2024-10,AFG,2016,-0.3,7.67,1
weo-2024-10,AFG,2017,5.11,3.98,1
weo-2024-10,AFG,2018,3.29,7.82,1
weo-2024-10,AFG,2019,10.69,7.17,0
weo-2024-10,AFG,2020,5.29,5.06,1
weo-2024-10,AFG,2021,-19.14,-48.09,1
weo-2024-10,AFG,2022,2.58,-7.75,1
weo-2024-10,AFG,2023,5.75,9.76,1
weo-2024-10,AGO,2002,175.99,163.89,0
weo-2024-10,AGO,2003,101.39,127.94,1
weo-2024-10,AGO,2004,48.61,25.21,0
weo-2024-10,AGO,2005,59.97,46.95,0
weo-2024-10,AGO,2006,30.65,53.19,0
weo-2024-10,AGO,2007,18.85,50.22,0
weo-2024-10,AGO,2008,32.31,81.98,0
weo-2024-10,AGO,2009,-12.56,-28.7,1
weo-2024-10,AGO,2010,35.48,22.33,0
weo-2024-10,AGO,2011,34.3,30.17,1
weo-2024-10,AGO,2012,16.22,15.93,0
weo-2024-10,AGO,2013,8.27,7.79,0
weo-2024-10,AGO,2014,8.93,5.91,0
weo-2024-10,AGO,2015,-2.22,-30.5,1
weo-2024-10,AGO,2016,18.82,-9.86,1
weo-2024-10,AGO,2017,23.53,30.48,1
weo-2024-10,AGO,2018,24.45,-2.08,1
weo-2024-10,AGO,2019,19.62,12.57,1
weo-2024-10,AGO,2020,11.37,17.96,1
weo-2024-10,AGO,2021,38.51,25.43,1
weo-2024-10,AGO,2022,23.14,55.61,0
weo-2024-10,AGO,2023,14.57,-1.32,1
weo-2024-10,ALB,2002,8.35,4.49,0
weo-2024-10,ALB,2003,11.01,2.13,0
weo-2024-10,ALB,2004,8.84,13.24,0
weo-2024-10,ALB,2005,9.02,6.34,0
weo-2024-10,ALB,2006,8.53,11.36,0
weo-2024-10,ALB,2007,10.63,12.06,0
weo-2024-10,ALB,2008,11.93,21.01,0
weo-2024-10,ALB,2009,5.85,8.34,1
weo-2024-10,ALB,2010,8.37,-4.4,1
weo-2024-10,ALB,2011,4.92,3.83,1
weo-2024-10,ALB,2012,2.47,-0.09,1
weo-2024-10,ALB,2013,1.29,4.79,1
weo-2024-10,ALB,2014,3.35,14.78,1
weo-2024-10,ALB,2015,2.8,-0.03,1
weo-2024-10,ALB,2016,2.66,-2.41,1
weo-2024-10,ALB,2017,5.31,6.99,0
weo-2024-10,ALB,2018,5.55,4.55,0
