scope,reading,sort_order,beta,se,r2,n,countries,vintage
Africa,Every year since 2001,1,0.7057,0.0851,0.2298,1147,54,weo-2024-10
Africa,Pandemic years left out,2,0.69,0.1145,0.1803,1043,54,weo-2024-10
Africa,Weak growth years only,3,0.5892,0.0979,0.1699,572,54,weo-2024-10
Africa,Weak growth years without the pandemic,4,0.6823,0.1757,0.159,493,54,weo-2024-10
Africa,In real terms,5,0.8024,0.1564,0.0813,1147,54,weo-2024-10
Africa,In real terms without the pandemic,6,0.8803,0.1807,0.0933,1043,54,weo-2024-10
Americas,Every year since 2001,1,0.5286,0.1019,0.1767,779,36,weo-2024-10
Americas,Pandemic years left out,2,0.7005,0.0867,0.2603,707,36,weo-2024-10
Americas,Weak growth years only,3,0.5031,0.1589,0.1707,389,36,weo-2024-10
Americas,Weak growth years without the pandemic,4,0.7088,0.1284,0.2923,347,36,weo-2024-10
Americas,In real terms,5,0.3564,0.1399,0.0383,779,36,weo-2024-10
Americas,In real terms without the pandemic,6,0.7025,0.0882,0.0946,707,36,weo-2024-10
Asia,Every year since 2001,1,0.5367,0.0915,0.2011,978,46,weo-2024-10
Asia,Pandemic years left out,2,0.7006,0.0749,0.2493,888,46,weo-2024-10
Asia,Weak growth years only,3,0.4413,0.1187,0.1552,486,46,weo-2024-10
Asia,Weak growth years without the pandemic,4,0.6862,0.1298,0.2112,421,46,weo-2024-10
Asia,In real terms,5,0.4431,0.2311,0.0359,978,46,weo-2024-10
Asia,In real terms without the pandemic,6,0.6967,0.2479,0.0596,888,46,weo-2024-10
Europe,Every year since 2001,1,0.532,0.1244,0.1435,876,40,weo-2024-10
Europe,Pandemic years left out,2,0.7244,0.0889,0.3316,796,40,weo-2024-10
Europe,Weak growth years only,3,0.4696,0.1504,0.0693,437,40,weo-2024-10
Europe,Weak growth years without the pandemic,4,0.6849,0.1124,0.2398,397,40,weo-2024-10
Europe,In real terms,5,0.0574,0.1511,0.0008,876,40,weo-2024-10
Europe,In real terms without the pandemic,6,0.4248,0.1032,0.0582,796,40,weo-2024-10
Oceania,Every year since 2001,1,0.7862,0.2491,0.0829,238,11,weo-2024-10
Oceania,Pandemic years left out,2,0.8626,0.2913,0.073,216,11,weo-2024-10
Oceania,Weak growth years only,3,0.7391,0.2101,0.0669,119,11,weo-2024-10
Oceania,Weak growth years without the pandemic,4,0.8517,0.3432,0.0569,102,11,weo-2024-10
Oceania,In real terms,5,0.6001,0.2366,0.0276,238,11,weo-2024-10
Oceania,In real terms without the pandemic,6,0.6821,0.3267,0.0272,216,11,weo-2024-10
World,Every year since 2001,1,0.6159,0.0561,0.198,4018,187,weo-2024-10
World,Pandemic years left out,2,0.7005,0.0571,0.2111,3650,187,weo-2024-10
World,Weak growth years only,3,0.5194,0.0652,0.1471,2003,187,weo-2024-10
World,Weak growth years without the pandemic,4,0.6901,0.0882,0.1878,1760,187,weo-2024-10
World,In real terms,5,0.5145,0.1017,0.0445,4018,187,weo-2024-10
World,In real terms without the pandemic,6,0.7477,0.1009,0.0763,3650,187,weo-2024-10
Africa,Every year since 2001,1,0.6977,0.0814,0.2278,1147,54,weo-2026-04
Africa,Pandemic years left out,2,0.681,0.1113,0.1792,1043,54,weo-2026-04
Africa,Weak growth years only,3,0.59,0.0913,0.1736,572,54,weo-2026-04
Africa,Weak growth years without the pandemic,4,0.6886,0.1651,0.1687,493,54,weo-2026-04
Africa,In real terms,5,0.8522,0.1664,0.0888,1147,54,weo-2026-04
Africa,In real terms without the pandemic,6,0.9308,0.1933,0.101,1043,54,weo-2026-04
Americas,Every year since 2001,1,0.5433,0.1082,0.1817,757,35,weo-2026-04
Americas,Pandemic years left out,2,0.717,0.0877,0.2644,687,35,weo-2026-04
Americas,Weak growth years only,3,0.5457,0.1535,0.1971,378,35,weo-2026-04
Americas,Weak growth years without the pandemic,4,0.7489,0.1144,0.3245,338,35,weo-2026-04
Americas,In real terms,5,0.383,0.1654,0.0413,757,35,weo-2026-04
Americas,In real terms without the pandemic,6,0.7215,0.0934,0.094,687,35,weo-2026-04
Asia,Every year since 2001,1,0.5022,0.0981,0.1979,963,46,weo-2026-04
Asia,Pandemic years left out,2,0.6803,0.0652,0.2505,873,46,weo-2026-04
Asia,Weak growth years only,3,0.4125,0.1268,0.1719,478,46,weo-2026-04
Asia,Weak growth years without the pandemic,4,0.6366,0.1149,0.2171,414,46,weo-2026-04
Asia,In real terms,5,0.3604,0.2047,0.0247,963,46,weo-2026-04
Asia,In real terms without the pandemic,6,0.5973,0.2305,0.0434,873,46,weo-2026-04
Europe,Every year since 2001,1,0.5008,0.1261,0.1251,931,43,weo-2026-04
Europe,Pandemic years left out,2,0.7063,0.0895,0.3001,845,43,weo-2026-04
Europe,Weak growth years only,3,0.4447,0.1561,0.0597,464,43,weo-2026-04
Europe,Weak growth years without the pandemic,4,0.6598,0.1195,0.2043,421,43,weo-2026-04
Europe,In real terms,5,0.0318,0.1468,0.0002,931,43,weo-2026-04
Europe,In real terms without the pandemic,6,0.4079,0.1001,0.0499,845,43,weo-2026-04
Oceania,Every year since 2001,1,0.7712,0.2444,0.0826,238,11,weo-2026-04
Oceania,Pandemic years left out,2,0.8919,0.318,0.0813,216,11,weo-2026-04
Oceania,Weak growth years only,3,0.6666,0.2478,0.0711,119,11,weo-2026-04
Oceania,Weak growth years without the pandemic,4,0.9613,0.4763,0.0891,103,11,weo-2026-04
Oceania,In real terms,5,0.6831,0.2493,0.0387,238,11,weo-2026-04
Oceania,In real terms without the pandemic,6,0.7798,0.3103,0.0386,216,11,weo-2026-04
World,Every year since 2001,1,0.6004,0.0582,0.1942,4036,189,weo-2026-04
World,Pandemic years left out,2,0.6912,0.0561,0.2087,3664,189,weo-2026-04
World,Weak growth years only,3,0.5106,0.0702,0.1535,2011,189,weo-2026-04
World,Weak growth years without the pandemic,4,0.6836,0.0833,0.196,1769,189,weo-2026-04
World,In real terms,5,0.5169,0.1057,0.0439,4036,189,weo-2026-04
World,In real terms without the pandemic,6,0.7545,0.1059,0.0756,3664,189,weo-2026-04
