years,Medium,High,Low
2009,15169,15169,15169
2010,15692,15692,15692
2011,16233,16233,16233
2012,16789,16789,16789
2013,17367,17367,17367
2014,18003,18003,18003
2015,18718,18718,18718
2016,19557,19557,19557
2017,20493,20493,20493
2018,21429,21429,21429
2019,22400,22400,22400
2020,23386,23386,23386
2021,24363,24363,24363
2022,25290,25290,25290
2023,26163,26163,26163
2024,27058,27058,27058
2025,27988,27988,27988
2026,28954,28954,28954
2027,29954,29954,29954
2028,30979,30979,30979
2029,32020,32020,32020
2030,33076,33076,33076
2031,34147,34147,34147
2032,35241,35241,35241
2033,36366,36366,36366
2034,37521,37521,37521
2035,38704,38704,38704
2036,39912,39912,39912
2037,41139,41185,41094
2038,42378,42517,42240
2039,43622,43857,43387
2040,44867,45202,44533
2041,46114,46551,45677
2042,47360,47936,46785
2043,48608,49359,47858
2044,49854,50786,48923
2045,51093,52211,49976
2046,52320,53630,51012
2047,53537,55070,52008
2048,54745,56532,52963
2049,55937,57984,53896
2050,57115,59429,54808
2051,58277,60865,55697
2052,59423,62293,56562
2053,60551,63711,57403
2054,61658,65118,58214
2055,62745,66515,58995
2056,63811,67904,59745
2057,64853,69282,60461
2058,65873,70652,61143
2059,66876,72022,61795
2060,67863,73391,62418
2061,68835,74763,63013
2062,69792,76140,63579
2063,70729,77515,64111
2064,71645,78889,64607
2065,72536,80259,65064
2066,73400,81622,65479
2067,74241,82984,65857
2068,75057,84341,66194
2069,75842,85688,66487
2070,76600,87028,66740
2071,77333,88363,66954
2072,78047,89698,67135
2073,78740,91033,67282
2074,79404,92357,67388
2075,80033,93665,67449
2076,80630,94959,67467
2077,81202,96244,67448
2078,81745,97518,67392
2079,82264,98784,67303
2080,82757,100040,67178
2081,83221,101285,67018
2082,83655,102514,66818
2083,84051,103724,66573
2084,84415,104919,66287
2085,84743,106096,65959
2086,85035,107253,65589
2087,85294,108357,65214
2088,85526,109417,64844
2089,85740,110472,64450
2090,85939,111530,64038
2091,86129,112595,63610
2092,86301,113633,63186
2093,86456,114645,62767
2094,86603,115665,62336
2095,86740,116691,61891
2096,86866,117720,61433
2097,86979,118732,60981
2098,87074,119720,60529
2099,87159,120712,60065
