scenario,years,gdp_loss_percent
Paris,2029,0.140533
Paris,2030,0.151491
Paris,2031,0.162295
Paris,2032,0.172941
Paris,2033,0.183428
Paris,2034,0.193755
Paris,2035,0.203919
Paris,2036,0.213920
Paris,2037,0.223756
Paris,2038,0.233426
Paris,2039,0.242928
Paris,2040,0.252261
Paris,2041,0.261424
Paris,2042,0.270416
Paris,2043,0.279236
Paris,2044,0.287881
Paris,2045,0.296352
Paris,2046,0.304647
Paris,2047,0.312765
Paris,2048,0.320705
Paris,2049,0.328466
Paris,2050,0.336046
Paris,2051,0.343445
Paris,2052,0.350661
Paris,2053,0.357694
Paris,2054,0.364542
Paris,2055,0.371205
Paris,2056,0.377682
Paris,2057,0.383971
Paris,2058,0.390072
Paris,2059,0.395985
Paris,2060,0.401707
Paris,2061,0.407239
Paris,2062,0.412579
Paris,2063,0.417727
Paris,2064,0.422682
Paris,2065,0.427444
Paris,2066,0.432011
Paris,2067,0.436383
Paris,2068,0.440559
Paris,2069,0.444539
Paris,2070,0.448322
Paris,2071,0.451908
Paris,2072,0.455295
Paris,2073,0.458485
Paris,2074,0.461475
Paris,2075,0.464266
Paris,2076,0.466857
Paris,2077,0.469248
Paris,2078,0.471439
Paris,2079,0.473428
Paris,2080,0.475217
Paris,2081,0.476804
Paris,2082,0.478190
Paris,2083,0.479373
Paris,2084,0.480355
Paris,2085,0.481134
Paris,2086,0.481711
Paris,2087,0.482086
Paris,2088,0.482259
Paris,2089,0.482229
Paris,2090,0.481996
Paris,2091,0.481561
Paris,2092,0.480924
Paris,2093,0.480084
Paris,2094,0.479043
Paris,2095,0.477799
Paris,2096,0.476353
Paris,2097,0.474706
Paris,2098,0.472858
Paris,2099,0.470809
Hot_Adapted,2029,-0.217323
Hot_Adapted,2030,-0.238616
Hot_Adapted,2031,-0.260335
Hot_Adapted,2032,-0.282472
Hot_Adapted,2033,-0.305017
Hot_Adapted,2034,-0.327963
Hot_Adapted,2035,-0.351301
Hot_Adapted,2036,-0.375022
Hot_Adapted,2037,-0.399118
Hot_Adapted,2038,-0.423581
Hot_Adapted,2039,-0.448403
Hot_Adapted,2040,-0.473575
Hot_Adapted,2041,-0.499089
Hot_Adapted,2042,-0.524938
Hot_Adapted,2043,-0.551112
Hot_Adapted,2044,-0.577604
Hot_Adapted,2045,-0.604406
Hot_Adapted,2046,-0.631510
Hot_Adapted,2047,-0.658907
Hot_Adapted,2048,-0.686591
Hot_Adapted,2049,-0.714552
Hot_Adapted,2050,-0.742785
Hot_Adapted,2051,-0.771280
Hot_Adapted,2052,-0.800031
Hot_Adapted,2053,-0.829029
Hot_Adapted,2054,-0.858268
Hot_Adapted,2055,-0.887741
Hot_Adapted,2056,-0.917440
Hot_Adapted,2057,-0.947358
Hot_Adapted,2058,-0.977489
Hot_Adapted,2059,-1.007825
Hot_Adapted,2060,-1.038361
Hot_Adapted,2061,-1.069088
Hot_Adapted,2062,-1.100002
Hot_Adapted,2063,-1.131096
Hot_Adapted,2064,-1.162363
Hot_Adapted,2065,-1.193797
Hot_Adapted,2066,-1.225394
Hot_Adapted,2067,-1.257146
Hot_Adapted,2068,-1.289049
Hot_Adapted,2069,-1.321096
Hot_Adapted,2070,-1.353283
Hot_Adapted,2071,-1.385603
Hot_Adapted,2072,-1.418053
Hot_Adapted,2073,-1.450627
Hot_Adapted,2074,-1.483321
Hot_Adapted,2075,-1.516129
Hot_Adapted,2076,-1.549047
Hot_Adapted,2077,-1.582070
Hot_Adapted,2078,-1.615195
Hot_Adapted,2079,-1.648417
Hot_Adapted,2080,-1.681732
Hot_Adapted,2081,-1.715136
Hot_Adapted,2082,-1.748625
Hot_Adapted,2083,-1.782196
Hot_Adapted,2084,-1.815845
Hot_Adapted,2085,-1.849569
Hot_Adapted,2086,-1.883364
Hot_Adapted,2087,-1.917227
Hot_Adapted,2088,-1.951156
Hot_Adapted,2089,-1.985146
Hot_Adapted,2090,-2.019195
Hot_Adapted,2091,-2.053301
Hot_Adapted,2092,-2.087460
Hot_Adapted,2093,-2.121671
Hot_Adapted,2094,-2.155930
Hot_Adapted,2095,-2.190236
Hot_Adapted,2096,-2.224586
Hot_Adapted,2097,-2.258977
Hot_Adapted,2098,-2.293409
Hot_Adapted,2099,-2.327878
Hot,2029,-0.468763
Hot,2030,-0.513172
Hot,2031,-0.558224
Hot,2032,-0.603889
Hot,2033,-0.650140
Hot,2034,-0.696951
Hot,2035,-0.744296
Hot,2036,-0.792150
Hot,2037,-0.840490
Hot,2038,-0.889291
Hot,2039,-0.938532
Hot,2040,-0.988190
Hot,2041,-1.038245
Hot,2042,-1.088675
Hot,2043,-1.139461
Hot,2044,-1.190583
Hot,2045,-1.242022
Hot,2046,-1.293762
Hot,2047,-1.345785
Hot,2048,-1.398075
Hot,2049,-1.450615
Hot,2050,-1.503391
Hot,2051,-1.556388
Hot,2052,-1.609592
Hot,2053,-1.662991
Hot,2054,-1.716572
Hot,2055,-1.770324
Hot,2056,-1.824234
Hot,2057,-1.878292
Hot,2058,-1.932488
Hot,2059,-1.986813
Hot,2060,-2.041258
Hot,2061,-2.095813
Hot,2062,-2.150472
Hot,2063,-2.205226
Hot,2064,-2.260069
Hot,2065,-2.314993
Hot,2066,-2.369993
Hot,2067,-2.425063
Hot,2068,-2.480197
Hot,2069,-2.535390
Hot,2070,-2.590638
Hot,2071,-2.645936
Hot,2072,-2.701279
Hot,2073,-2.756665
Hot,2074,-2.812090
Hot,2075,-2.867550
Hot,2076,-2.923042
Hot,2077,-2.978564
Hot,2078,-3.034112
Hot,2079,-3.089685
Hot,2080,-3.145281
Hot,2081,-3.200896
Hot,2082,-3.256530
Hot,2083,-3.312181
Hot,2084,-3.367847
Hot,2085,-3.423527
Hot,2086,-3.479219
Hot,2087,-3.534922
Hot,2088,-3.590635
Hot,2089,-3.646358
Hot,2090,-3.702089
Hot,2091,-3.757827
Hot,2092,-3.813571
Hot,2093,-3.869322
Hot,2094,-3.925078
Hot,2095,-3.980839
Hot,2096,-4.036604
Hot,2097,-4.092373
Hot,2098,-4.148145
Hot,2099,-4.203920
Hot_Unadapted,2029,-0.941496
Hot_Unadapted,2030,-1.025113
Hot_Unadapted,2031,-1.109136
Hot_Unadapted,2032,-1.193515
Hot_Unadapted,2033,-1.278208
Hot_Unadapted,2034,-1.363179
Hot_Unadapted,2035,-1.448393
