years,g_baseline,g_hot,productivity_baseline,productivity_hot,pb_baseline,pb_hot,dspb_baseline,dspb_hot,debt_baseline,debt_hot
2029,10.235360,10.235360,2.664586,2.664586,1.589799,1.589799,-1.619304,-1.619304,66.071507,66.071507
2030,12.013909,11.966481,4.885302,4.840893,1.646745,1.639052,-2.597465,-2.570578,61.827297,61.861877
2031,11.800607,11.752570,4.852769,4.807717,1.700487,1.685029,-2.317291,-2.292993,57.809519,57.883856
2032,11.547839,11.499239,4.811043,4.765378,1.748575,1.725279,-2.040618,-2.018902,54.020326,54.139675
2033,11.254763,11.205643,4.757569,4.711318,1.789115,1.757902,-1.769582,-1.750361,50.461629,50.631411
2034,10.965789,10.916171,4.689123,4.642312,1.824805,1.785594,-1.525901,-1.509070,47.110924,47.336747
2035,10.700467,10.650362,4.601689,4.554344,-1.166385,-1.221636,-1.315081,-1.300548,46.962229,47.257835
2036,10.432125,10.381550,4.490372,4.442518,-1.258314,-1.323485,-1.200001,-1.186454,47.020542,47.394866
2037,10.185974,10.134931,4.349409,4.301070,-1.210223,-1.285017,-1.099133,-1.086430,47.131632,47.593452
2038,9.935692,9.884191,4.172456,4.123654,-1.156670,-1.241135,-0.996937,-0.984871,47.291366,47.849717
2039,9.638217,9.586283,3.953390,3.904149,-1.100589,-1.194777,-0.874717,-0.862787,47.517238,48.181706
2040,9.303789,9.251441,3.688021,3.638362,-1.041166,-1.145122,-0.736199,-0.723765,47.822205,48.603064
2041,8.931139,8.878396,3.376971,3.326916,-0.978860,-1.092626,-0.579860,-0.566069,48.221205,49.129620
2042,8.533309,8.480185,3.029337,2.978907,-0.912569,-1.036175,-0.410086,-0.393957,48.723688,49.771838
2043,8.115820,8.062338,2.665115,2.614330,-0.843749,-0.977227,-0.227813,-0.208196,49.339625,50.540870
2044,7.703809,7.649993,2.312994,2.261872,-0.774548,-0.917935,-0.042831,-0.018630,50.071342,51.440175
2045,7.340052,7.285920,2.001949,1.950509,-0.023920,-0.172155,0.126070,0.155536,50.221332,51.767866
2046,7.033551,6.979125,1.750925,1.699185,0.182120,0.025365,0.270623,0.305436,50.309835,52.047937
2047,6.794722,6.740020,1.564047,1.512024,0.328904,0.163259,0.384216,0.424367,50.365146,52.309044
2048,6.613346,6.558386,1.433670,1.381381,0.442755,0.268005,0.470976,0.516386,50.393367,52.557425
2049,6.473996,6.418798,1.346973,1.294433,0.527770,0.343696,0.537810,0.588458,50.403407,52.802187
2050,6.359619,6.304202,1.291204,1.238428,0.591270,0.397688,0.592699,0.648756,50.404836,53.053255
2051,6.261669,6.206052,1.256107,1.203110,0.641390,0.438174,0.639724,0.701472,50.403171,53.316554
2052,6.176328,6.120526,1.234329,1.181124,0.684068,0.471142,0.680730,0.748491,50.399832,53.593904
2053,6.125658,6.069671,1.220933,1.167534,0.725188,0.502534,0.705073,0.778441,50.379717,53.869810
2054,6.074472,6.018317,1.212738,1.159157,0.763757,0.531347,0.729442,0.808921,50.345402,54.147384
2055,6.020953,5.964646,1.207741,1.153990,0.797145,0.554918,0.754727,0.840927,50.302984,54.433394
2056,5.979791,5.923337,1.204701,1.150791,0.827970,0.575890,0.773922,0.866927,50.248937,54.724431
2057,5.937582,5.880994,1.202853,1.148795,0.856340,0.594373,0.793419,0.893795,50.186016,55.023854
2058,5.895635,5.838925,1.201731,1.147535,0.881644,0.609745,0.812619,0.920914,50.116992,55.335023
2059,5.855346,5.798523,1.201050,1.146725,0.905011,0.623148,0.830885,0.947607,50.042866,55.659482
2060,5.809774,5.752850,1.200637,1.146193,0.925926,0.634059,0.851567,0.977613,49.968507,56.003036
2061,5.760668,5.703654,1.200387,1.145831,0.873287,0.570236,0.873897,1.010170,49.969117,56.442971
2062,5.712990,5.655894,1.200234,1.145576,0.887681,0.574472,0.896839,1.044080,49.978275,56.912579
2063,5.658487,5.601321,1.200142,1.145388,0.896800,0.573334,0.923247,1.082722,50.004722,57.421968
2064,5.606995,5.549764,1.200086,1.145244,0.926316,0.592941,0.948567,1.120995,50.026974,57.950022
2065,5.555147,5.497859,1.200052,1.145128,0.948209,0.604798,0.974028,1.160371,50.052793,58.505596
2066,5.496553,5.439218,1.200032,1.145032,0.967560,0.614069,1.002872,1.204686,50.088105,59.096213
