years,baseline,hot
2024,69.872758,69.872758
2025,72.361483,72.361483
2026,71.886635,71.886635
2027,70.151563,70.151563
2028,68.000500,68.000500
2029,66.071507,66.071507
2030,61.827297,61.861877
2031,57.809519,57.883856
2032,54.020326,54.139675
2033,50.461629,50.631411
2034,47.110924,47.336747
2035,46.962229,47.257835
2036,47.020542,47.394866
2037,47.131632,47.593452
2038,47.291366,47.849717
2039,47.517238,48.181706
2040,47.822205,48.603064
2041,48.221205,49.129620
2042,48.723688,49.771838
2043,49.339625,50.540870
2044,50.071342,51.440175
2045,50.221332,51.767866
2046,50.309835,52.047937
2047,50.365146,52.309044
2048,50.393367,52.557425
2049,50.403407,52.802187
2050,50.404836,53.053255
2051,50.403171,53.316554
2052,50.399832,53.593904
2053,50.379717,53.869810
2054,50.345402,54.147384
2055,50.302984,54.433394
2056,50.248937,54.724431
2057,50.186016,55.023854
2058,50.116992,55.335023
2059,50.042866,55.659482
2060,49.968507,56.003036
2061,49.969117,56.442971
2062,49.978275,56.912579
2063,50.004722,57.421968
2064,50.026974,57.950022
2065,50.052793,58.505596
2066,50.088105,59.096213
2067,50.124603,59.713958
2068,50.161648,60.358804
2069,50.199980,61.032240
2070,50.241454,61.737332
2071,50.285070,62.474152
2072,50.336215,63.250178
2073,50.384747,64.055141
2074,50.428480,64.886718
2075,50.461370,65.737864
2076,50.485023,66.609858
2077,50.502276,67.505915
2078,50.515415,68.429094
2079,50.526298,69.382510
2080,50.548302,70.384502
2081,50.576187,71.432060
2082,50.600381,72.515159
2083,50.620825,73.633900
2084,50.640272,74.792362
2085,50.668874,76.005515
2086,50.701565,77.270559
2087,50.741231,78.594141
2088,50.786134,79.977051
2089,50.827660,81.409655
2090,50.876267,82.907304
2091,50.927126,84.467112
2092,50.979987,86.090975
2093,51.034132,87.779895
2094,51.087550,89.533025
2095,51.144559,91.358541
2096,51.200166,93.252037
2097,51.256757,95.218229
2098,51.313459,97.257902
2099,51.366935,99.367337
