iso3c,years,employment_growth,productivity_growth,inflation,real_gdp_growth,nominal_gdp_growth
KEN,2024,2.909973,2.061473,4.708173,5.031434,9.976496
KEN,2025,2.798233,2.160667,4.864174,5.019360,10.127684
KEN,2026,2.650430,2.282952,5.073845,4.993890,10.321117
KEN,2027,2.512212,2.462126,4.987313,5.036192,10.274675
KEN,2028,2.393465,2.532461,4.831975,4.986540,10.059464
KEN,2029,2.281672,2.664586,4.979003,5.007056,10.235360
KEN,2030,2.215173,4.885302,4.482113,7.208694,12.013909
KEN,2031,2.172254,4.852769,4.359330,7.130437,11.800607
KEN,2032,2.116112,4.811043,4.222107,7.028963,11.547839
KEN,2033,2.040568,4.757569,4.078335,6.895218,11.254763
KEN,2034,1.978258,4.689123,3.939340,6.760144,10.965789
KEN,2035,1.939882,4.601689,3.816559,6.630839,10.700467
KEN,2036,1.898371,4.490372,3.717471,6.473986,10.432125
KEN,2037,1.881047,4.349409,3.643703,6.312271,10.185974
KEN,2038,1.872883,4.172456,3.592238,6.123484,9.935692
KEN,2039,1.844970,3.953390,3.558016,5.871299,9.638217
KEN,2040,1.815815,3.688021,3.536001,5.570803,9.303789
KEN,2041,1.787623,3.376971,3.522148,5.224961,8.931139
KEN,2042,1.766523,3.029337,3.513551,4.849373,8.533309
KEN,2043,1.739905,2.665115,3.508263,4.451390,8.115820
KEN,2044,1.704184,2.312994,3.505028,4.056596,7.703809
KEN,2045,1.671718,2.001949,3.503056,3.707133,7.340052
KEN,2046,1.632692,1.750925,3.501856,3.412205,7.033551
KEN,2047,1.593218,1.564047,3.501126,3.182184,6.794722
KEN,2048,1.551470,1.433670,3.500683,3.007383,6.613346
KEN,2049,1.505759,1.346973,3.500415,2.873014,6.473996
KEN,2050,1.452706,1.291204,3.500252,2.762667,6.359619
KEN,2051,1.394504,1.256107,3.500153,2.668128,6.261669
KEN,2052,1.334926,1.234329,3.500093,2.585732,6.176328
KEN,2053,1.300007,1.220933,3.500056,2.536812,6.125658
KEN,2054,1.259368,1.212738,3.500034,2.487379,6.074472
KEN,2055,1.213289,1.207741,3.500021,2.435683,6.020953
KEN,2056,1.177040,1.204701,3.500013,2.395921,5.979791
KEN,2057,1.138595,1.202853,3.500008,2.355144,5.937582
KEN,2058,1.099672,1.201731,3.500005,2.314619,5.895635
KEN,2059,1.061890,1.201050,3.500003,2.275694,5.855346
KEN,2060,1.018795,1.200637,3.500002,2.231664,5.809774
KEN,2061,0.972163,1.200387,3.500001,2.184219,5.760668
KEN,2062,0.926796,1.200234,3.500001,2.138154,5.712990
KEN,2063,0.874853,1.200142,3.500000,2.085494,5.658487
KEN,2064,0.825747,1.200086,3.500000,2.035743,5.606995
KEN,2065,0.776281,1.200052,3.500000,1.985650,5.555147
KEN,2066,0.720361,1.200032,3.500000,1.929037,5.496553
KEN,2067,0.671635,1.200019,3.500000,1.879714,5.445504
KEN,2068,0.628349,1.200012,3.500000,1.835901,5.400157
KEN,2069,0.588829,1.200007,3.500000,1.795902,5.358758
KEN,2070,0.548519,1.200004,3.500000,1.755105,5.316534
KEN,2071,0.508865,1.200003,3.500000,1.714974,5.274998
KEN,2072,0.462517,1.200002,3.500000,1.668069,5.226451
KEN,2073,0.426984,1.200001,3.500000,1.632109,5.189233
KEN,2074,0.402030,1.200001,3.500000,1.606855,5.163095
KEN,2075,0.391778,1.200000,3.500000,1.596480,5.152357
KEN,2076,0.390250,1.200000,3.500000,1.594933,5.150755
KEN,2077,0.391591,1.200000,3.500000,1.596290,5.152160
KEN,2078,0.392911,1.200000,3.500000,1.597626,5.153542
KEN,2079,0.391373,1.200000,3.500000,1.596069,5.151932
KEN,2080,0.368660,1.200000,3.500000,1.573084,5.128142
KEN,2081,0.340567,1.200000,3.500000,1.544654,5.098717
KEN,2082,0.321178,1.200000,3.500000,1.525032,5.078408
KEN,2083,0.307568,1.200000,3.500000,1.511258,5.064152
KEN,2084,0.294081,1.200000,3.500000,1.497610,5.050026
KEN,2085,0.266815,1.200000,3.500000,1.470017,5.021467
KEN,2086,0.237000,1.200000,3.500000,1.439844,4.990238
KEN,2087,0.200489,1.200000,3.500000,1.402895,4.951997
KEN,2088,0.162830,1.200000,3.500000,1.364784,4.912552
KEN,2089,0.136390,1.200000,3.500000,1.338027,4.884858
KEN,2090,0.101809,1.200000,3.500000,1.303031,4.848637
KEN,2091,0.068720,1.200000,3.500000,1.269545,4.813979
KEN,2092,0.037083,1.200000,3.500000,1.237528,4.780842
KEN,2093,0.008238,1.200000,3.500000,1.208337,4.750628
KEN,2094,-0.016474,1.200000,3.500000,1.183328,4.724745
KEN,2095,-0.043938,1.200000,3.500000,1.155535,4.695979
KEN,2096,-0.065936,1.200000,3.500000,1.133273,4.672937
KEN,2097,-0.086598,1.200000,3.500000,1.112363,4.651296
KEN,2098,-0.104558,1.200000,3.500000,1.094187,4.632484
KEN,2099,-0.115685,1.200000,3.500000,1.082927,4.620829
THA,2024,-0.562628,3.381714,-0.602219,2.800059,2.180978
THA,2025,-0.618729,3.641899,1.257318,3.000637,4.295682
THA,2026,-0.628725,3.216048,1.819470,2.567103,4.433281
THA,2027,-0.640946,3.411846,1.895870,2.749032,4.697020
THA,2028,-0.696936,3.414724,1.908074,2.693989,4.653466
THA,2029,-0.766580,3.456209,1.877122,2.663135,4.590247
THA,2030,-0.808285,4.885302,4.482113,4.037530,8.700610
THA,2031,-0.831848,4.852769,4.359330,3.980553,8.513409
THA,2032,-0.868784,4.811043,4.222107,3.900462,8.287250
THA,2033,-0.926046,4.757569,4.078335,3.787466,8.020266
THA,2034,-0.973920,4.689123,3.939340,3.669534,7.753430
THA,2035,-0.994499,4.601689,3.816559,3.561426,7.513909
THA,2036,-0.988933,4.490372,3.717471,3.457032,7.303017
THA,2037,-0.965143,4.349409,3.643703,3.342288,7.107774
THA,2038,-0.949618,4.172456,3.592238,3.183215,6.889802
THA,2039,-0.933553,3.953390,3.558016,2.982930,6.647079
THA,2040,-0.907705,3.688021,3.536001,2.746839,6.379969
THA,2041,-0.895042,3.376971,3.522148,2.451703,6.060203
THA,2042,-0.924293,3.029337,3.513551,2.077044,5.663573
THA,2043,-0.966149,2.665115,3.508263,1.673217,5.240181
THA,2044,-1.001942,2.312994,3.505028,1.287878,4.838046
THA,2045,-1.029031,2.001949,3.503056,0.952317,4.488733
THA,2046,-1.069087,1.750925,3.501856,0.663119,4.188197
THA,2047,-1.125151,1.564047,3.501126,0.421297,3.937174
THA,2048,-1.150460,1.433670,3.500683,0.266716,3.776736
THA,2049,-1.125898,1.346973,3.500415,0.205909,3.713531
THA,2050,-1.105453,1.291204,3.500252,0.171477,3.677731
THA,2051,-1.091935,1.256107,3.500153,0.150457,3.655876
THA,2052,-1.101373,1.234329,3.500093,0.119361,3.623631
THA,2053,-1.129510,1.220933,3.500056,0.077632,3.580405
THA,2054,-1.158466,1.212738,3.500034,0.040222,3.541664
THA,2055,-1.207233,1.207741,3.500021,-0.014072,3.485456
THA,2056,-1.260343,1.204701,3.500013,-0.070826,3.426708
THA,2057,-1.254232,1.202853,3.500008,-0.066465,3.431216
THA,2058,-1.233631,1.201731,3.500005,-0.046725,3.451644
THA,2059,-1.243349,1.201050,3.500003,-0.057232,3.440767
THA,2060,-1.336791,1.200637,3.500002,-0.152203,3.342471
THA,2061,-1.436664,1.200387,3.500001,-0.253523,3.237605
THA,2062,-1.436867,1.200234,3.500001,-0.253878,3.237237
THA,2063,-1.349605,1.200142,3.500000,-0.165660,3.328543
THA,2064,-1.243144,1.200086,3.500000,-0.057977,3.439994
THA,2065,-1.181661,1.200052,3.500000,0.004211,3.504358
THA,2066,-1.164570,1.200032,3.500000,0.021487,3.522239
THA,2067,-1.137225,1.200019,3.500000,0.049147,3.550867
THA,2068,-1.105573,1.200012,3.500000,0.081172,3.584013
THA,2069,-1.092084,1.200007,3.500000,0.094818,3.598137
THA,2070,-1.100875,1.200004,3.500000,0.085918,3.588925
THA,2071,-1.132948,1.200003,3.500000,0.053459,3.555330
THA,2072,-1.169317,1.200002,3.500000,0.016653,3.517235
THA,2073,-1.193293,1.200001,3.500000,-0.007612,3.492122
THA,2074,-1.207705,1.200001,3.500000,-0.022197,3.477027
THA,2075,-1.225932,1.200000,3.500000,-0.040642,3.457935
THA,2076,-1.251665,1.200000,3.500000,-0.066685,3.430981
THA,2077,-1.278182,1.200000,3.500000,-0.093520,3.403207
THA,2078,-1.258766,1.200000,3.500000,-0.073872,3.423543
THA,2079,-1.212894,1.200000,3.500000,-0.027449,3.471591
THA,2080,-1.165106,1.200000,3.500000,0.020913,3.521645
THA,2081,-1.111691,1.200000,3.500000,0.074968,3.577592
