rule,years,nominal_interest_rate,debt_baseline,debt_hot
Nominal interest rate,2024,7.435475,69.872758,69.872758
Nominal interest rate,2025,7.362769,72.361483,72.361483
Nominal interest rate,2026,7.422671,71.886635,71.886635
Nominal interest rate,2027,7.634928,70.151563,70.151563
Nominal interest rate,2028,7.720186,68.000500,68.000500
Nominal interest rate,2029,7.610312,66.071507,66.071507
Nominal interest rate,2030,7.610312,61.827297,61.861877
Nominal interest rate,2031,7.610312,57.809519,57.883856
Nominal interest rate,2032,7.610312,54.020326,54.139675
Nominal interest rate,2033,7.610312,50.461629,50.631411
Nominal interest rate,2034,7.610312,47.110924,47.336747
Nominal interest rate,2035,7.610312,46.962229,47.257835
Nominal interest rate,2036,7.610312,47.020542,47.394866
Nominal interest rate,2037,7.610312,47.131632,47.593452
Nominal interest rate,2038,7.610312,47.291366,47.849717
Nominal interest rate,2039,7.610312,47.517238,48.181706
Nominal interest rate,2040,7.610312,47.822205,48.603064
Nominal interest rate,2041,7.610312,48.221205,49.129620
Nominal interest rate,2042,7.610312,48.723688,49.771838
Nominal interest rate,2043,7.610312,49.339625,50.540870
Nominal interest rate,2044,7.610312,50.071342,51.440175
Nominal interest rate,2045,7.610312,50.221332,51.767866
Nominal interest rate,2046,7.610312,50.309835,52.047937
Nominal interest rate,2047,7.610312,50.365146,52.309044
Nominal interest rate,2048,7.610312,50.393367,52.557425
Nominal interest rate,2049,7.610312,50.403407,52.802187
Nominal interest rate,2050,7.610312,50.404836,53.053255
Nominal interest rate,2051,7.610312,50.403171,53.316554
Nominal interest rate,2052,7.610312,50.399832,53.593904
Nominal interest rate,2053,7.610312,50.379717,53.869810
Nominal interest rate,2054,7.610312,50.345402,54.147384
Nominal interest rate,2055,7.610312,50.302984,54.433394
Nominal interest rate,2056,7.610312,50.248937,54.724431
Nominal interest rate,2057,7.610312,50.186016,55.023854
Nominal interest rate,2058,7.610312,50.116992,55.335023
Nominal interest rate,2059,7.610312,50.042866,55.659482
Nominal interest rate,2060,7.610312,49.968507,56.003036
Nominal interest rate,2061,7.610312,49.969117,56.442971
Nominal interest rate,2062,7.610312,49.978275,56.912579
Nominal interest rate,2063,7.610312,50.004722,57.421968
Nominal interest rate,2064,7.610312,50.026974,57.950022
Nominal interest rate,2065,7.610312,50.052793,58.505596
Nominal interest rate,2066,7.610312,50.088105,59.096213
Nominal interest rate,2067,7.610312,50.124603,59.713958
Nominal interest rate,2068,7.610312,50.161648,60.358804
Nominal interest rate,2069,7.610312,50.199980,61.032240
Nominal interest rate,2070,7.610312,50.241454,61.737332
Nominal interest rate,2071,7.610312,50.285070,62.474152
Nominal interest rate,2072,7.610312,50.336215,63.250178
Nominal interest rate,2073,7.610312,50.384747,64.055141
Nominal interest rate,2074,7.610312,50.428480,64.886718
Nominal interest rate,2075,7.610312,50.461370,65.737864
Nominal interest rate,2076,7.610312,50.485023,66.609858
Nominal interest rate,2077,7.610312,50.502276,67.505915
Nominal interest rate,2078,7.610312,50.515415,68.429094
Nominal interest rate,2079,7.610312,50.526298,69.382510
Nominal interest rate,2080,7.610312,50.548302,70.384502
Nominal interest rate,2081,7.610312,50.576187,71.432060
Nominal interest rate,2082,7.610312,50.600381,72.515159
Nominal interest rate,2083,7.610312,50.620825,73.633900
Nominal interest rate,2084,7.610312,50.640272,74.792362
Nominal interest rate,2085,7.610312,50.668874,76.005515
Nominal interest rate,2086,7.610312,50.701565,77.270559
Nominal interest rate,2087,7.610312,50.741231,78.594141
Nominal interest rate,2088,7.610312,50.786134,79.977051
Nominal interest rate,2089,7.610312,50.827660,81.409655
Nominal interest rate,2090,7.610312,50.876267,82.907304
Nominal interest rate,2091,7.610312,50.927126,84.467112
Nominal interest rate,2092,7.610312,50.979987,86.090975
Nominal interest rate,2093,7.610312,51.034132,87.779895
Nominal interest rate,2094,7.610312,51.087550,89.533025
Nominal interest rate,2095,7.610312,51.144559,91.358541
Nominal interest rate,2096,7.610312,51.200166,93.252037
Nominal interest rate,2097,7.610312,51.256757,95.218229
Nominal interest rate,2098,7.610312,51.313459,97.257902
Nominal interest rate,2099,7.610312,51.366935,99.367337
Interest-growth differential,2024,7.435475,69.872758,69.872758
Interest-growth differential,2025,7.362769,72.361483,72.361483
Interest-growth differential,2026,7.422671,71.886635,71.886635
Interest-growth differential,2027,7.634928,70.151563,70.151563
Interest-growth differential,2028,7.720186,68.000500,68.000500
Interest-growth differential,2029,7.610312,66.071507,66.071507
Interest-growth differential,2030,7.610312,61.827297,61.861877
Interest-growth differential,2031,9.346508,58.769659,58.844946
Interest-growth differential,2032,9.138286,55.751597,55.873648
Interest-growth differential,2033,8.891538,52.778231,52.953058
Interest-growth differential,2034,8.605440,49.830782,50.064285
Interest-growth differential,2035,8.323347,49.562851,49.867815
Interest-growth differential,2036,8.064344,49.502922,49.888086
Interest-growth differential,2037,7.802392,49.441689,49.915222
Interest-growth differential,2038,7.562102,49.386496,49.956579
Interest-growth differential,2039,7.317781,49.348191,50.023147
Interest-growth differential,2040,7.027389,49.303271,50.091305
Interest-growth differential,2041,6.700925,49.255783,50.165125
Interest-growth differential,2042,6.337149,49.198543,50.237320
Interest-growth differential,2043,5.948793,49.135908,50.312222
Interest-growth differential,2044,5.541245,49.061484,50.383171
Interest-growth differential,2045,5.139045,48.967572,50.441931
Interest-growth differential,2046,4.783950,48.869362,50.503501
Interest-growth differential,2047,4.484748,48.767716,50.568397
Interest-growth differential,2048,4.251607,48.672080,50.646007
Interest-growth differential,2049,4.074550,48.586913,50.740805
Interest-growth differential,2050,3.938518,48.514294,50.854953
Interest-growth differential,2051,3.826864,48.451495,50.985679
Interest-growth differential,2052,3.731247,48.397257,51.131636
Interest-growth differential,2053,3.647938,48.335085,51.275556
Interest-growth differential,2054,3.598475,48.291025,51.444344
Interest-growth differential,2055,3.548508,48.253972,51.626714
Interest-growth differential,2056,3.496264,48.213380,51.811510
Interest-growth differential,2057,3.456082,48.181291,52.011151
Interest-growth differential,2058,3.414878,48.152235,52.219952
Interest-growth differential,2059,3.373930,48.124766,52.436295
Interest-growth differential,2060,3.334600,48.103121,52.664600
Interest-growth differential,2061,3.290114,48.084457,52.901836
Interest-growth differential,2062,3.242177,48.067362,53.146289
Interest-growth differential,2063,3.195634,48.059808,53.406287
Interest-growth differential,2064,3.142429,48.053309,53.672714
Interest-growth differential,2065,3.092163,48.052387,53.950211
Interest-growth differential,2066,3.041550,48.061058,54.243074
Interest-growth differential,2067,2.984352,48.076442,54.547607
Interest-growth differential,2068,2.934518,48.102759,54.868091
Interest-growth differential,2069,2.890251,48.144047,55.208639
Interest-growth differential,2070,2.849838,48.205038,55.574261
Interest-growth differential,2071,2.808619,48.287113,55.966222
Interest-growth differential,2072,2.768072,48.397672,56.392494
Interest-growth differential,2073,2.720681,48.530515,56.845542
Interest-growth differential,2074,2.684349,48.686163,57.325816
Interest-growth differential,2075,2.658834,48.858822,57.826988
Interest-growth differential,2076,2.648351,49.046444,58.347292
Interest-growth differential,2077,2.646788,49.246645,58.884648
Interest-growth differential,2078,2.648159,49.456363,59.436079
Interest-growth differential,2079,2.649509,49.672849,59.998933
Interest-growth differential,2080,2.647936,49.905239,60.584144
Interest-growth differential,2081,2.624713,50.148205,61.184834
Interest-growth differential,2082,2.595988,50.163853,61.555147
Interest-growth differential,2083,2.576164,50.174582,61.923560
Interest-growth differential,2084,2.562247,50.187202,62.297540
Interest-growth differential,2085,2.548457,50.209034,62.685994
Interest-growth differential,2086,2.520579,50.227970,63.075249
Interest-growth differential,2087,2.490093,50.252477,63.474423
Interest-growth differential,2088,2.452762,50.279064,63.879250
Interest-growth differential,2089,2.414257,50.301969,64.282276
Interest-growth differential,2090,2.387222,50.337779,64.702841
Interest-growth differential,2091,2.351864,50.372008,65.124775
Interest-growth differential,2092,2.318031,50.409158,65.552663
Interest-growth differential,2093,2.285683,50.448665,65.985680
Interest-growth differential,2094,2.256189,50.489095,66.422094
Interest-growth differential,2095,2.230922,50.535451,66.867960
Interest-growth differential,2096,2.202841,50.579263,67.313300
Interest-growth differential,2097,2.180348,50.627106,67.765446
Interest-growth differential,2098,2.159222,50.676046,68.221095
Interest-growth differential,2099,2.140858,50.723400,68.676766
Real interest rate,2024,7.435475,69.872758,69.872758
Real interest rate,2025,7.362769,72.361483,72.361483
Real interest rate,2026,7.422671,71.886635,71.886635
Real interest rate,2027,7.634928,70.151563,70.151563
Real interest rate,2028,7.720186,68.000500,68.000500
Real interest rate,2029,7.610312,66.071507,66.071507
Real interest rate,2030,6.028793,60.894436,60.928621
Real interest rate,2031,5.526934,55.776868,55.849314
Real interest rate,2032,5.402924,50.955674,51.070426
Real interest rate,2033,5.264328,46.422886,46.584016
Real interest rate,2034,5.119118,46.236960,46.457458
Real interest rate,2035,4.978733,46.231404,46.518913
Real interest rate,2036,4.854724,46.240583,46.602340
Real interest rate,2037,4.754645,46.254812,46.697919
Real interest rate,2038,4.680140,46.280793,46.812376
Real interest rate,2039,4.628161,46.344187,46.971692
Real interest rate,2040,4.593596,46.462860,47.194174
Real interest rate,2041,4.571361,46.653516,47.497137
Real interest rate,2042,4.557369,46.924985,47.890085
Real interest rate,2043,4.548686,47.284936,48.381470
Real interest rate,2044,4.543346,47.732814,48.971426
Real interest rate,2045,4.540078,48.250608,49.642207
Real interest rate,2046,4.538086,48.816879,50.372416
Real interest rate,2047,4.536874,49.406005,51.136153
Real interest rate,2048,4.536138,49.996436,51.911494
Real interest rate,2049,4.535690,50.574772,52.684726
Real interest rate,2050,4.535419,50.592380,52.901592
Real interest rate,2051,4.535254,50.586350,53.103965
Real interest rate,2052,4.535154,50.574447,53.309755
Real interest rate,2053,4.535093,50.542225,53.503837
Real interest rate,2054,4.535057,50.492992,53.689631
Real interest rate,2055,4.535034,50.433654,53.874265
Real interest rate,2056,4.535021,50.361287,54.054562
Real interest rate,2057,4.535013,50.279167,54.233936
Real interest rate,2058,4.535008,50.190558,54.415771
Real interest rate,2059,4.535005,50.096799,54.601465
Real interest rate,2060,4.535003,50.003011,54.796499
Real interest rate,2061,4.535002,49.914276,55.006308
Real interest rate,2062,4.535001,49.917329,55.319174
Real interest rate,2063,4.535001,49.935994,55.658231
Real interest rate,2064,4.535000,49.973735,56.027104
Real interest rate,2065,4.535000,50.034514,56.430085
Real interest rate,2066,4.535000,50.070142,56.818695
Real interest rate,2067,4.535000,50.105624,57.218241
Real interest rate,2068,4.535000,50.141887,57.629586
Real interest rate,2069,4.535000,50.179731,58.053532
Real interest rate,2070,4.535000,50.220886,58.492114
Real interest rate,2071,4.535000,50.264282,58.944424
Real interest rate,2072,4.535000,50.315359,59.416767
Real interest rate,2073,4.535000,50.363957,59.898204
Real interest rate,2074,4.535000,50.408060,60.386021
Real interest rate,2075,4.535000,50.441464,60.872728
Real interest rate,2076,4.535000,50.465774,61.359200
Real interest rate,2077,4.535000,50.483668,61.847866
Real interest rate,2078,4.535000,50.497346,62.340926
Real interest rate,2079,4.535000,50.508569,62.840430
Real interest rate,2080,4.535000,50.530686,63.362367
Real interest rate,2081,4.535000,50.558450,63.902140
Real interest rate,2082,4.535000,50.582499,64.449324
Real interest rate,2083,4.535000,50.602953,65.003465
Real interest rate,2084,4.535000,50.622476,65.567379
Real interest rate,2085,4.535000,50.651148,66.153384
Real interest rate,2086,4.535000,50.683768,66.756736
Real interest rate,2087,4.535000,50.723394,67.381837
Real interest rate,2088,4.535000,50.768366,68.027523
Real interest rate,2089,4.535000,50.810148,68.683629
Real interest rate,2090,4.535000,50.859245,69.362592
Real interest rate,2091,4.535000,50.910622,70.059353
Real interest rate,2092,4.535000,50.964171,70.773931
Real interest rate,2093,4.535000,51.019206,71.505491
Real interest rate,2094,4.535000,51.073661,72.251479
Real interest rate,2095,4.535000,51.131877,73.017232
Real interest rate,2096,4.535000,51.188777,73.796764
Real interest rate,2097,4.535000,51.246876,74.592698
Real interest rate,2098,4.535000,51.305234,75.403770
Real interest rate,2099,4.535000,51.360509,76.225252
