years,revenue,primary_expenditure,primary_balance,dspb
2024,17.542052,17.383222,0.158830,-1.689143
2025,18.195418,17.148427,1.046991,-1.754257
2026,18.934510,17.562863,1.371647,-1.901140
2027,19.438480,17.697996,1.740484,-1.720817
2028,19.716647,17.761584,1.955063,-1.491048
2029,19.809024,18.219225,1.589799,-1.619304
2030,19.809024,18.162279,1.646745,-2.597465
2031,19.809024,18.108537,1.700487,-2.317291
2032,19.809024,18.060449,1.748575,-2.040618
2033,19.809024,18.019909,1.789115,-1.769582
2034,19.809024,17.984219,1.824805,-1.525901
2035,19.809024,20.975409,-1.166385,-1.315081
2036,19.809024,21.067338,-1.258314,-1.200001
2037,19.809024,21.019246,-1.210223,-1.099133
2038,19.809024,20.965694,-1.156670,-0.996937
2039,19.809024,20.909612,-1.100589,-0.874717
2040,19.809024,20.850190,-1.041166,-0.736199
2041,19.809024,20.787884,-0.978860,-0.579860
2042,19.809024,20.721593,-0.912569,-0.410086
2043,19.809024,20.652773,-0.843749,-0.227813
2044,19.809024,20.583572,-0.774548,-0.042831
2045,19.809024,19.832944,-0.023920,0.126070
2046,19.809024,19.626904,0.182120,0.270623
2047,19.809024,19.480119,0.328904,0.384216
2048,19.809024,19.366268,0.442755,0.470976
2049,19.809024,19.281253,0.527770,0.537810
2050,19.809024,19.217754,0.591270,0.592699
2051,19.809024,19.167634,0.641390,0.639724
2052,19.809024,19.124955,0.684068,0.680730
2053,19.809024,19.083835,0.725188,0.705073
2054,19.809024,19.045267,0.763757,0.729442
2055,19.809024,19.011878,0.797145,0.754727
2056,19.809024,18.981054,0.827970,0.773922
2057,19.809024,18.952684,0.856340,0.793419
2058,19.809024,18.927380,0.881644,0.812619
2059,19.809024,18.904013,0.905011,0.830885
2060,19.809024,18.883098,0.925926,0.851567
2061,19.809024,18.935736,0.873287,0.873897
2062,19.809024,18.921342,0.887681,0.896839
2063,19.809024,18.912224,0.896800,0.923247
2064,19.809024,18.882708,0.926316,0.948567
2065,19.809024,18.860814,0.948209,0.974028
2066,19.809024,18.841464,0.967560,1.002872
2067,19.809024,18.817208,0.991816,1.028315
2068,19.809024,18.794996,1.014028,1.051072
2069,19.809024,18.775383,1.033640,1.071972
2070,19.809024,18.757150,1.051873,1.093348
2071,19.809024,18.738133,1.070890,1.114506
2072,19.809024,18.720981,1.088042,1.139187
2073,19.809024,18.698996,1.110027,1.158560
2074,19.809024,18.680269,1.128755,1.172488
2075,19.809024,18.663138,1.145885,1.178775
2076,19.809024,18.652346,1.156677,1.180330
2077,19.809024,18.646083,1.162940,1.180193
2078,19.809024,18.642246,1.166778,1.179917
2079,19.809024,18.638890,1.170134,1.181016
2080,19.809024,18.638056,1.170967,1.192972
2081,19.809024,18.628931,1.180093,1.207978
2082,19.809024,18.614565,1.194458,1.218652
2083,19.809024,18.603201,1.205823,1.226267
2084,19.809024,18.594736,1.214287,1.233734
2085,19.809024,18.589312,1.219712,1.248315
2086,19.809024,18.577251,1.231772,1.264462
2087,19.809024,18.564476,1.244547,1.284214
2088,19.809024,18.549148,1.259876,1.304779
2089,19.809024,18.530861,1.278162,1.319688
2090,19.809024,18.518848,1.290176,1.338782
2091,19.809024,18.502554,1.306470,1.357329
2092,19.809024,18.486664,1.322359,1.375221
2093,19.809024,18.471418,1.337605,1.391750
2094,19.809024,18.456256,1.352767,1.406186
2095,19.809024,18.443952,1.365072,1.422081
2096,19.809024,18.429391,1.379633,1.435240
2097,19.809024,18.417928,1.391095,1.447685
2098,19.809024,18.406965,1.402059,1.458761
2099,19.809024,18.396245,1.412778,1.466254
