scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,19.131260273745458,4.885302226494389,,21.43627216471114,,17.360629458117412,4.0756427065937295,,5.300905319078711,63.1582468429814
Baseline,2031,,20.76174403635525,4.852768645366282,,21.43627216471114,,17.441376571876102,3.9948955928350394,,5.300905319078711,57.288372759585044
Baseline,2032,,22.522221525425994,4.81104318381756,,21.436272164711145,,22.93317175243091,-1.4968995877197635,,5.300905319078711,57.106682316004466
Baseline,2033,,24.338919916744363,4.411834451195418,,21.43627216471115,,23.283270929240476,-1.846998764529328,,5.300905319078711,57.49235910947256
Baseline,2034,,26.372008767191364,4.68912258469507,,21.436272164711145,,23.39007492432874,-1.953802759617595,,5.300905319078711,57.826588459303764
Baseline,2035,,28.45652155468614,4.2553260430399575,,21.436272164711145,,23.574941640079512,-2.138669475368367,,5.300905319078711,58.57010209688775
Baseline,2036,,30.672783950533987,4.143227737350813,,21.43627216471115,,23.761040800601958,-2.324768635890809,,5.300905319078711,59.543299478526194
Baseline,2037,,33.12710919248083,4.349409028613536,,21.43627216471115,,23.81479881146305,-2.378526646751901,,5.300905319078711,60.432862089029555
Baseline,2038,,35.59809228524984,3.8252141567792535,,21.43627216471115,,23.12056968822735,-1.6842975235162,,5.300905319078711,60.903435663029136
Baseline,2039,,38.17251790347,3.605719976735827,,21.43627216471115,,22.863814471682822,-1.4275423069716737,,5.300905319078711,61.23423887491475
Baseline,2040,,40.82817108838335,3.340074127960605,,21.43627216471114,,22.682947536439904,-1.246675371728763,,5.300905319078711,61.53279216041017
Baseline,2041,,43.6841688303568,3.37697055979757,,21.43627216471114,,22.454658013439527,-1.0183858487283857,,5.300905319078711,61.57681154769592
Baseline,2042,,46.42592783422192,2.6824365049666454,,21.43627216471114,,22.539389929691556,-1.1031177649804143,,5.300905319078711,62.114770161985135
Baseline,2043,,49.33144540047277,2.665115151138025,,21.43627216471114,,22.033115937473404,-0.5968437727622629,,5.300905319078711,62.151900972062016
Baseline,2044,,52.23901564793828,2.3129942314911176,,21.43627216471114,,22.04712331805571,-0.6108511533445693,,5.300905319078711,62.41467941392705
Baseline,2045,,54.96346549514214,1.6573473316267666,,21.436272164711145,,21.87210638863878,-0.4358342239276354,,5.300905319078711,62.90126314781697
Baseline,2046,,57.88323897985714,1.7509253816790675,,21.43627216471114,,21.458671820498708,-0.02239965578756653,,5.300905319078711,62.916912034087424
Baseline,2047,,60.63990126574257,1.2197617442366777,,21.436272164711145,,21.516723005130522,-0.08045084041937756,,5.300905319078711,63.32073952896228
Baseline,2048,,63.662102032992934,1.4336699807784754,,21.436272164711145,,21.132066221336117,0.3042059433750275,,5.300905319078711,63.20776563682881
Baseline,2049,,66.55066430719958,1.0022551840871898,,21.43627216471115,,21.204189314241695,0.2320828504694532,,5.300905319078711,63.43737075735339
Baseline,2050,,69.76931782344566,1.2912036465564825,,21.43627216471115,,20.98517651927769,0.45109564543345826,,5.300905319078711,63.267353682029906
Baseline,2051,,72.86874427180821,0.9105234705859715,,21.43627216471115,,21.01035388684782,0.42591827786332814,,5.300905319078711,63.361491274421496
Baseline,2052,,76.35007066035341,1.2343288608606144,,21.43627216471115,,20.92050867665985,0.5157634880512987,,5.300905319078711,63.16222519844998
Baseline,2053,,79.71320409649064,0.874285816500219,,21.436272164711145,,20.99240045905387,0.4438717056572763,,5.300905319078711,63.26042185418754
Baseline,2054,,83.21675895339692,0.8649276701144117,,21.43627216471114,,20.923914982789853,0.5123571819212884,,5.300905319078711,63.296895382093474
Baseline,2055,,86.86898035473747,0.8587489357244635,,21.43627216471115,,20.961375996646307,0.47489616806484136,,5.300905319078711,63.37505764778108
Baseline,2056,,90.36282782913594,0.5043223387959301,,21.436272164711152,,20.985298247381696,0.45097391732945624,,5.300905319078711,63.70326881312304
Baseline,2057,,94.32070901617466,0.8502301352363588,,21.436272164711152,,20.744234632329768,0.6920375323813843,,5.300905319078711,63.57326843410362
Baseline,2058,,98.10421251973263,0.49402697637921733,,21.436272164711152,,20.843690611373727,0.5925815533374248,,5.300905319078711,63.76890192788605
Baseline,2059,,102.0337373289154,0.48836697089895154,,21.436272164711152,,20.803418950601255,0.6328532141098968,,5.300905319078711,63.930325643633296
Baseline,2060,,106.1148866115163,0.48290220293991126,,21.436272164711152,,20.749926879771728,0.6863452849394243,,5.300905319078711,64.04378807046534
Baseline,2061,,110.35336992119454,0.47752662712474603,,21.436272164711152,,20.743243190915944,0.693028973795208,,5.300905319078711,64.15545551969547
Baseline,2062,,114.75503627568527,0.4721752162299566,,21.436272164711152,,20.78617233372005,0.6500998309911026,,5.300905319078711,64.31491521157733
Baseline,2063,,118.89040107743318,0.10014066472704997,,21.436272164711152,,20.813454802650224,0.6228173620609283,,5.300905319078711,64.74572019144571
Baseline,2064,,123.61599487192044,0.4586936836186766,,21.436272164711152,,20.505500366133514,0.9307717985776378,,5.300905319078711,64.64075480085157
Baseline,2065,,128.52237559011706,0.4531884634266419,,21.43627216471115,,20.657957617926325,0.7783145467848236,,5.300905319078711,64.69049561482832
Baseline,2066,,133.61607934363323,0.4476151400248227,,21.43627216471115,,20.717873014123853,0.7183991505872953,,5.300905319078711,64.80442433442653
Baseline,2067,,138.9038495036864,0.44196666840217347,,21.436272164711152,,20.717415846608684,0.7188563181024676,,5.300905319078711,64.92305297061733
Baseline,2068,,144.39264391078777,0.43623800093872944,,21.436272164711152,,20.71350801032548,0.722764154385672,,5.300905319078711,65.04305776759678
Baseline,2069,,150.0896414715854,0.43042527772681183,,21.43627216471115,,20.756782470749304,0.6794896939618447,,5.300905319078711,65.21170824974145
Baseline,2070,,156.00224837494594,0.42452533450658336,,21.43627216471115,,20.70726922044533,0.7290029442658188,,5.300905319078711,65.33692577549306
Baseline,2071,,161.50721650526705,0.027801802447143587,,21.43627216471115,,20.781261099107162,0.6550110656039863,,5.300905319078711,65.80030480054945
Baseline,2072,,167.8442828267185,0.40937656756059937,,21.436272164711145,,20.4511898267643,0.9850823379468459,,5.300905319078711,65.68721040420394
Baseline,2073,,174.41918116742548,0.4031505570140723,,21.436272164711145,,20.56633037462484,0.8699417900863047,,5.300905319078711,65.69188507518608
Baseline,2074,,181.24021804326904,0.3968259734268713,,21.436272164711145,,20.678814433091734,0.7574577316194109,,5.300905319078711,65.81329946465479
Baseline,2075,,188.31595280540543,0.39040034970409465,,21.43627216471115,,20.680805797508135,0.7554663672030131,,5.300905319078711,65.94259841227318
Baseline,2076,,196.4505493505358,0.7919356968256039,,21.43627216471115,,20.592744253282895,0.8435279114282537,,5.300905319078711,65.71933999039935
Baseline,2077,,204.93317298562152,0.79028352997112,,21.436272164711152,,20.628702968533943,0.8075691961772087,,5.300905319078711,65.53102768236263
Baseline,2078,,213.77853875114923,0.7886179645179254,,21.436272164711152,,20.664955224317655,0.771316940393497,,5.300905319078711,65.37828633651802
Baseline,2079,,223.91591716429002,1.200000047708997,,21.436272164711152,,20.569062160631724,0.8672100040794284,,5.300905319078711,64.85993609013086
Baseline,2080,,233.57672834971845,0.7869388043290542,,21.436272164711152,,20.60521856169363,0.8310536030175228,,5.300905319078711,64.64221415789478
Baseline,2081,,243.65026087979365,0.7852459191185943,,21.436272164711152,,20.641672546303365,0.794599618407787,,5.300905319078711,64.45998343744728
Baseline,2082,,254.1539334122188,0.7835391052517053,,21.43627216471115,,20.678427803513195,0.7578443611979537,,5.300905319078711,64.31388366524239
Baseline,2083,,266.2059129516105,1.2000000064567047,,21.43627216471115,,20.58134598283942,0.8549261818717291,,5.300905319078711,63.8021375948735
Baseline,2084,,277.6772097621916,0.7818181857181798,,21.436272164711145,,20.618003433799235,0.8182687309119103,,5.300905319078711,63.59047010363578
Baseline,2085,,290.8446630559412,1.2000000023753046,,21.436272164711145,,20.56926110889663,0.8670110558145154,,5.300905319078711,63.062779013321936
Baseline,2086,,303.37246504470454,0.7800829889865923,,21.43627216471114,,20.55707552767098,0.8791966370401632,,5.300905319078711,62.78425025265102
Baseline,2087,,317.75838733986814,1.200000000873814,,21.43627216471114,,20.508130109747952,0.9281420549631889,,5.300905319078711,62.19112615957027
Baseline,2088,,331.4397130273124,0.7783333338610987,,21.436272164711145,,20.49563776458768,0.9406344001234643,,5.300905319078711,61.84394722345219
Baseline,2089,,345.7040462108809,0.7765690379770263,,21.436272164711145,,20.532397165692977,0.9038749990181678,,5.300905319078711,61.531307786096676
Baseline,2090,,362.09733208289845,1.2000000001949758,,21.43627216471114,,20.483040441736986,0.9532317229741558,,5.300905319078711,60.90640830042024
Baseline,2091,,377.67442459772656,0.774789916084174,,21.43627216471114,,20.470336812364337,0.9659353523468042,,5.300905319078711,60.52383107292017
Baseline,2092,,393.9146160832647,0.7729957806621428,,21.43627216471114,,20.507300526393315,0.9289716383178259,,5.300905319078711,60.17564112724805
Baseline,2093,,410.8457673171863,0.7711864407212943,,21.43627216471114,,20.544578825222533,0.891693339488608,,5.300905319078711,59.86247909592964
Baseline,2094,,428.49689031154975,0.7693617021539296,,21.43627216471114,,20.882437652778382,0.5538345119327595,,5.300905319078711,59.88525955385154
Baseline,2095,,446.898194846561,0.7675213675372845,,21.43627216471114,,20.86975910798763,0.5665130567235117,,5.300905319078711,59.89668512544762
Baseline,2096,,466.081136828864,0.7656652360611673,,21.43627216471114,,20.908343115804332,0.5279290489068096,,5.300905319078711,59.94791893173695
Baseline,2097,,486.07846854275965,0.7637931034541339,,21.43627216471114,,20.947261184294767,0.48901098041637425,,5.300905319078711,60.039690771984986
Baseline,2098,,506.9242908651398,0.7619047619083119,,21.43627216471114,,20.898519686917368,0.5377524777937737,,5.300905319078711,60.08474629425539
Baseline,2099,,528.6541075173762,0.7600000000021652,,21.43627216471114,,20.894749423391637,0.5415227413195041,,5.300905319078711,60.12761577362026
