scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,2714.18105589766,8.439732124031593,,15.788213567127851,,17.846548702215944,-2.058335135088093,,1.3612593818078325,40.769608547122246
Baseline,2031,,3042.8522345941606,8.31826577896075,,15.788213567127851,,19.666715262792415,-3.878501695664564,,1.3612593818078325,40.73944894487724
Baseline,2032,,3410.8395233147976,8.302897081533317,,15.788213567127851,,19.623831279597738,-3.8356177124698867,,1.3612593818078325,40.67452369356013
Baseline,2033,,3822.137849786893,8.269145650083232,,15.788213567127851,,19.597077365776848,-3.8088637986489964,,1.3612593818078325,40.60052643345341
Baseline,2034,,4280.858597136225,8.214183409532524,,15.788213567127851,,19.567498527444123,-3.7792849603162715,,1.3612593818078325,40.5226668198317
Baseline,2035,,4792.206231084385,8.159399401911102,,15.788213567127851,,19.52243587116588,-3.7342223040380276,,1.3612593818078325,40.425716659317516
Baseline,2036,,5360.330139994495,8.072622242320023,,15.788213567127855,,19.477625157866044,-3.689411590738189,,1.3612593818078325,40.322512868373785
Baseline,2037,,5988.918197914256,7.948470392646328,,15.788213567127855,,19.419022726635095,-3.6308091595072405,,1.3612593818078325,40.212413182753025
Baseline,2038,,6678.038399178538,7.735834761379195,,15.788213567127851,,19.35971258063457,-3.5714990135067204,,1.3612593818078325,40.125220908709125
Baseline,2039,,7430.184992327645,7.5004704792380466,,15.788213567127851,,19.26994762130772,-3.481734054179867,,1.3612593818078325,40.036054910706234
Baseline,2040,,8248.26320907965,7.256231737466322,,15.788213567127851,,19.166056567647615,-3.377843000519764,,1.3612593818078325,39.93398785905332
Baseline,2041,,9127.477133542227,6.917277770749536,,15.788213567127851,,19.069235830515098,-3.2810222633872463,,1.3612593818078325,39.85956816117904
Baseline,2042,,10064.615348928011,6.5383774216893045,,15.788213567127851,,18.941645050742117,-3.1534314836142663,,1.3612593818078325,39.7936587795931
Baseline,2043,,11054.569602121177,6.121726530426102,,15.788213567127848,,18.803199555804664,-3.014985988676816,,1.3612593818078325,39.738244740068325
Baseline,2044,,12093.630389499247,5.699882162326446,,15.788213567127851,,18.655932560012086,-2.8677189928842353,,1.3612593818078325,39.68619643501772
Baseline,2045,,13183.15484894947,5.322779594819622,,15.788213567127851,,18.50834881982599,-2.720135252698139,,1.3612593818078325,39.62204256021421
Baseline,2046,,14325.825642501875,4.992906409439186,,15.788213567127851,,18.377627806855774,-2.5894142397279225,,1.3612593818078325,39.54742182133096
Baseline,2047,,15528.975442632249,4.732818769347176,,15.788213567127851,,18.260152753719424,-2.471939186591573,,1.3612593818078325,39.45194984808981
Baseline,2048,,16796.173326538013,4.502623813634216,,15.788213567127851,,18.1723868770165,-2.3841733098886486,,1.3612593818078325,39.356171726730764
Baseline,2049,,18140.92954297699,4.353937154079219,,15.788213567127851,,18.087379465816724,-2.299165898688873,,1.3612593818078325,39.23395774860782
Baseline,2050,,19566.309946509184,4.209915189444601,,15.788213567127848,,18.032818506707084,-2.2446049395792365,,1.3612593818078325,39.115588738336044
Baseline,2051,,21079.82503845446,4.092088744184679,,15.788213567127851,,17.98296055066672,-2.19474698353887,,1.3612593818078325,38.99610085616976
Baseline,2052,,22682.536219693327,3.9643065921654426,,15.788213567127851,,17.94664732743714,-2.15843376030929,,1.3612593818078325,38.892463369712175
Baseline,2053,,24380.61279026928,3.8514714372935686,,15.788213567127851,,17.905615393570923,-2.1174018264430714,,1.3612593818078325,38.79361135417964
Baseline,2054,,26183.50866130566,3.7630851155570895,,15.788213567127855,,17.868580694497133,-2.0803671273692785,,1.3612593818078325,38.694519355068905
Baseline,2055,,28094.291437399435,3.6692342718742452,,15.788213567127855,,17.83905531746522,-2.0508417503373657,,1.3612593818078325,38.60453085626523
Baseline,2056,,30122.920202864905,3.5949626715332528,,15.788213567127855,,17.806948217892554,-2.0187346507646993,,1.3612593818078325,38.51355993690787
Baseline,2057,,32272.50331689725,3.513080455114533,,15.788213567127855,,17.78206677983856,-1.9938532127107038,,1.3612593818078325,38.43147963124167
Baseline,2058,,34541.65189907505,3.4118003997800344,,15.788213567127857,,17.757552377348294,-1.969338810220437,,1.3612593818078325,38.36491960467025
Baseline,2059,,36940.469158702275,3.3282213999340797,,15.788213567127857,,17.725870790418345,-1.937657223290488,,1.3612593818078325,38.299592265778074
Baseline,2060,,39471.1733927069,3.237452803869928,,15.788213567127857,,17.699350696901075,-1.911137129773218,,1.3612593818078325,38.24307125157631
Baseline,2061,,42144.74603956276,3.162784105135458,,15.78821356712786,,17.6735714158487,-1.8853578487208384,,1.3612593818078325,38.18993280927196
Baseline,2062,,44963.53389215008,3.080530783930584,,15.78821356712786,,17.65001240640332,-1.86179883927546,,1.3612593818078325,38.14485794016084
Baseline,2063,,47939.50615857023,3.013174074199185,,15.78821356712786,,17.623278274886715,-1.835064707758855,,1.3612593818078325,38.09899580860413
Baseline,2064,,51069.80614749881,2.9272343957144358,,15.78821356712786,,17.607536720621212,-1.819323153493352,,1.3612593818078325,38.06989595962371
Baseline,2065,,54366.7275103132,2.8557637142545502,,15.788213567127857,,17.579132553770506,-1.7909189866426498,,1.3612593818078325,38.03897370966558
Baseline,2066,,57837.9754205946,2.787319404218877,,15.78821356712786,,17.560081755401836,-1.7718681882739755,,1.3612593818078325,38.01459780242623
Baseline,2067,,61503.867999736,2.7422322803603407,,15.78821356712786,,17.535115126456756,-1.7469015593288955,,1.3612593818078325,37.982300794317396
Baseline,2068,,65368.03191777527,2.688693923131183,,15.78821356712786,,17.518390407559494,-1.7301768404316338,,1.3612593818078325,37.95366650719551
Baseline,2069,,69440.1124094453,2.637166944488058,,15.788213567127862,,17.501187796486768,-1.712974229358906,,1.3612593818078325,37.92732713396341
Baseline,2070,,73730.17956591846,2.5875189392647684,,15.78821356712786,,17.483523109488512,-1.6953095423606523,,1.3612593818078325,37.90204418262495
Baseline,2071,,78241.3372618434,2.5299211042785856,,15.788213567127862,,17.4670084701162,-1.6787949029883364,,1.3612593818078325,37.881719723583934
Baseline,2072,,82983.50215453471,2.4743435804836906,,15.788213567127862,,17.45003671801766,-1.6618231508897985,,1.3612593818078325,37.864958968690175
Baseline,2073,,87966.96745700843,2.4206461311087963,,15.78821356712786,,17.432655469113392,-1.644441901985532,,1.3612593818078325,37.85053196063351
Baseline,2074,,93193.90083246357,2.3593501813686117,,15.788213567127862,,17.417483035981846,-1.629269468853984,,1.3612593818078325,37.84323763605306
Baseline,2075,,98683.08458661434,2.3092440538672747,,15.78821356712786,,17.398235000628297,-1.610021433500437,,1.3612593818078325,37.834743099739384
Baseline,2076,,104455.28471468668,2.269786988755058,,15.78821356712786,,17.38112278591915,-1.5929092187912897,,1.3612593818078325,37.82347250095521
Baseline,2077,,110513.88898029477,2.222405137702083,,15.788213567127857,,17.36807884356857,-1.579865276440712,,1.3612593818078325,37.81642431873227
Baseline,2078,,116891.71603259743,2.194264551019515,,15.788213567127857,,17.35040876114171,-1.5621951940138548,,1.3612593818078325,37.801978138222715
