scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,434459.0465643485,4.8457348120434744,,26.295923835945533,,27.44418570348214,-1.1482618675366076,,2.0158569418773484,40.434589573018215
Baseline,2031,,471593.0804934764,4.87651068672308,,26.295923835945533,,28.787847706956043,-2.49192387101051,,2.0158569418773484,40.49354657610374
Baseline,2032,,511697.2964904977,4.834770404580581,,26.29592383594554,,28.896411459328508,-2.6004876233829677,,2.0158569418773484,40.672672385941745
Baseline,2033,,554844.962287904,4.76547225162291,,26.29592383594554,,29.010740583526527,-2.7148167475809863,,2.0158569418773484,40.98071089113711
Baseline,2034,,601011.0940911565,4.657532626160162,,26.29592383594554,,29.12884730244528,-2.8329234664997394,,2.0158569418773484,41.42839296588879
Baseline,2035,,650425.6292912663,4.562222874107434,,26.29592383594554,,29.24059700481019,-2.94467316886465,,2.0158569418773484,41.99733241612526
Baseline,2036,,702994.4819066578,4.427269015991271,,26.29592383594554,,29.350441074656317,-3.054517238710776,,2.0158569418773484,42.69465157048859
Baseline,2037,,758614.7171475895,4.262707351801495,,26.295923835945533,,29.457009362334276,-3.1610855263887423,,2.0158569418773484,43.523004662928386
Baseline,2038,,816937.6172431167,4.046453310199965,,26.29592383594554,,29.56772739157504,-3.2718035556295,,2.0158569418773484,44.50233391094433
Baseline,2039,,877427.4250490116,3.772423785773711,,26.29592383594554,,29.68434592030856,-3.388422084363018,,2.0158569418773484,45.65802418695249
Baseline,2040,,939702.0108058213,3.4757544842926933,,26.295923835945533,,29.80028810069428,-3.504364264748748,,2.0158569418773484,46.99601025694902
Baseline,2041,,1002838.4770039459,3.1099277852167546,,26.29592383594554,,29.925396832318363,-3.6294729963728223,,2.0158569418773484,48.55444751594331
Baseline,2042,,1066122.1348881656,2.715414213217173,,26.29592383594554,,30.056190712251794,-3.760266876306254,,2.0158569418773484,50.353272538370916
Baseline,2043,,1128776.130941803,2.2964369411668173,,26.29592383594554,,30.196679891432897,-3.9007560554873564,,2.0158569418773484,52.417821685226876
Baseline,2044,,1190447.7725942316,1.8971834275444195,,26.295923835945544,,30.34486024648524,-4.048936410539696,,2.0158569418773484,54.753158213514695
Baseline,2045,,1251167.3696724547,1.5464424254431464,,26.29592383594554,,30.49719907907678,-4.201275243131239,,2.0158569418773484,57.347423418004226
Baseline,2046,,1311110.058267455,1.2472858438269867,,26.295923835945544,,30.660758720701438,-4.3648348847558935,,2.0158569418773484,60.193578247812496
Baseline,2047,,1370724.5133173568,1.011467504232371,,26.29592383594554,,28.110585293691674,-1.8146614577461335,,2.0158569418773484,60.55099219537436
Baseline,2048,,1430379.9183219138,0.8232923167803534,,26.29592383594554,,27.93689055632537,-1.6409667203798293,,2.0158569418773484,60.83633423759552
Baseline,2049,,1490593.3688380888,0.6856158526642702,,26.295923835945533,,27.838425124831556,-1.5425012888860223,,2.0158569418773484,61.098147136424615
Baseline,2050,,1551430.4638014506,0.5617402458096876,,26.295923835945533,,27.77525970992465,-1.4793358739791174,,2.0158569418773484,61.36496162988287
Baseline,2051,,1613328.5033579082,0.4731786050828646,,26.29592383594554,,27.716163916590155,-1.4202400806446143,,2.0158569418773484,61.62040170746519
Baseline,2052,,1676282.835267275,0.38854076626473955,,26.29592383594554,,27.678127128860538,-1.3822032929149977,,2.0158569418773484,61.88392254392109
Baseline,2053,,1740343.7817985995,0.310731652209455,,26.295923835945533,,27.644332858142235,-1.3484090221967016,,2.0158569418773484,62.15599576500897
Baseline,2054,,1805663.6574536215,0.2447094553375706,,26.29592383594554,,27.61250455555839,-1.3165807196128512,,2.0158569418773484,62.43173313925974
Baseline,2055,,1872387.43774664,0.18864702146063905,,26.295923835945533,,27.584114487112636,-1.2881906511671026,,2.0158569418773484,62.70881287839782
Baseline,2056,,1940663.5427371808,0.14151994184194905,,26.295923835945533,,27.562181594575517,-1.2662577586299832,,2.0158569418773484,62.98850541261839
Baseline,2057,,2011508.4402566387,0.14545916422663652,,26.295923835945533,,27.530432885576573,-1.2345090496310398,,2.0158569418773484,63.229610306586
Baseline,2058,,2085401.6380252666,0.16765375486960465,,26.295923835945533,,27.523697977684822,-1.227774141739289,,2.0158569418773484,63.44638867049871
Baseline,2059,,2162140.1865070155,0.1737169808474306,,26.295923835945533,,27.53295528335499,-1.237031447409457,,2.0158569418773484,63.6651793863486
Baseline,2060,,2242638.5909927627,0.21554497389060145,,26.29592383594554,,27.523136980729266,-1.2272131447837253,,2.0158569418773484,63.84449433135273
Baseline,2061,,2327140.464908846,0.2589049641031522,,26.295923835945533,,27.5350510138437,-1.2391271778981654,,2.0158569418773484,64.00561486445821
Baseline,2062,,2416337.2672682307,0.32163568152164146,,26.29592383594554,,27.542998225512186,-1.2470743895666452,,2.0158569418773484,64.13261542777964
Baseline,2063,,2510567.583656221,0.3862000479424097,,26.29592383594554,,27.560378148285032,-1.2644543123394918,,2.0158569418773484,64.23424774944982
Baseline,2064,,2610431.814028598,0.4615991410005478,,26.29592383594554,,27.57714889745634,-1.2812250615107992,,2.0158569418773484,64.30347267770112
Baseline,2065,,2716105.9144351752,0.5296100076889587,,26.295923835945544,,27.60203664654644,-1.3061128106008972,,2.0158569418773484,64.35359706837826
Baseline,2066,,2827491.009332354,0.5805906469487496,,26.29592383594554,,27.626879836693384,-1.3309560007478431,,2.0158569418773484,64.39560422527626
Baseline,2067,,2944420.816126746,0.6139726239446475,,26.295923835945544,,27.64589162493588,-1.3499677889903374,,2.0158569418773484,64.43484438382018
Baseline,2068,,3067507.6405306454,0.6573340965560845,,26.295923835945544,,27.652514263644804,-1.3565904276992597,,2.0158569418773484,64.45271602001407
Baseline,2069,,3197438.8311274447,0.7108454922040437,,26.295923835945544,,27.658947191921456,-1.363023355975912,,2.0158569418773484,64.44311467483301
Baseline,2070,,3333733.294096574,0.7368247494629259,,26.295923835945544,,27.67354085525481,-1.377617019309266,,2.0158569418773484,64.43204601903633
Baseline,2071,,3474780.958332423,0.7062050881215782,,26.295923835945544,,27.69185950135361,-1.3959356654080644,,2.0158569418773484,64.4587028964491
