scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,53.107513808325656,4.23140383356116,,40.6006028973964,,43.68893225873101,-3.0883293613346083,,2.3077764041457747,38.47760855399678
Baseline,2031,,57.41672327679422,4.4580907207287765,,40.600602897396406,,43.68389516516216,-3.0832922677657564,,2.3077764041457747,39.49443292776845
Baseline,2032,,61.97155394041542,4.283027852916703,,40.6006028973964,,43.69991552184168,-3.0993126244452824,,2.3077764041457747,40.53540807637038
Baseline,2033,,66.85187653714979,4.227150931460315,,40.600602897396406,,43.71609893558665,-3.115496038190244,,2.3077764041457747,41.558912723370014
Baseline,2034,,72.06754354608374,4.156353513017223,,40.600602897396406,,43.73244790855152,-3.1318450111551144,,2.3077764041457747,42.572734954886506
Baseline,2035,,77.52343949825796,3.932880497673949,,40.6006028973964,,43.805269968601614,-3.2046670712052148,,2.3077764041457747,43.69458373731723
Baseline,2036,,83.19227801964271,3.683496371663381,,40.60060289739639,,43.935947168248546,-3.335344270852154,,2.3077764041457747,44.99217910285653
Baseline,2037,,89.1498090488031,3.5373513708033357,,40.60060289739639,,44.0686742063213,-3.4680713089249053,,2.3077764041457747,46.4225322047579
Baseline,2038,,95.36609721101432,3.355416807653569,,40.6006028973964,,44.20349969558889,-3.6028967981924893,,2.3077764041457747,48.000945096916865
Baseline,2039,,101.79494621163585,3.1316242477391825,,40.6006028973964,,44.376347967970936,-3.775745070574537,,2.3077764041457747,49.7829899535522
Baseline,2040,,108.22784270605483,2.724121244488572,,40.6006028973964,,44.57548327211567,-3.9748803747192696,,2.3077764041457747,51.879438411370806
Baseline,2041,,114.71197672305026,2.406945366877224,,40.60060289739639,,44.77839109893703,-4.177788201540636,,2.3077764041457747,54.254309300563364
Baseline,2042,,121.16485296582111,2.0534159836419263,,40.60060289739639,,45.022083023284985,-4.421480125888593,,2.3077764041457747,56.971754582851794
Baseline,2043,,127.51663200612433,1.6833449242828777,,40.6006028973964,,45.233221067807975,-4.632618170411575,,2.3077764041457747,60.01582087467078
Baseline,2044,,133.54238464094826,1.1840232606608652,,40.6006028973964,,42.60515228502212,-2.0045493876257225,,2.3077764041457747,60.63484753910944
Baseline,2045,,139.6069817614151,1.006113586339879,,40.600602897396406,,42.21936590589378,-1.6187630084973748,,2.3077764041457747,60.95813212699108
Baseline,2046,,145.36659531722583,0.6044360816038079,,40.600602897396406,,42.17687540281728,-1.5762725054208744,,2.3077764041457747,61.470203201396636
Baseline,2047,,151.06620637094508,0.40662161510149986,,40.600602897396406,,41.95628438919101,-1.3556814917946056,,2.3077764041457747,61.871733858650266
Baseline,2048,,156.5384081138686,0.11824774759834611,,40.600602897396406,,41.90571701316237,-1.3051141157659671,,2.3077764041457747,62.39190947064845
Baseline,2049,,162.04221393072794,0.015406712868241357,,40.600602897396406,,41.74593832024819,-1.1453354228517867,,2.3077764041457747,62.80904785966324
Baseline,2050,,167.6175111696547,-0.05734788128228274,,40.600602897396406,,41.690466409389224,-1.0898635119928173,,2.3077764041457747,63.21103481880865
Baseline,2051,,173.2930020512706,-0.11016685841248375,,40.60060289739641,,41.61946887392088,-1.0188659765244665,,2.3077764041457747,63.57067991987272
Baseline,2052,,179.08861850750984,-0.15033521170437325,,40.60060289739642,,41.631298331110635,-1.0306954337142145,,2.3077764041457747,63.9637108151547
Baseline,2053,,185.01798580994256,-0.18274726972205713,,40.60060289739642,,41.58132724618252,-0.9807243487860973,,2.3077764041457747,64.32338978542901
Baseline,2054,,190.7875567875088,-0.36871126205778637,,40.60060289739641,,41.67253930560427,-1.0719364082078542,,2.3077764041457747,64.88968387886858
Baseline,2055,,197.31221115935423,-0.07743651877861168,,40.600602897396406,,41.403134261096234,-0.8025313636998277,,2.3077764041457747,64.99445451582336
Baseline,2056,,204.35239407700735,0.06574123534228704,,40.600602897396406,,41.51587909497114,-0.9152761975747339,,2.3077764041457747,65.11884691535323
Baseline,2057,,211.96053833970223,0.21550840711250885,,40.600602897396406,,41.54572216391353,-0.9451192665171249,,2.3077764041457747,65.17543598732249
Baseline,2058,,220.19271797980755,0.37084689752104794,,40.600602897396406,,41.57452361419277,-0.9739207167963642,,2.3077764041457747,65.16056221998207
Baseline,2059,,229.49110430071113,0.6983962006300857,,40.600602897396406,,41.48307324985994,-0.8824703524635353,,2.3077764041457747,64.8457266372002
Baseline,2060,,239.1752103721132,0.6954759679996414,,40.600602897396406,,41.428264947048575,-0.8276620496521687,,2.3077764041457747,64.48371377404116
Baseline,2061,,249.6800033309365,0.8619236997099478,,40.600602897396406,,41.303486331383,-0.7028834339865924,,2.3077764041457747,63.89910170552427
Baseline,2062,,260.6428496174283,0.8606363547228,,40.600602897396406,,41.140054905214924,-0.5394520078185181,,2.3077764041457747,63.16352999794674
Baseline,2063,,272.0837154395709,0.8594009909293447,,40.600602897396406,,40.97551921265382,-0.37491631525741553,,2.3077764041457747,62.27885819082775
Baseline,2064,,284.0233770224105,0.858194073629079,,40.600602897396406,,40.84793693061065,-0.2473340332142442,,2.3077764041457747,61.2849763576557
Baseline,2065,,296.9876957653788,1.0285268057695873,,40.600602897396406,,40.612219947799126,-0.011617050402719542,,2.3077764041457747,59.97391921266383
Baseline,2066,,310.0146817587273,0.8563983483421964,,40.600602897396406,,41.738713618696856,-1.1381107213004498,,2.3077764041457747,59.9177979759931
Baseline,2067,,323.6092832009877,0.8552150928679652,,40.60060289739639,,41.61849006791174,-1.0178871705153512,,2.3077764041457747,59.7432596747211
Baseline,2068,,337.2166443848975,0.6810372551089046,,40.60060289739639,,41.68178594249196,-1.081183045095571,,2.3077764041457747,59.736789483630254
Baseline,2069,,351.38682524871786,0.6783575595871127,,40.60060289739639,,41.622500179539294,-1.021897282142902,,2.3077764041457747,59.67271235441576
Baseline,2070,,366.14261135344543,0.6756519407604742,,40.60060289739639,,41.577383381593215,-0.9767804841968228,,2.3077764041457747,59.56625783311253
Baseline,2071,,380.1760664951353,0.3215303599860704,,40.60060289739639,,41.75811182904716,-1.1575089316507672,,2.3077764041457747,59.848908289346255
Baseline,2072,,394.7171214190815,0.3138369426014549,,40.6006028973964,,41.79659190161185,-1.1959890042154484,,2.3077764041457747,60.170410095726226
Baseline,2073,,409.7823620157493,0.30600801693280744,,40.600602897396406,,41.56774486251382,-0.9671419651174133,,2.3077764041457747,60.26299491798468
Baseline,2074,,424.62371741287586,0.11764763382160481,,40.6006028973964,,41.59331238658923,-0.9927094891928334,,2.3077764041457747,60.49153188045286
Baseline,2075,,439.95116617548894,0.10594629465916228,,40.6006028973964,,41.53208828697711,-0.9314853895807076,,2.3077764041457747,60.6629279169608
Baseline,2076,,455.7774366792083,0.09398928251826533,,40.6006028973964,,41.52865574866879,-0.9280528512723905,,2.3077764041457747,60.83589339307195
Baseline,2077,,472.11537125721946,0.08176808405455915,,40.6006028973964,,41.52665102093002,-0.9260481235336187,,2.3077764041457747,61.012037527443304
Baseline,2078,,489.89877079103985,0.2577281971070562,,40.6006028973964,,41.40360755081641,-0.803004653420011,,2.3077764041457747,60.95720599904951
Baseline,2079,,508.30712252258036,0.24887222771174322,,40.6006028973964,,41.49418423238115,-0.8935813349847521,,2.3077764041457747,60.99903132659717
Baseline,2080,,527.3597082234636,0.23984822600586142,,40.600602897396406,,41.54618184794298,-0.9455789505465759,,2.3077764041457747,61.097684495207375
Baseline,2081,,547.0762330234164,0.23065135837920536,,40.6006028973964,,41.589060930194435,-0.9884580327980359,,2.3077764041457747,61.24337532628263
Baseline,2082,,566.368469043369,0.025531925415364753,,40.60060289739639,,41.625960339885424,-1.0253574424890317,,2.3077764041457747,61.5478135812441
Baseline,2083,,587.4211055047488,0.20978474220565602,,40.60060289739639,,41.43104565950118,-0.8304427621047878,,2.3077764041457747,61.541919444204545
Baseline,2084,,609.1968059093842,0.2000000038775056,,40.600602897396385,,41.575720610685806,-0.9751177132894213,,2.3077764041457747,61.686708384468616
Baseline,2085,,631.7168055018954,0.19001996243142116,,40.60060289739639,,41.53843196922325,-0.9378290718268545,,2.3077764041457747,61.79831695702207
Baseline,2086,,655.0027275529303,0.17983871110358507,,40.60060289739639,,41.580425101805304,-0.9798222044089115,,2.3077764041457747,61.95662022394303
Baseline,2087,,679.0765724096033,0.16945010269790828,,40.6006028973964,,41.58005231812342,-0.9794494207270219,,2.3077764041457747,62.118786419294985
Baseline,2088,,705.4242404031069,0.3670781898260458,,40.60060289739639,,41.49227228940324,-0.8916693920068468,,2.3077764041457747,62.07033172548395
Baseline,2089,,732.7437113469013,0.36016597542251816,,40.60060289739639,,41.56148471485714,-0.960881817460745,,2.3077764041457747,62.09603312229725
Baseline,2090,,761.0679041811155,0.3531380755071467,,40.600602897396385,,41.60712039866695,-1.0065175012705652,,2.3077764041457747,62.17126614454388
Baseline,2091,,790.4306746270219,0.34599156129870323,,40.600602897396385,,41.60621810898936,-1.0056152115929748,,2.3077764041457747,62.24882992424555
Baseline,2092,,822.6283468106448,0.5540425532627467,,40.600602897396385,,41.56239438562575,-0.9617914882293661,,2.3077764041457747,62.15453901206865
Baseline,2093,,856.1022392286594,0.5498929336620506,,40.60060289739639,,41.54590460337049,-0.9453017059740958,,2.3077764041457747,62.0478795639845
Baseline,2094,,890.9009871065657,0.5456896551986148,,40.600602897396385,,41.5770449042541,-0.9764420068577166,,2.3077764041457747,61.97671560951294
Baseline,2095,,927.0749684538188,0.5414316702978965,,40.600602897396385,,41.56043506274632,-0.9598321653499369,,2.3077764041457747,61.8927237659427
Baseline,2096,,964.6763599855597,0.5371179039397731,,40.60060289739639,,41.59208181018691,-0.9914789127905195,,2.3077764041457747,61.844404193617024
Baseline,2097,,1005.9799006114034,0.755164835170703,,40.60060289739639,,41.4835734691208,-0.8829705717244067,,2.3077764041457747,61.5567974288685
Baseline,2098,,1046.7054312898342,0.5298013245068347,,40.600602897396385,,41.51505943646435,-0.9144565390679631,,2.3077764041457747,61.44150389948185
Baseline,2099,,1089.0312681560108,0.5253333333354817,,40.600602897396385,,41.49762484180232,-0.8970219444059353,,2.3077764041457747,61.313389629860716
