scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,38602.97764585494,7.6519848059094215,,11.9094836330224,,15.51170411675748,-3.6022204837350795,,4.046761167354514,32.91466304387225
Baseline,2031,,42998.07841734263,7.618737340243257,,11.9094836330224,,15.445970186486319,-3.5364865534639183,,4.046761167354514,34.282565441073416
Baseline,2032,,47870.6792246023,7.567281347317163,,11.9094836330224,,15.374700619281777,-3.4652169862593762,,4.046761167354514,35.50439292033833
Baseline,2033,,53263.96729164854,7.503739582718964,,11.9094836330224,,15.297694080346451,-3.3882104473240506,,4.046761167354514,36.588871842430734
Baseline,2034,,59234.66110472119,7.448918158021954,,11.9094836330224,,15.211843939363673,-3.3023603063412725,,4.046761167354514,37.53459001453622
Baseline,2035,,65816.78259109138,7.354533823510195,,11.9094836330224,,15.120692551020593,-3.211208917998192,,4.046761167354514,38.359118626257306
Baseline,2036,,73030.63091984965,7.208212373748751,,11.9094836330224,,15.028263734661545,-3.1187801016391443,,4.046761167354514,39.08781467921003
Baseline,2037,,80893.69665570288,7.021067784256928,,11.909483633022402,,14.936388128826204,-3.0269044958038016,,4.046761167354514,39.74332429980464
Baseline,2038,,89411.32855874457,6.791703968319965,,11.909483633022402,,14.845880000163405,-2.9363963671410023,,4.046761167354514,40.348737901075495
Baseline,2039,,98562.2173245153,6.506856589270441,,11.909483633022404,,14.759586983958501,-2.850103350936097,,4.046761167354514,40.93393208010935
Baseline,2040,,108303.35280015769,6.1673767294957855,,11.909483633022402,,14.67880187704285,-2.7693182440204485,,4.046761167354514,41.52903493850378
Baseline,2041,,118577.36820457436,5.783895465422063,,11.9094836330224,,14.603258397712306,-2.6937747646899055,,4.046761167354514,42.15953737134559
Baseline,2042,,129313.76306410298,5.366509452973787,,11.9094836330224,,14.532129187179999,-2.6226455541575984,,4.046761167354514,42.846293921172666
Baseline,2043,,140444.21404618854,4.934609884474256,,11.9094836330224,,14.46575931695886,-2.556275683936459,,4.046761167354514,43.60339902715937
Baseline,2044,,151922.55726737378,4.514864127554176,,11.9094836330224,,14.404074002404574,-2.4945903693821734,,4.046761167354514,44.43479073476373
Baseline,2045,,163738.30711349807,4.132833041487345,,11.9094836330224,,14.347058494773309,-2.4375748617509085,,4.046761167354514,45.33425387871288
Baseline,2046,,175931.0616983078,3.8130325887290013,,11.9094836330224,,14.294379595013652,-2.3848959619912513,,4.046761167354514,46.284723139227566
Baseline,2047,,188590.1307191698,3.570503654239502,,11.9094836330224,,14.24456763347127,-2.3350840004488695,,4.046761167354514,47.26026112373651
Baseline,2048,,201800.81188737164,3.386443977395359,,11.9094836330224,,14.197927148996413,-2.288443515974013,,4.046761167354514,48.24217000234246
Baseline,2049,,215612.4709425319,3.2311148877173252,,11.909483633022399,,14.156943258778066,-2.247459625755667,,4.046761167354514,49.2265315528929
Baseline,2050,,230072.00987158687,3.097838453243739,,11.909483633022399,,14.12286481707811,-2.213381184055711,,4.046761167354514,50.21301154524516
Baseline,2051,,245223.35721523277,2.9811405786999643,,11.909483633022399,,14.095351742011717,-2.185868108989318,,4.046761167354514,51.20287488406304
Baseline,2052,,261123.49820235738,2.883036038318764,,11.909483633022399,,14.07429063876405,-2.1648070057416504,,4.046761167354514,52.195761712055685
Baseline,2053,,277851.5987736422,2.8079253062805094,,11.909483633022399,,14.057812506686162,-2.148328873663763,,4.046761167354514,53.186706481426064
Baseline,2054,,295509.2840920232,2.7585292919743267,,11.909483633022399,,14.042558476482672,-2.133074843460273,,4.046761167354514,54.16542402816944
Baseline,2055,,314144.23820822354,2.7111564471912857,,11.9094836330224,,14.028291465824495,-2.1188078328020943,,4.046761167354514,55.13307278310971
Baseline,2056,,333783.3856358273,2.6585833973360877,,11.9094836330224,,14.015551346315785,-2.1060677132933847,,4.046761167354514,56.09505075526196
Baseline,2057,,354499.64460861625,2.6149738606414843,,11.9094836330224,,14.003806984827994,-2.0943233518055937,,4.046761167354514,57.04866664993296
Baseline,2058,,376387.9269370025,2.5839766894185487,,11.909483633022399,,13.99205473906449,-2.0825711060420904,,4.046761167354514,57.98802577707079
Baseline,2059,,399472.2945023626,2.5440886769198414,,11.9094836330224,,13.980715687841966,-2.071232054819566,,4.046761167354514,58.919326211365046
Baseline,2060,,423793.0669928103,2.500700577051788,,11.9094836330224,,13.969777181683583,-2.060293548661182,,4.046761167354514,59.845830603652786
Baseline,2061,,449389.21256037906,2.4538883999992436,,11.9094836330224,,13.960908953559898,-2.051425320537497,,4.046761167354514,60.772455928091176
Baseline,2062,,476326.87063539715,2.409934599778367,,11.9094836330224,,13.080302962364783,-1.1708193293423825,,4.046761167354514,60.82665235781086
Baseline,2063,,504714.8919059588,2.37659653883982,,11.9094836330224,,13.023522060174983,-1.1140384271525825,,4.046761167354514,60.84251582413984
Baseline,2064,,534622.8206298783,2.3436788436266056,,11.9094836330224,,13.002942214122609,-1.093458581100208,,4.046761167354514,60.85672904696398
Baseline,2065,,566119.6636158874,2.3105447981796914,,11.9094836330224,,12.984227803153534,-1.074744170131133,,4.046761167354514,60.87133504936591
Baseline,2066,,599228.1685456552,2.268910844015636,,11.9094836330224,,12.966733791320067,-1.0572501582976663,,4.046761167354514,60.8925417987754
Baseline,2067,,634029.4443454728,2.2296459465799927,,11.909483633022402,,12.944291109522027,-1.0348074764996245,,4.046761167354514,60.91393478141158
Baseline,2068,,670658.3565453745,2.2001571423177353,,11.909483633022402,,12.921432193033365,-1.0119485600109623,,4.046761167354514,60.92939638755271
Baseline,2069,,709168.2273090007,2.1662798002901127,,11.909483633022402,,12.905221560713272,-0.99573792769087,,4.046761167354514,60.948267510415704
Baseline,2070,,749588.7939603203,2.12532834221615,,11.9094836330224,,12.888316454733062,-0.978832821710661,,4.046761167354514,60.97397891238677
Baseline,2071,,791973.0378133381,2.0814808129266,,11.9094836330224,,12.867328215233599,-0.9578445822111981,,4.046761167354514,61.004080857767036
Baseline,2072,,836435.278910922,2.0426187947742562,,11.909483633022399,,12.843501981126055,-0.9340183481036561,,4.046761167354514,61.032777917652574
Baseline,2073,,883165.7539686444,2.0162906676258103,,11.909483633022399,,12.820506906087951,-0.9110232730655525,,4.046761167354514,61.05357147270651
Baseline,2074,,932271.652256436,1.9905440952669267,,11.909483633022397,,12.804879908583167,-0.8953962755607705,,4.046761167354514,61.073622337817056
Baseline,2075,,983775.4963236598,1.9560901177254237,,11.909483633022399,,12.791548910675935,-0.8820652776535365,,4.046761167354514,61.10039740968312
Baseline,2076,,1037808.8519459987,1.9250703398899276,,11.909483633022399,,12.772928222051252,-0.8634445890288536,,4.046761167354514,61.126511651997426
Baseline,2077,,1094621.9287474826,1.9075647962837792,,11.909483633022399,,12.753980457258518,-0.8444968242361188,,4.046761167354514,61.14367658797639
Baseline,2078,,1154326.4045386035,1.8882577467419281,,11.909483633022397,,12.74298916422785,-0.8335055312054536,,4.046761167354514,61.16104735218418
Baseline,2079,,1216902.8559530142,1.8560735527300807,,11.909483633022393,,12.733120813573333,-0.8236371805509393,,4.046761167354514,61.18738544543431
Baseline,2080,,1282301.523002271,1.8108112333371338,,11.909483633022393,,12.717487390812133,-0.8080037577897397,,4.046761167354514,61.22459440927022
Baseline,2081,,1350569.318526233,1.7621728500096623,,11.909483633022393,,12.694742899812129,-0.7852592667897351,,4.046761167354514,61.26748450461053
Baseline,2082,,1421846.6051505888,1.7174621879732115,,11.909483633022393,,12.669611841966082,-0.7601282089436889,,4.046761167354514,61.31132751804752
Baseline,2083,,1496153.9561310904,1.667744795250627,,11.909483633022393,,12.647238629025146,-0.737754996002753,,4.046761167354514,61.361916581745746
Baseline,2084,,1573561.6807005603,1.617179416729897,,11.909483633022393,,12.621963091675536,-0.7124794586531422,,4.046761167354514,61.41685498915739
Baseline,2085,,1654353.3097924623,1.5790492722814804,,11.909483633022392,,12.594464512764214,-0.684980879741822,,4.046761167354514,61.46651336149324
Baseline,2086,,1738770.081028898,1.5485073736936954,,11.909483633022392,,12.57320306697991,-0.6637194339575192,,4.046761167354514,61.512692136373154
Baseline,2087,,1826941.3155276366,1.517774580439962,,11.909483633022393,,12.556376023315513,-0.6468923902931198,,4.046761167354514,61.560014758623915
Baseline,2088,,1919008.0561194925,1.4873355879021943,,11.909483633022392,,12.539431335912722,-0.6299477028903304,,4.046761167354514,61.60821510103372
Baseline,2089,,2015255.8468170422,1.4642482695607697,,11.909483633022392,,12.522035870772605,-0.6125522377502133,,4.046761167354514,61.65245042598787
Baseline,2090,,2116032.2446575793,1.4499276571797992,,11.909483633022392,,12.507712784363083,-0.598229151340691,,4.046761167354514,61.690577150125634
Baseline,2091,,2221437.555244014,1.431180168237617,,11.909483633022392,,12.499131771511934,-0.589648138489542,,4.046761167354514,61.731075146233074
Baseline,2092,,2331572.912888786,1.4085427136397044,,11.909483633022393,,12.489176492926385,-0.5796928599039912,,4.046761167354514,61.77491493940681
Baseline,2093,,2446686.2962721935,1.3885561662056318,,11.909483633022393,,12.476495561475733,-0.5670119284533399,,4.046761167354514,61.81776512566196
Baseline,2094,,2567068.512442999,1.372188011639878,,11.909483633022393,,12.464236516822307,-0.5547528837999138,,4.046761167354514,61.857889452269085
Baseline,2095,,2692941.1728341454,1.3559052552216286,,11.909483633022393,,12.454153953405383,-0.5446703203829895,,4.046761167354514,61.8974518822352
Baseline,2096,,2824575.8648758666,1.3411965390685623,,11.909483633022392,,12.443829404662726,-0.5343457716403339,,4.046761167354514,61.935277182941455
Baseline,2097,,2962304.2849784787,1.3295404641695825,,11.909483633022392,,12.43438680249361,-0.5249031694712176,,4.046761167354514,61.97042380855027
Baseline,2098,,3106407.7313059447,1.3184277552179964,,11.909483633022392,,12.42679893702719,-0.5173153040047982,,4.046761167354514,62.00444787694188
Baseline,2099,,3257069.313632798,1.3043729372959092,,11.90948363302239,,12.419928761890288,-0.5104451288678984,,4.046761167354514,62.03987174221866
