scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,149.05623693779188,4.749440436045575,,27.67367008802845,,28.94668692342987,-1.2730168354014175,,4.485930512066185,35.78239494206609
Baseline,2031,,161.68979193113535,4.807436709073414,,27.67367008802846,,28.887125283594635,-1.2134551955661763,,4.485930512066185,35.67976364143476
Baseline,2032,,175.32429903942628,4.765709687630789,,27.67367008802845,,28.89913225847588,-1.225462170447429,,4.485930512066185,35.60660229898052
Baseline,2033,,189.84699692459637,4.621579081541768,,27.67367008802846,,28.900716384597448,-1.2270462965689894,,4.485930512066185,35.58495553473068
Baseline,2034,,205.25974020767342,4.462326391920612,,27.67367008802845,,28.87947108422798,-1.2058009961995282,,4.485930512066185,35.59516935130978
Baseline,2035,,221.4479043661466,4.238331235107978,,27.67367008802845,,28.875692850161908,-1.2020227621334563,,4.485930512066185,35.675181437848266
Baseline,2036,,238.55127130188623,4.08060566577015,,27.67367008802846,,28.884518055671965,-1.210847967643506,,4.485930512066185,35.81385529142537
Baseline,2037,,256.7376565164995,3.984231744173968,,27.67367008802845,,28.880729350048554,-1.2070592620201026,,4.485930512066185,35.976767939357856
Baseline,2038,,275.5955208884567,3.7151578017926283,,27.67367008802845,,28.8942485263316,-1.22057843830315,,4.485930512066185,36.239065373968415
Baseline,2039,,295.07992941353825,3.4492070686711287,,27.673670088028445,,28.92886523786646,-1.2551951498380163,,4.485930512066185,36.6196760145715
Baseline,2040,,314.9875514301717,3.1367328466274387,,27.673670088028445,,28.968509149298036,-1.2948390612695917,,4.485930512066185,37.13901437802219
Baseline,2041,,334.91975612270727,2.7323034828099964,,27.673670088028445,,29.042849047206907,-1.3691789591784627,,4.485930512066185,37.86480457499507
Baseline,2042,,354.9017513436555,2.3828056050776922,,27.673670088028445,,29.10981074543441,-1.4361406574059643,,4.485930512066185,38.77200056134478
Baseline,2043,,374.5613937676006,1.9704932624294003,,27.67367008802845,,29.190874033123333,-1.5172039450948809,,4.485930512066185,39.90216949496964
Baseline,2044,,393.75583249870255,1.5695755631424362,,27.673670088028445,,29.286440447962956,-1.6127703599345118,,4.485930512066185,41.27255361180232
Baseline,2045,,412.4632049505642,1.208703712748843,,27.67367008802845,,29.3969631247379,-1.7232930367094497,,4.485930512066185,42.89140432238029
Baseline,2046,,430.9696076835452,0.9534308074565985,,27.673670088028445,,29.5092319776329,-1.835561889604456,,4.485930512066185,44.726608927161436
Baseline,2047,,449.2407448225244,0.7145332467966625,,27.673670088028445,,29.62852972274624,-1.9548596347177956,,4.485930512066185,46.78718781608276
Baseline,2048,,467.210070591106,0.48302640082739856,,27.67367008802845,,29.786724988954575,-2.113054900926123,,4.485930512066185,49.11888217142925
Baseline,2049,,485.43939782349014,0.38815562834906814,,27.67367008802845,,29.939136503879865,-2.2654664158514137,,4.485930512066185,51.660520399334104
Baseline,2050,,503.5703786117643,0.22701717080468597,,27.67367008802845,,30.123536221814142,-2.44986613378569,,4.485930512066185,54.484372152139095
Baseline,2051,,522.3933777516588,0.2298631227593262,,27.67367008802845,,30.28812446525516,-2.614454377226707,,4.485930512066185,57.49169659479338
Baseline,2052,,541.7466048076407,0.19779989641494922,,27.67367008802845,,30.456117982698387,-2.782447894669936,,4.485930512066185,60.70722940760565
Baseline,2053,,561.6823567517415,0.1738197483823143,,27.67367008802845,,27.526219424379732,0.14745066364871917,,4.485930512066185,61.03172816496445
Baseline,2054,,582.2409514075927,0.15476489689936557,,27.673670088028445,,27.3705736193121,0.303096468716344,,4.485930512066185,61.21480563647039
Baseline,2055,,603.7616775670294,0.1895546159250756,,27.673670088028445,,27.33064588006703,0.3430242079614132,,4.485930512066185,61.33798825766293
