scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,7838.386116431923,6.375405724139611,,6.131468060310862,,7.523238786895148,-1.3917707265842862,,1.0000029984577568,12.385499058511222
Baseline,2031,,8625.579329745917,6.321543088412085,,6.131468060310863,,7.497591800410285,-1.3661237400994217,,1.0000029984577568,12.733841346822652
Baseline,2032,,9488.469505768837,6.283914816030304,,6.131468060310862,,7.470312483228878,-1.338844422918016,,1.0000029984577568,13.030416970258088
Baseline,2033,,10427.936837263176,6.1846832717973825,,6.131468060310863,,7.444935434390568,-1.3134673740797052,,1.0000029984577568,13.288521199825
Baseline,2034,,11452.174567674967,6.108266060817115,,6.131468060310862,,7.41826173519899,-1.286793674888128,,1.0000029984577568,13.507842320076993
Baseline,2035,,12561.427101985008,5.976768615086513,,6.131468060310863,,7.3939602374835305,-1.2624921771726676,,1.0000029984577568,13.700658106481788
Baseline,2036,,13761.141435799906,5.846164762272579,,6.131468060310862,,7.369734907885348,-1.2382668475744856,,1.0000029984577568,13.869546178987399
Baseline,2037,,15047.663966223512,5.651161513710974,,6.131468060310863,,7.348007141260185,-1.216539080949322,,1.0000029984577568,14.02712553750327
Baseline,2038,,16422.281171031213,5.444528566787611,,6.131468060310863,,7.327071439843264,-1.1956033795324013,,1.0000029984577568,14.177127098688619
Baseline,2039,,17876.417553493502,5.173579955113851,,6.131468060310864,,7.307935622269344,-1.1764675619584803,,1.0000029984577568,14.330612197683319
Baseline,2040,,19396.720676173394,4.835282951737739,,6.131468060310864,,7.291547447520168,-1.1600793872093043,,1.0000029984577568,14.499541222976589
Baseline,2041,,20971.8491811092,4.464339884640324,,6.131468060310864,,7.277542364649249,-1.1460743043383852,,1.0000029984577568,14.69070704153754
Baseline,2042,,22582.080378133236,4.036773102527363,,6.131468060310864,,7.266831503846856,-1.1353634435359918,,1.0000029984577568,14.914971406612622
Baseline,2043,,24220.21875207959,3.6271997371024582,,6.131468060310863,,7.25806566830965,-1.1265976079987867,,1.0000029984577568,15.171854901268762
Baseline,2044,,25872.633496357652,3.2101063121262143,,6.131468060310863,,7.252164474895894,-1.1206964145850309,,1.0000029984577568,15.465595324853556
Baseline,2045,,27540.506497465798,2.84683631239983,,6.131468060310862,,7.248309654886899,-1.1168415945760373,,1.0000029984577568,15.791119588498717
Baseline,2046,,29232.95499787632,2.5558515662400367,,6.131468060310862,,7.245223734454592,-1.1137556741437296,,1.0000029984577568,16.139414182415194
Baseline,2047,,30955.05165357484,2.3100896553044663,,6.131468060310863,,7.244822968194916,-1.1133549078840534,,1.0000029984577568,16.507314370499657
Baseline,2048,,32718.546763634597,2.1226610464755,,6.131468060310862,,7.246561709974792,-1.1150936496639297,,1.0000029984577568,16.888857556131285
Baseline,2049,,34541.161055211734,2.000564725254023,,6.131468060310861,,7.248970001352482,-1.1175019410416205,,1.0000029984577568,17.27517192117757
Baseline,2050,,36429.46404689668,1.9003088735320262,,6.131468060310862,,7.252747809039707,-1.1212797487288446,,1.0000029984577568,17.66479951223183
Baseline,2051,,38387.606845728216,1.8117509648718482,,6.131468060310862,,7.258104381669448,-1.1266363213585864,,1.0000029984577568,18.05799628921056
Baseline,2052,,40429.33850025714,1.757223260005489,,6.131468060310863,,7.2640886375816605,-1.1326205772707976,,1.0000029984577568,18.450126659456785
Baseline,2053,,42552.37274614954,1.692001760569653,,6.131468060310862,,7.2716260690266,-1.140158008715738,,1.0000029984577568,18.845062670774457
Baseline,2054,,44769.39964289122,1.652283528841565,,6.131468060310864,,7.280249585111436,-1.1487815248005724,,1.0000029984577568,19.23973612790876
Baseline,2055,,47080.70545395853,1.6064648313070649,,6.131468060310863,,7.2897112852972015,-1.1582432249863386,,1.0000029984577568,19.636406785417307
Baseline,2056,,49499.6469266539,1.582474947458195,,6.131468060310863,,7.299087733762049,-1.1676196734511857,,1.0000029984577568,20.031206154844018
Baseline,2057,,52041.200431542966,1.5792156022020833,,6.131468060310864,,7.306530552030157,-1.1750624917192933,,1.0000029984577568,20.418527860082207
Baseline,2058,,54701.53487002841,1.5574661495903968,,6.131468060310865,,7.313445620458735,-1.1819775601478701,,1.0000029984577568,20.801733793755975
Baseline,2059,,57491.34842092226,1.5459560210417749,,6.131468060310864,,7.319614592488803,-1.1881465321779396,,1.0000029984577568,21.178383321297428
Baseline,2060,,60416.819001336764,1.5348217929419832,,6.131468060310864,,7.324585481869606,-1.1931174215587426,,1.0000029984577568,21.547542058561763
Baseline,2061,,63472.45553002296,1.5049203252549148,,6.131468060310862,,7.329745634178072,-1.1982775738672098,,1.0000029984577568,21.913599141560166
Baseline,2062,,66669.46703889768,1.4848779065530096,,6.131468060310864,,7.333953283329928,-1.202485223019064,,1.0000029984577568,22.273886429388384
Baseline,2063,,70013.83504209059,1.4650640487406719,,6.131468060310862,,7.337676209845195,-1.2062081495343326,,1.0000029984577568,22.628232269890805
Baseline,2064,,73511.74946445314,1.4454426764259694,,6.131468060310862,,7.341376605479989,-1.2099085451691272,,1.0000029984577568,22.976935909014195
Baseline,2065,,77148.13057388617,1.3977454436320471,,6.131468060310862,,7.34710248092906,-1.2156344206181977,,1.0000029984577568,23.328491096732332
Baseline,2066,,80949.06263548044,1.3785481754042337,,6.131468060310861,,7.352350426950257,-1.2208823666393958,,1.0000029984577568,23.676324922470428
