scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,785638284.5844152,5.884380331445897,,11.921828007423798,,12.96845205539554,-1.0466240479717417,,3.439814156142766,34.60132855417844
Baseline,2031,,860246861.8763841,5.793773622682409,,11.921828007423798,,13.777881119083109,-1.8560531116593104,,3.439814156142766,34.54342827461133
Baseline,2032,,941022319.4413606,5.690627764201722,,11.921828007423796,,13.774990993236255,-1.8531629858124585,,3.439814156142766,34.51768755452865
Baseline,2033,,1027460686.847243,5.493314978465392,,11.921828007423796,,13.758526003927022,-1.8366979965032257,,3.439814156142766,34.537931556377494
Baseline,2034,,1118129301.4595163,5.144477009268186,,11.921828007423796,,13.753079229714716,-1.8312512222909199,,3.439814156142766,34.66022002106554
Baseline,2035,,1213138736.4082172,4.828191125782581,,11.921828007423798,,13.775496157795638,-1.8536681503718402,,3.439814156142766,34.89827622024419
Baseline,2036,,1313113553.4237597,4.580680609181115,,11.921828007423796,,13.81409269410748,-1.8922646866836832,,3.439814156142766,35.24257611057259
Baseline,2037,,1418627557.9128182,4.382034725984241,,11.921828007423798,,13.858945870530208,-1.93711786310641,,3.439814156142766,35.68055124492684
Baseline,2038,,1529292414.6695993,4.15540033742694,,11.921828007423798,,13.909378730926631,-1.9875507235028333,,3.439814156142766,36.22466438647812
Baseline,2039,,1643653549.9288316,3.843519231491797,,11.921828007423796,,13.971002870575354,-2.049174863151558,,3.439814156142766,36.91278484499633
Baseline,2040,,1760399021.3056314,3.480968948268554,,11.921828007423796,,14.044939641721273,-2.1231116342974765,,3.439814156142766,37.77345413085358
Baseline,2041,,1877635634.2377903,3.0528128823318355,,11.921828007423796,,14.134078214925509,-2.2122502075017128,,3.439814156142766,38.845397420714974
Baseline,2042,,1993856116.3634233,2.598768108959675,,11.921828007423795,,14.237515745346009,-2.3156877379222145,,3.439814156142766,40.15513680226174
Baseline,2043,,2107453870.44259,2.1230818877276505,,11.921828007423796,,14.356260841401383,-2.4344328339775867,,3.439814156142766,41.73190174892008
Baseline,2044,,2216581601.841757,1.6214288775500307,,11.921828007423796,,14.496392313772931,-2.574564306349135,,3.439814156142766,43.61672920137529
Baseline,2045,,2320709092.3508344,1.1571604329471512,,11.921828007423796,,14.65844698404611,-2.7366189766223137,,3.439814156142766,45.829332963960525
Baseline,2046,,2420240431.519553,0.7621575621119376,,11.921828007423795,,14.841567683704326,-2.919739676280532,,3.439814156142766,48.37597448908805
Baseline,2047,,2517229638.155263,0.49026117036615346,,11.921828007423795,,15.036496367863462,-3.1146683604396674,,3.439814156142766,51.22663763912115
Baseline,2048,,2612500183.90908,0.27510914386522245,,11.921828007423796,,15.242660188334503,-3.320832180910706,,3.439814156142766,54.37722044368081
