scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,2670.0361674899455,3.5395547923199615,,45.0925144637935,,45.07813362366984,0.014380840123656924,,2.991368020626597,136.77040924900868
Baseline,2031,,2859.4341151218473,3.471942032802062,,45.092514463793506,,45.51458350992373,-0.42206904613022544,,2.991368020626597,131.95364485642529
Baseline,2032,,3059.873269327336,3.3910618328792737,,45.0925144637935,,45.968278224323406,-0.8757637605299067,,2.991368020626597,127.87434591259476
Baseline,2033,,3271.1967053436283,3.2910924313168834,,45.0925144637935,,46.444625113897914,-1.3521106501044144,,2.991368020626597,124.54369245600478
Baseline,2034,,3491.9052350644874,3.1372242960145087,,45.092514463793506,,46.96121936831649,-1.8687049045229855,,2.991368020626597,122.03060174868921
Baseline,2035,,3723.434230495612,3.024588397270662,,45.092514463793506,,47.490851777930864,-2.3983373141373576,,2.991368020626597,120.26428211118048
Baseline,2036,,3966.026482036924,2.913316236287301,,45.092514463793506,,48.0221868576547,-2.929672393861196,,2.991368020626597,119.21517312823887
Baseline,2037,,4218.002032587986,2.7568600752415477,,45.092514463793506,,48.56264493328144,-3.470130469487934,,2.991368020626597,118.91674074324143
Baseline,2038,,4478.456644041111,2.5843803974271253,,45.092514463793506,,49.103068505229714,-4.010554041436208,,2.991368020626597,119.36178541702044
Baseline,2039,,4744.012496195543,2.34746737907372,,45.092514463793506,,49.23336478362766,-4.140850319834151,,2.991368020626597,120.191795801435
Baseline,2040,,5013.748618899398,2.1119056503078752,,45.092514463793506,,48.98008165564023,-3.8875671918467205,,2.991368020626597,121.01507965683169
Baseline,2041,,5288.255593311805,1.90829422043646,,45.092514463793506,,48.672538599253244,-3.5800241354597375,,2.991368020626597,121.74545307936629
Baseline,2042,,5564.716364880034,1.669396566394738,,45.092514463793506,,48.39005168693443,-3.297537223140921,,2.991368020626597,122.45547581746672
Baseline,2043,,5839.938663417141,1.3969526013286782,,45.092514463793506,,48.07252477699271,-2.9800103131992017,,2.991368020626597,123.15491445359476
Baseline,2044,,6113.206934348227,1.139420638177981,,45.092514463793506,,47.708549378412954,-2.6160349146194477,,2.991368020626597,123.78510152431014
Baseline,2045,,6385.941095960637,0.928881736296816,,45.09251446379351,,47.349949798726264,-2.257435334932751,,2.991368020626597,124.30058093740466
Baseline,2046,,6658.1874759812345,0.7374055145732257,,45.09251446379351,,47.06296947739463,-1.9704550136011179,,2.991368020626597,124.75476501599377
Baseline,2047,,6931.5854097174015,0.5856923509722805,,45.09251446379352,,46.805944713981994,-1.7134302501884733,,2.991368020626597,125.13225597693318
Baseline,2048,,7209.934505736502,0.49822491737275243,,45.09251446379351,,46.59043098413455,-1.497916520341036,,2.991368020626597,125.39793196950387
Baseline,2049,,7496.80172993206,0.4625865855437894,,45.09251446379352,,46.44584921927798,-1.353334755484461,,2.991368020626597,125.56045584985881
Baseline,2050,,7793.360619624508,0.4403917170160412,,45.09251446379353,,46.37216033245924,-1.2796458686657104,,2.991368020626597,125.67522978184546
Baseline,2051,,8102.190075640467,0.4470773740542313,,45.09251446379353,,46.31318080105799,-1.2206663372644613,,2.991368020626597,125.72167216710956
Baseline,2052,,8424.381636166563,0.4604815412813821,,45.09251446379353,,46.289788478989855,-1.197274015196328,,2.991368020626597,125.72767033681546
Baseline,2053,,8755.716894557205,0.4184071326474452,,45.09251446379353,,46.30706798724159,-1.2145535234480604,,2.991368020626597,125.80307078352565
Baseline,2054,,9098.071006376213,0.39619685408030136,,45.09251446379353,,46.25050653592074,-1.1579920721272146,,2.991368020626597,125.8488054000377
Baseline,2055,,9454.17495284895,0.40005784825734736,,45.09251446379353,,46.20825884481077,-1.1157443810172438,,2.991368020626597,125.84709110887175
Baseline,2056,,9824.429663187428,0.4022309769879939,,45.09251446379353,,46.19634334334288,-1.1038288795493543,,2.991368020626597,125.83077686119891
Baseline,2057,,10208.346155674462,0.3939843882416483,,45.09251446379353,,46.17863910435814,-1.0861246405646128,,2.991368020626597,125.8071476100317
Baseline,2058,,10610.222913884136,0.42197775105476865,,45.092514463793535,,46.140512306951024,-1.0479978431574892,,2.991368020626597,125.71083958649233
Baseline,2059,,11032.437913331625,0.46311363343211553,,45.09251446379354,,46.07603560269974,-0.9835211389061982,,2.991368020626597,125.49992516012487
Baseline,2060,,11471.706067585757,0.46531931940508287,,45.092514463793535,,46.007878141899276,-0.9153636781057415,,2.991368020626597,125.2201281325882
