scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,145240.74791931355,7.574148612295019,,13.292087528447482,,16.14218610525467,-2.850098576807188,,1.3300438293240613,56.422975095584945
Baseline,2031,,161640.5596454733,7.527987841609601,,13.292087528447482,,18.278976481891956,-4.986888953444474,,1.3300438293240613,56.35958330423469
Baseline,2032,,179806.02406875353,7.476506825144355,,13.292087528447482,,18.265774016281423,-4.973686487833941,,1.3300438293240613,56.31324285333321
Baseline,2033,,199831.66897551145,7.379092166019461,,13.29208752844748,,18.238885070866385,-4.946797542418905,,1.3300438293240613,56.290678181490634
Baseline,2034,,221848.1439337275,7.263295094871751,,13.29208752844748,,18.192516276065597,-4.9004287476181165,,1.3300438293240613,56.27914247998112
Baseline,2035,,245983.88785988503,7.129853746332131,,13.29208752844748,,18.1362575001101,-4.844169971662621,,1.3300438293240613,56.27633901989243
Baseline,2036,,272314.5562238999,6.960603685525001,,13.29208752844748,,18.07532478307674,-4.783237254629261,,1.3300438293240613,56.29422438266292
Baseline,2037,,300932.3921779107,6.7720868481039815,,13.29208752844748,,18.013003135566205,-4.720915607118725,,1.3300438293240613,56.33925032925388
Baseline,2038,,331900.33459347876,6.561028362661418,,13.29208752844748,,17.95096788261606,-4.658880354168579,,1.3300438293240613,56.42081993937876
Baseline,2039,,365157.3560574,6.299693882838753,,13.29208752844748,,17.89060427302948,-4.598516744582001,,1.3300438293240613,56.562838132552145
Baseline,2040,,400570.73234880884,5.988515841900451,,13.29208752844748,,17.831265804473293,-4.5391782760258135,,1.3300438293240613,56.787249491699576
Baseline,2041,,437941.8171146537,5.6323281453538385,,13.29208752844748,,17.772906607770015,-4.480819079322535,,1.3300438293240613,57.11306019156608
Baseline,2042,,477056.867344838,5.247887161972059,,13.29208752844748,,17.713435309862426,-4.421347781414946,,1.3300438293240613,57.54891450090754
Baseline,2043,,517688.73174306785,4.847531551968288,,13.29208752844748,,17.65372056827143,-4.361633039823952,,1.3300438293240613,58.09905244426502
Baseline,2044,,559688.5081100932,4.4569468923682365,,13.29208752844748,,17.594409759619783,-4.302322231172303,,1.3300438293240613,58.75629905198448
Baseline,2045,,603042.4203870496,4.102491491351373,,13.292087528447476,,17.537046704223453,-4.244959175775977,,1.3300438293240613,59.50245374428081
Baseline,2046,,647998.081505125,3.8210715759703078,,13.292087528447476,,17.47980437500626,-4.187716846558784,,1.3300438293240613,60.29861869840673
Baseline,2047,,694794.6661353923,3.595861391204295,,13.292087528447476,,16.68113709241912,-3.3890495639716445,,1.3300438293240613,60.37434948951184
Baseline,2048,,743751.7508462142,3.4263445705911835,,13.292087528447476,,16.55853140928312,-3.2664438808356433,,1.3300438293240613,60.41683008769605
Baseline,2049,,795182.7080540998,3.2995849321657573,,13.292087528447476,,16.468786310659016,-3.17669878221154,,1.3300438293240613,60.4374761229212
Baseline,2050,,849295.3912661205,3.1932974586420357,,13.292087528447476,,16.403413032130224,-3.111325503682748,,1.3300438293240613,60.450668226985705
Baseline,2051,,906332.7399297381,3.107095093255978,,13.292087528447476,,16.348546092866727,-3.05645856441925,,1.3300438293240613,60.456265983428516
Baseline,2052,,966539.1286578705,3.036576904383921,,13.292087528447476,,16.30440858747514,-3.0123210590276646,,1.3300438293240613,60.45673176476556
Baseline,2053,,1030144.6492280355,2.9765697345258673,,13.292087528447476,,16.269079759969156,-2.9769922315216792,,1.3300438293240613,60.45532014878979
Baseline,2054,,1097372.241671141,2.92370457154621,,13.292087528447476,,16.237069073480622,-2.944981545033146,,1.3300438293240613,60.451489551113966
Baseline,2055,,1168345.5200215704,2.867213909977721,,13.292087528447476,,16.208849533731264,-2.916762005283788,,1.3300438293240613,60.45120458783598
Baseline,2056,,1243240.5497312697,2.8119317607343532,,13.292087528447476,,16.184092843570486,-2.8920053151230096,,1.3300438293240613,60.45711290617048
Baseline,2057,,1322267.1669591605,2.7599058439798085,,13.292087528447476,,16.1573482932477,-2.865260764800224,,1.3300438293240613,60.46514186075819
Baseline,2058,,1405641.372485947,2.7105293244086255,,13.292087528447476,,16.132004646757313,-2.8399171183098364,,1.3300438293240613,60.47514165787872
Baseline,2059,,1493626.133200197,2.666090025237253,,13.292087528447476,,16.108165785005045,-2.816078256557569,,1.3300438293240613,60.48578626932151
Baseline,2060,,1586336.2966390227,2.6155099980385614,,13.292087528447476,,16.08790693774161,-2.7958194092941344,,1.3300438293240613,60.50410910729443
Baseline,2061,,1684261.2378005271,2.5826331539160066,,13.29208752844748,,16.060621713114184,-2.768534184666704,,1.3300438293240613,60.51280594811273
Baseline,2062,,1787633.115226916,2.5483289099471165,,13.292087528447476,,16.043793967500918,-2.751706439053441,,1.3300438293240613,60.52359760995828
Baseline,2063,,1896736.3728698988,2.515192504155081,,13.292087528447476,,16.025540960789503,-2.733453432342026,,1.3300438293240613,60.53432463441941
Baseline,2064,,2012017.7143997354,2.4907043395645303,,13.292087528447475,,16.006692301876782,-2.7146047734293077,,1.3300438293240613,60.539533275993875
Baseline,2065,,2133862.8959861724,2.469439826037913,,13.292087528447475,,15.992277959575647,-2.7001904311281724,,1.3300438293240613,60.5420953397485
Baseline,2066,,2262521.9477679487,2.4438612175631675,,13.292087528447475,,15.979884711174087,-2.6877971827266123,,1.3300438293240613,60.54659280819989
Baseline,2067,,2398300.1011978504,2.416604961315059,,13.292087528447471,,15.965336593815131,-2.67324906536766,,1.3300438293240613,60.55174200185036
Baseline,2068,,2541629.3989843475,2.392547850968654,,13.292087528447471,,15.950209496378308,-2.658121967930837,,1.3300438293240613,60.555136886923286
Baseline,2069,,2692659.899688282,2.359681897541165,,13.292087528447471,,15.938247303452538,-2.646159775005067,,1.3300438293240613,60.56501152884471
Baseline,2070,,2851514.6886474486,2.318404786915835,,13.292087528447475,,15.923316510720726,-2.6312289822732513,,1.3300438293240613,60.582894814019085
Baseline,2071,,3018490.6072688433,2.2760309558046146,,13.292087528447475,,15.903986487439942,-2.6118989589924677,,1.3300438293240613,60.60469338080982
Baseline,2072,,3194030.1663363194,2.2371736705576524,,13.292087528447471,,15.882960586660728,-2.5908730582132566,,1.3300438293240613,60.62658334638795
Baseline,2073,,3378604.3747766144,2.201666325168361,,13.292087528447471,,15.863433336895008,-2.5713458084475374,,1.3300438293240613,60.64818846503055
Baseline,2074,,3572714.838245345,2.169357862983844,,13.292087528447471,,15.846044715674466,-2.5539571872269953,,1.3300438293240613,60.669868197072375
Baseline,2075,,3776978.394821223,2.14233861279061,,13.292087528447471,,15.828358222340071,-2.5362706938926003,,1.3300438293240613,60.6883348640044
Baseline,2076,,3992235.361172897,2.1248159191513736,,13.292087528447471,,15.812348288405637,-2.520260759958166,,1.3300438293240613,60.70000606419808
Baseline,2077,,4219052.669410523,2.107692106038229,,13.292087528447471,,15.801887291803236,-2.5097997633557654,,1.3300438293240613,60.71049265246879
Baseline,2078,,4457836.201785248,2.086616478970953,,13.292087528447471,,15.792581581574447,-2.5004940531269764,,1.3300438293240613,60.723259267425995
Baseline,2079,,4708886.421644236,2.0595757812380526,,13.292087528447471,,15.781498578086152,-2.489411049638681,,1.3300438293240613,60.73984911570865
Baseline,2080,,4972787.44516699,2.0331585999119284,,13.292087528447471,,15.766951617878453,-2.474864089430982,,1.3300438293240613,60.75630203219262
Baseline,2081,,5249278.993305915,1.990426882611814,,13.292087528447475,,15.755935584853875,-2.4638480564064,,1.3300438293240613,60.785498231960545
Baseline,2082,,5538760.107326224,1.9465539499670825,,13.292087528447471,,15.735432473706267,-2.4433449452587954,,1.3300438293240613,60.81813227498598
Baseline,2083,,5842459.751236258,1.9161064778892438,,13.292087528447475,,15.712267822708595,-2.4201802942611206,,1.3300438293240613,60.843756274084214
Baseline,2084,,6161382.545129923,1.8924711016185682,,13.292087528447475,,15.696831849278873,-2.404744320831398,,1.3300438293240613,60.86649329231262
Baseline,2085,,6496235.991056543,1.8692877308717328,,13.292087528447476,,15.684788404657509,-2.392700876210032,,1.3300438293240613,60.889606394051455
Baseline,2086,,6847757.929267966,1.8465345950531713,,13.292087528447476,,15.672830937239272,-2.380743408791796,,1.3300438293240613,60.91293574173945
Baseline,2087,,7216286.804347168,1.8181111831925278,,13.292087528447476,,15.662446265012274,-2.370358736564798,,1.3300438293240613,60.94132322489829
Baseline,2088,,7602563.368981654,1.790187297760454,,13.292087528447476,,15.648808149374798,-2.3567206209273213,,1.3300438293240613,60.971056290893515
Baseline,2089,,8007829.246091849,1.7687418375021906,,13.292087528447475,,15.634289722933914,-2.3422021944864397,,1.3300438293240613,60.997493272739725
Baseline,2090,,8432454.374486366,1.741666338894916,,13.292087528447475,,15.623816927466029,-2.3317293990185544,,1.3300438293240613,61.028069463836346
Baseline,2091,,8877269.561244931,1.7150127227651808,,13.292087528447475,,15.610717295428676,-2.3186297669812017,,1.3300438293240613,61.05978114721076
Baseline,2092,,9343317.496723605,1.690726387608592,,13.292087528447475,,15.597327411370546,-2.305239882923072,,1.3300438293240613,61.09095078036428
Baseline,2093,,9831517.205665657,1.6667842400483295,,13.292087528447475,,15.585235616246491,-2.2931480877990165,,1.3300438293240613,61.122718639190175
Baseline,2094,,10342623.99308449,1.641213804837733,,13.292087528447471,,15.573461756062816,-2.281374227615345,,1.3300438293240613,61.15634447172357
Baseline,2095,,10878015.682130532,1.6198605535761885,,13.292087528447475,,15.560592675199983,-2.268505146752508,,1.3300438293240613,61.18824278325214
Baseline,2096,,11438747.479591645,1.5987681478320042,,13.292087528447475,,15.550606640101863,-2.2585191116543886,,1.3300438293240613,61.2212268846064
Baseline,2097,,12024773.99055327,1.568280461090012,,13.292087528447475,,15.542297136336652,-2.250209607889177,,1.3300438293240613,61.26241012602724
Baseline,2098,,12637549.104297206,1.5419697775113832,,13.292087528447475,,15.527530263826977,-2.235442735379502,,1.3300438293240613,61.30264151377825
Baseline,2099,,13279897.57735245,1.5293298520474394,,13.292087528447475,,15.513323848227568,-2.2212363197800933,,1.3300438293240613,61.334583296038815
