scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,6438.135988104084,5.227971332597846,,57.996058187699326,,60.18688019281956,-2.190822005120232,,-4.250810079898885,37.91296650723487
Baseline,2031,,7009.585806390993,5.194215924537076,,57.996058187699326,,62.88598679974122,-4.889928612041892,,-4.250810079898885,38.23185319618633
Baseline,2032,,7622.469831565554,5.066195845071107,,57.996058187699326,,63.12358959959089,-5.127531411891567,,-4.250810079898885,38.79086342867034
Baseline,2033,,8277.973431744907,4.927171110834891,,57.996058187699326,,63.41124809092789,-5.4151899032285655,,-4.250810079898885,39.61598800716818
Baseline,2034,,8976.701593643553,4.7737312505771,,57.996058187699326,,63.7386006422708,-5.7425424545714705,,-4.250810079898885,40.72198142276583
Baseline,2035,,9726.271845785028,4.686158988086191,,57.99605818769932,,64.05461766369521,-6.058559475995892,,-4.250810079898885,42.04462732746832
Baseline,2036,,10527.21063786607,4.574683587605691,,57.996058187699326,,64.37012511722696,-6.374066929527636,,-4.250810079898885,43.56856536805168
Baseline,2037,,11375.670984781233,4.405495784339777,,57.996058187699326,,64.69170595322463,-6.695647765525301,,-4.250810079898885,45.30074566929738
Baseline,2038,,12278.254495517398,4.284378808307125,,57.996058187699326,,64.9780539217894,-6.98199573409007,,-4.250810079898885,47.16855748476097
Baseline,2039,,13231.657027795289,4.120742026958467,,57.996058187699326,,65.22882203835064,-7.232763850651317,,-4.250810079898885,49.142034115117134
Baseline,2040,,14226.457826126538,3.882452903979214,,57.99605818769932,,65.43979026790349,-7.443732080204171,,-4.250810079898885,51.2065916258978
Baseline,2041,,15262.321481719691,3.6533795719895465,,57.996058187699326,,65.59745027593469,-7.6013920882353645,,-4.250810079898885,53.303597876185776
Baseline,2042,,16327.112079203725,3.3590305055047907,,57.996058187699326,,65.719314584676,-7.723256396976673,,-4.250810079898885,55.43253562217069
Baseline,2043,,17399.654968615174,2.965305546316827,,57.996058187699326,,65.83655489808888,-7.8404967103895515,,-4.250810079898885,57.644997426878746
Baseline,2044,,18474.01606478115,2.584165697781856,,57.996058187699326,,65.97054765884945,-7.974489471150129,,-4.250810079898885,59.95925050524435
Baseline,2045,,19554.946682735233,2.2715809396565874,,57.996058187699326,,66.09324032993327,-8.09718214223394,,-4.250810079898885,62.33422274578099
Baseline,2046,,20642.61075548648,1.9923591619150471,,57.996058187699326,,63.972300794629035,-5.976242606929709,,-4.250810079898885,62.515964719744666
Baseline,2047,,21750.628250626756,1.8044665376165625,,57.996058187699326,,63.92374475809614,-5.927686570396816,,-4.250810079898885,62.73691141716975
Baseline,2048,,22888.57255150693,1.6732142027220647,,57.99605818769934,,63.826660612166044,-5.830602424466704,,-4.250810079898885,62.91420050357786
Baseline,2049,,24059.046170227513,1.5592177477418545,,57.996058187699326,,63.77659870140948,-5.780540513710157,,-4.250810079898885,63.08970719437416
Baseline,2050,,25275.348747283988,1.502888502662131,,57.996058187699326,,63.71730150705045,-5.7212433193511245,,-4.250810079898885,63.22217334350686
Baseline,2051,,26536.920318427558,1.440881373787903,,57.99605818769932,,63.70478770899271,-5.708729521293392,,-4.250810079898885,63.36561326265128
Baseline,2052,,27840.905559002586,1.366041492737864,,57.996058187699326,,63.704298242350646,-5.70824005465132,,-4.250810079898885,63.53860247467309
Baseline,2053,,29205.052278562638,1.3524569279393432,,57.99605818769932,,63.6749768124373,-5.678918624737982,,-4.250810079898885,63.674931259584305
Baseline,2054,,30609.686643058758,1.2652748731151604,,57.996058187699326,,63.719558271956984,-5.723500084257658,,-4.250810079898885,63.893986782002976
Baseline,2055,,32071.96787736185,1.2339947759253107,,57.996058187699326,,63.6913107392826,-5.695252551583273,,-4.250810079898885,64.08389411416945
Baseline,2056,,33603.09326671673,1.2309469240684479,,57.996058187699326,,63.69019190454533,-5.694133716846004,,-4.250810079898885,64.25808266934865
Baseline,2057,,35215.79556498136,1.2553308147104474,,57.996058187699326,,63.686960503024835,-5.690902315325509,,-4.250810079898885,64.39989441469926
Baseline,2058,,36915.03523843363,1.2804059691028584,,57.996058187699326,,63.68776501349317,-5.691706825793844,,-4.250810079898885,64.51569699414804
Baseline,2059,,38695.98323784477,1.2796633586362134,,57.996058187699326,,63.71288137113474,-5.716823183435416,,-4.250810079898885,64.6470215430288
Baseline,2060,,40562.662153888836,1.279188812894077,,57.996058187699326,,63.7227449030245,-5.726686715325172,,-4.250810079898885,64.77711677551092
Baseline,2061,,42508.273968251255,1.2527135146454924,,57.996058187699326,,63.740085501463405,-5.744027313764079,,-4.250810079898885,64.92876148941373
Baseline,2062,,44547.12935250837,1.2525343196957124,,57.996058187699326,,63.736441797264796,-5.74038360956547,,-4.250810079898885,65.06377559268162
Baseline,2063,,46695.77135929427,1.2785514115861218,,57.99605818769934,,63.74138781444552,-5.745329626746177,,-4.250810079898885,65.17680873384572
Baseline,2064,,48947.99242963907,1.2784347108058398,,57.996058187699326,,63.75721746540319,-5.761159277703861,,-4.250810079898885,65.29595532441304
Baseline,2065,,51269.13273565239,1.2000523181732774,,57.99605818769934,,63.82573819123201,-5.829680003532673,,-4.250810079898885,65.51950447899516
Baseline,2066,,53714.17927810985,1.2261276667516938,,57.99605818769934,,63.77781266051282,-5.781754472813482,,-4.250810079898885,65.66050634439519
Baseline,2067,,56290.32451457086,1.252197653449258,,57.99605818769934,,63.79159907243323,-5.795540884733889,,-4.250810079898885,65.78770488081048
Baseline,2068,,58974.81036688814,1.2260874306293488,,57.99605818769934,,63.83453185350968,-5.838473665810341,,-4.250810079898885,65.96235973456552
Baseline,2069,,61771.400196421324,1.2000070806212477,,57.99605818769934,,63.848215026163366,-5.852156838464026,,-4.250810079898885,66.15119703155626
Baseline,2070,,64683.93591749942,1.1739352569332056,,57.99605818769934,,63.87381331025673,-5.877755122557389,,-4.250810079898885,66.36500276958678
Baseline,2071,,67716.33557642417,1.1478510961337633,,57.99605818769934,,63.891560372427485,-5.895502184728144,,-4.250810079898885,66.59389820992362
Baseline,2072,,70872.59037064854,1.1217339839407714,,57.99605818769934,,63.91089902097661,-5.9148408332772675,,-4.250810079898885,66.83831884073139
Baseline,2073,,74175.91314074279,1.1216727841439251,,57.99605818769934,,63.90555490109541,-5.9094967133960665,,-4.250810079898885,67.0566201261025
Baseline,2074,,77593.03415469162,1.069352504037397,,57.99605818769934,,63.9671239693884,-5.971065781689063,,-4.250810079898885,67.34965965076528
Baseline,2075,,81167.43859916608,1.069183392399495,,57.99605818769934,,63.93833618691022,-5.94227799921088,,-4.250810079898885,67.58920138993113
Baseline,2076,,84950.3751095643,1.1214084455948523,,57.99605818769935,,63.93643252482823,-5.94037433712888,,-4.250810079898885,67.77460527074058
Baseline,2077,,88955.67052889854,1.1737825130725668,,57.99605818769934,,63.94333661465809,-5.947278426958746,,-4.250810079898885,67.91902960059933
Baseline,2078,,93173.94849779937,1.2000000786588174,,57.99605818769934,,63.972380496613,-5.976322308913659,,-4.250810079898885,68.06404317888061
Baseline,2079,,97617.54670144402,1.2262244581903872,,57.99605818769934,,63.974670813302076,-5.978612625602736,,-4.250810079898885,68.18277745037884
Baseline,2080,,102273.0595441734,1.2262176455247698,,57.996058187699326,,64.00166769498797,-6.005609507288646,,-4.250810079898885,68.31829053668451
Baseline,2081,,107178.33773711417,1.2524216699819135,,57.996058187699326,,63.977342163538395,-5.9812839758390695,,-4.250810079898885,68.4016527805301
Baseline,2082,,112376.97654825788,1.3047890347308737,,57.996058187699326,,63.97853857405152,-5.982480386352194,,-4.250810079898885,68.44670850826824
Baseline,2083,,117858.08555946017,1.3308507951901731,,57.99605818769932,,63.981156034921426,-5.985097847222107,,-4.250810079898885,68.47439470123776
Baseline,2084,,123670.08964155734,1.3829545493778284,,57.99605818769932,,63.96718884343599,-5.971130655736673,,-4.250810079898885,68.45357585099637
Baseline,2085,,129801.6756440374,1.4087135883559654,,57.99605818769932,,63.96309698366121,-5.967038795961891,,-4.250810079898885,68.41462045332403
Baseline,2086,,136271.66705045826,1.4343195280712422,,57.996058187699326,,63.93351484178486,-5.937456654085537,,-4.250810079898885,68.33374558028765
Baseline,2087,,143026.75712027316,1.407802875618927,,57.996058187699326,,63.920437928200954,-5.924379740501628,,-4.250810079898885,68.26320466163803
Baseline,2088,,150116.07177555293,1.407377049711414,,57.996058187699326,,63.90741449892621,-5.911356311226882,,-4.250810079898885,68.18609037024298
Baseline,2089,,157556.11899964837,1.4069529655572808,,57.99605818769932,,63.894444226505634,-5.898386038806315,,-4.250810079898885,68.10303088801949
Baseline,2090,,165322.12200250628,1.3807142859096047,,57.996058187699326,,63.906812788312976,-5.91075460061365,,-4.250810079898885,68.05570592207985
Baseline,2091,,173426.26799373294,1.3546218488579314,,57.99605818769932,,63.92638435489649,-5.9303261671971725,,-4.250810079898885,68.04808010401851
Baseline,2092,,181973.4446964583,1.3801169591361742,,57.996058187699326,,63.929666374596614,-5.933608186897288,,-4.250810079898885,68.02878202264135
Baseline,2093,,190892.883249291,1.3541116751704578,,57.996058187699326,,63.95811403135165,-5.9620558436523226,,-4.250810079898885,68.05554757829215
Baseline,2094,,200249.045603394,1.3538773441724032,,57.996058187699326,,63.95199861890361,-5.955940431204283,,-4.250810079898885,68.07400613084016
Baseline,2095,,210010.22080057822,1.328036437263009,,57.996058187699326,,63.9788444894401,-5.982786301740774,,-4.250810079898885,68.13354593153102
Baseline,2096,,220246.8545554598,1.3278746525242582,,57.996058187699326,,63.957461033497445,-5.961402845798119,,-4.250810079898885,68.16662092649332
Baseline,2097,,230982.089828577,1.3277132761290602,,57.99605818769932,,63.96119178666829,-5.965133598968968,,-4.250810079898885,68.20064792298938
Baseline,2098,,242179.20835838345,1.3020418452266682,,57.99605818769932,,63.98891687048318,-5.9928586827838615,,-4.250810079898885,68.27521861935759
Baseline,2099,,253918.86225497487,1.3019390581739287,,57.99605818769932,,63.968934108322415,-5.972875920623096,,-4.250810079898885,68.32339875264893
