scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,569.5128278858365,5.128373610565063,,37.37000378738261,,37.25381021203108,0.11619357535153085,,4.853485628519646,43.482010428133506
Baseline,2031,,619.6578617751762,5.125507060917812,,37.37000378738261,,38.998233195524655,-1.6282294081420474,,4.853485628519646,43.531124990682
Baseline,2032,,673.7515049208388,5.052752133218121,,37.37000378738261,,39.12665695664599,-1.7566531692633802,,4.853485628519646,43.73593253146854
Baseline,2033,,731.7694818998652,4.938341338859374,,37.37000378738261,,39.27703173162251,-1.9070279442398999,,4.853485628519646,44.129797592871526
Baseline,2034,,794.0341937812713,4.839408433940989,,37.370003787382615,,39.42416293989517,-2.054159152512554,,4.853485628519646,44.69736985028984
Baseline,2035,,860.8755279917345,4.751634334555902,,37.370003787382615,,39.56386799671705,-2.1938642093344356,,4.853485628519646,45.421718942790335
Baseline,2036,,932.8814244459471,4.699771372553727,,37.370003787382615,,39.666504291668886,-2.2965005042862714,,4.853485628519646,46.246649808609064
Baseline,2037,,1009.2544117380006,4.528293729805455,,37.370003787382615,,39.78007391019666,-2.410070122814048,,4.853485628519646,47.231833478034275
Baseline,2038,,1090.6458563108292,4.4101566584151755,,37.370003787382615,,39.856624008989186,-2.4866202216065716,,4.853485628519646,48.31500804900758
Baseline,2039,,1176.7844022561542,4.249216558700098,,37.370003787382615,,39.91016299830492,-2.5401592109223046,,4.853485628519646,49.49190863791676
Baseline,2040,,1266.8329626285247,4.011677777221266,,37.370003787382615,,39.945172223346574,-2.5751684359639597,,4.853485628519646,50.780449911131456
Baseline,2041,,1360.0512574158734,3.7278966267615203,,37.370003787382615,,39.96179446802899,-2.591790680646376,,4.853485628519646,52.187430273053316
Baseline,2042,,1455.61103446438,3.4069462635261942,,37.37000378738262,,39.960201660599026,-2.590197873216404,,4.853485628519646,53.71818815002377
Baseline,2043,,1551.4880674962192,2.982338821548879,,37.37000378738263,,39.9741480286842,-2.6041442413015687,,4.853485628519646,55.448806627274635
Baseline,2044,,1647.532745039571,2.5995049966311115,,37.37000378738263,,39.99234266243929,-2.6223388750566627,,4.853485628519646,57.37301171118092
Baseline,2045,,1743.2192383257188,2.229822172264818,,37.37000378738262,,40.025914545283925,-2.655910757901303,,4.853485628519646,59.511421499068355
Baseline,2046,,1838.891748347591,1.9210300214924132,,37.37000378738263,,40.081623235564095,-2.711619448181466,,4.853485628519646,61.864928258962635
Baseline,2047,,1935.7092086708897,1.7053040148158516,,37.37000378738263,,37.89890950997399,-0.5289057225913609,,4.853485628519646,62.15199035262736
Baseline,2048,,2033.875506696711,1.518198039095779,,37.37000378738263,,37.69033793763754,-0.32033415025490797,,4.853485628519646,62.343461857302806
Baseline,2049,,2134.5999941884147,1.4032297715105244,,37.37000378738263,,37.58243747034721,-0.21243368296457987,,4.853485628519646,62.49717270496174
