scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,44694.147917538874,6.3730638584518005,,20.139601917302603,,22.189800214986192,-2.0501982976835897,,4.387816897921259,53.44644099357778
Baseline,2031,,49170.70531566434,6.29563389120689,,20.139601917302603,,22.86207933216911,-2.722477414866507,,4.387816897921259,53.434721596537415
Baseline,2032,,54057.2774791178,6.2202652325462395,,20.1396019173026,,22.85312719345767,-2.713525276155071,,4.387816897921259,53.45062461406326
Baseline,2033,,59378.54891025574,6.129241672250416,,20.1396019173026,,22.833166246776155,-2.6935643294735563,,4.387816897921259,53.48929232231261
Baseline,2034,,65155.46420380476,6.0183188755470525,,20.1396019173026,,22.814655580555453,-2.6750536632528537,,4.387816897921259,53.56071275543181
Baseline,2035,,71413.94808966904,5.898997888632621,,20.1396019173026,,22.79583295043399,-2.656231033131391,,4.387816897921259,53.66724574401983
Baseline,2036,,78172.54517170378,5.7622931819545755,,20.139601917302603,,22.774305433748054,-2.6347035164454518,,4.387816897921259,53.813246062620536
Baseline,2037,,85443.90262032313,5.605484769630763,,20.1396019173026,,22.74867475999326,-2.6090728426906615,,4.387816897921259,54.00304450340397
Baseline,2038,,93212.05928496993,5.402442889336868,,20.1396019173026,,22.72239871635754,-2.5827967990549396,,4.387816897921259,54.25738606115215
Baseline,2039,,101435.13997481347,5.141938619355216,,20.1396019173026,,22.697597719425247,-2.5579958021226474,,4.387816897921259,54.60459437020625
Baseline,2040,,110063.55748284337,4.837043118493,,20.139601917302603,,22.67349828090653,-2.533896363603926,,4.387816897921259,55.065890516785686
Baseline,2041,,119018.79007349096,4.4796322242545585,,20.139601917302603,,22.651861864693874,-2.5122599473912715,,4.387816897921259,55.66926413735281
Baseline,2042,,128227.91383634054,4.094239332462664,,20.139601917302606,,22.630352903152087,-2.4907509858494805,,4.387816897921259,56.42917463260803
