scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,35043.209192543705,8.033268205458597,,23.955222915693543,,24.446577200805535,-0.4913542851119921,,3.0687188507582492,71.9182150913057
Baseline,2031,,39134.856932602845,7.899524172502524,,23.95522291569354,,24.329777200475142,-0.3745542847816026,,3.0687188507582492,66.74976285644857
Baseline,2032,,43665.452664831966,7.803749550135521,,23.955222915693543,,24.22068868618586,-0.265465770492316,,3.0687188507582492,61.92530509240834
Baseline,2033,,48680.00970433357,7.714046072787852,,23.955222915693543,,24.114113975665802,-0.15889105997225883,,3.0687188507582492,57.40979435369486
Baseline,2034,,54213.84671987594,7.601721014244589,,23.955222915693543,,28.067366266965784,-4.112143351272241,,3.0687188507582492,57.24379316165644
Baseline,2035,,60294.94489461668,7.455915656449591,,23.95522291569354,,28.107892288340892,-4.1526693726473525,,3.0687188507582492,57.20257340123783
Baseline,2036,,66953.38361164145,7.288031594057642,,23.955222915693543,,28.045932983508642,-4.090710067815099,,3.0687188507582492,57.18536683746477
Baseline,2037,,74211.3028431916,7.092036294059298,,23.955222915693547,,27.97064729526117,-4.015424379567623,,3.0687188507582492,57.19125260719686
Baseline,2038,,82073.41009699984,6.85431697325771,,23.955222915693547,,27.88725156222448,-3.9320286465309344,,3.0687188507582492,57.23164266528232
Baseline,2039,,90532.08435777735,6.576067453133064,,23.955222915693547,,27.809733911362766,-3.8545109956692194,,3.0687188507582492,57.33101995787439
Baseline,2040,,99553.49226091844,6.246254824135747,,23.955222915693543,,27.739430130545507,-3.784207214851964,,3.0687188507582492,57.51986457827948
Baseline,2041,,109088.8309011301,5.8725658193972095,,23.955222915693547,,27.677883216492322,-3.7226603007987755,,3.0687188507582492,57.8256101267893
Baseline,2042,,119076.38695261317,5.464187560915647,,23.955222915693547,,27.61951948972264,-3.6642965740290947,,3.0687188507582492,58.26544034921264
Baseline,2043,,129479.93791732968,5.059779267480181,,23.95522291569355,,27.563218365572858,-3.607995449879308,,3.0687188507582492,58.8362193716772
Baseline,2044,,140268.5378537975,4.668846407073772,,23.95522291569355,,27.5098317155881,-3.554608799894549,,3.0687188507582492,59.5321539449679
Baseline,2045,,151434.19127659034,4.30937010198511,,23.95522291569355,,27.459464222855456,-3.504241307161905,,3.0687188507582492,60.339102191508545
Baseline,2046,,163041.96457633097,4.024373136427556,,23.955222915693547,,26.657638299860576,-2.702415384167029,,3.0687188507582492,60.46548503258356
Baseline,2047,,175152.0436283616,3.794767255165894,,23.955222915693547,,26.491906591300992,-2.5366836756074456,,3.0687188507582492,60.548786699996015
Baseline,2048,,187872.39724612402,3.635230644261682,,23.95522291569355,,26.365409001746894,-2.4101860860533435,,3.0687188507582492,60.591637983455
Baseline,2049,,201284.24142651117,3.515753670584658,,23.95522291569355,,26.278016401654064,-2.3227934859605135,,3.0687188507582492,60.61262131411516
Baseline,2050,,215472.5224510611,3.428867831175637,,23.955222915693554,,26.211520402792072,-2.256297487098518,,3.0687188507582492,60.61529507559122
Baseline,2051,,230550.14056164765,3.3791949260508147,,23.955222915693554,,26.157171493293923,-2.201948577600369,,3.0687188507582492,60.59156279986075
Baseline,2052,,246561.16849089143,3.3282177224392058,,23.955222915693554,,26.105205647562503,-2.149982731868949,,3.0687188507582492,60.54553144962287
Baseline,2053,,263590.4539474117,3.291515309458333,,23.955222915693554,,26.051168186349212,-2.0959452706556583,,3.0687188507582492,60.46786478366248
Baseline,2054,,281698.7499331007,3.255903684460918,,23.955222915693554,,25.997891100485326,-2.042668184791772,,3.0687188507582492,60.35981519532764
Baseline,2055,,300931.90907699213,3.2150365510279784,,23.955222915693554,,25.946238238615997,-1.9910153229224434,,3.0687188507582492,60.227004775689295
Baseline,2056,,321375.43007486186,3.182033058726603,,23.955222915693554,,25.895690946158304,-1.94046803046475,,3.0687188507582492,60.06690634407215
Baseline,2057,,343075.4589097324,3.142257410755505,,23.955222915693554,,25.847744675396257,-1.8925217597027029,,3.0687188507582492,59.88680169072681
Baseline,2058,,366153.99295929563,3.1178315691760474,,23.955222915693557,,25.96839629589833,-2.0131733802047727,,3.0687188507582492,59.84725931797786
Baseline,2059,,390729.17710551067,3.1030988066784317,,23.955222915693557,,25.95270168130805,-1.997478765614492,,3.0687188507582492,59.80163636680493
Baseline,2060,,416827.2923949391,3.0718223954438315,,23.955222915693557,,25.942825159109564,-1.9876022434160063,,3.0687188507582492,59.765221286216146
Baseline,2061,,444503.00377803197,3.033440724868413,,23.955222915693554,,25.928481377189257,-1.9732584614957034,,3.0687188507582492,59.73720492904217
Baseline,2062,,473827.96432557364,2.9925090626474287,,23.955222915693554,,25.911249889727966,-1.9560269740344118,,3.0687188507582492,59.715841227980306
Baseline,2063,,504894.80282748595,2.9532029052245576,,23.955222915693557,,25.891882749985427,-1.93665983429187,,3.0687188507582492,59.69786159660693
Baseline,2064,,537801.0595562278,2.9154087912875326,,23.95522291569356,,25.872617514493847,-1.9173945988002856,,3.0687188507582492,59.68241077882018
