scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,16740.75818536741,8.483584058684102,,14.26584709545635,,16.759518666408443,-2.4936715709520936,,2.4657304838776386,36.79071734569755
Baseline,2031,,18779.375750570358,8.384125711497006,,14.26584709545635,,17.378882326740992,-3.113035231284643,,2.4657304838776386,36.71857441446654
Baseline,2032,,21043.890341956376,8.269100474973627,,14.26584709545635,,17.358734942916648,-3.0928878474602985,,2.4657304838776386,36.66816247684429
Baseline,2033,,23563.57015285783,8.186908776151185,,14.26584709545635,,17.31579543382473,-3.049948338368379,,2.4657304838776386,36.60459932142179
Baseline,2034,,26366.80827172404,8.112552167905832,,14.26584709545635,,17.279284437980095,-3.013437342523746,,2.4657304838776386,36.53296023790909
Baseline,2035,,29474.916584914426,8.007688992147962,,14.265847095456351,,17.247249758619134,-2.9814026631627826,,2.4657304838776386,36.46780424800088
Baseline,2036,,32902.3609724042,7.853471458353752,,14.26584709545635,,17.20876534881539,-2.942918253359041,,2.4657304838776386,36.41739348384472
Baseline,2037,,36668.0484341721,7.676364470279793,,14.265847095456351,,17.155490302190174,-2.8896432067338225,,2.4657304838776386,36.37282844762518
Baseline,2038,,40780.638932894726,7.454814729991583,,14.265847095456355,,17.098741114636262,-2.832894019179907,,2.4657304838776386,36.34405586551962
Baseline,2039,,45237.09923629441,7.176698063045322,,14.265847095456355,,17.029960439210136,-2.764113343753781,,2.4657304838776386,36.33565684785634
Baseline,2040,,50031.98373963791,6.859373664434116,,14.265847095456351,,16.943313381130388,-2.6774662856740363,,2.4657304838776386,36.340920876652284
Baseline,2041,,55143.72750871931,6.489808706765459,,14.265847095456351,,16.85018489803345,-2.5843378025770996,,2.4657304838776386,36.36951273369269
Baseline,2042,,60549.88978494682,6.09059563794041,,14.265847095456351,,16.756701365608325,-2.4908542701519742,,2.4657304838776386,36.42984205615373
Baseline,2043,,66233.4426461364,5.687499382222924,,14.26584709545635,,16.659535004768365,-2.393687909312016,,2.4657304838776386,36.51863263929696
Baseline,2044,,72170.80498251792,5.279513753296158,,14.265847095456351,,16.562925575395575,-2.2970784799392234,,2.4657304838776386,36.63776145401323
Baseline,2045,,78385.29891346871,4.9379847440212785,,14.265847095456351,,16.46340561379096,-2.19755851833461,,2.4657304838776386,36.762394607480964
Baseline,2046,,84903.1625555358,4.6523292677836565,,14.265847095456351,,16.36174841439483,-2.0959013189384805,,2.4657304838776386,36.87298691104969
Baseline,2047,,91774.7008559237,4.438051407622794,,14.26584709545635,,16.258406610196523,-1.992559514740174,,2.4657304838776386,36.94583257246007
Baseline,2048,,99004.88921651107,4.230138482174354,,14.265847095456351,,16.1607268051686,-1.8948797097122494,,2.4657304838776386,36.98706661096171
Baseline,2049,,106651.94730138722,4.0810817798484464,,14.265847095456351,,16.064937118098925,-1.7990900226425737,,2.4657304838776386,36.980754515895626
Baseline,2050,,114800.8947282792,4.000669162146565,,14.265847095456351,,15.971567781525335,-1.7057206860689842,,2.4657304838776386,36.908578772481256
Baseline,2051,,123490.83720448155,3.9319587512443945,,14.265847095456351,,15.939501551337242,-1.6736544558808912,,2.4657304838776386,36.83103426255061
Baseline,2052,,132739.65328013504,3.8545657618845013,,14.265847095456355,,15.916201992039055,-1.6503548965826997,,2.4657304838776386,36.760013869267326
Baseline,2053,,142602.35053376743,3.7972040910214844,,14.265847095456351,,15.888544925018763,-1.6226978295624122,,2.4657304838776386,36.684021007446404
Baseline,2054,,153116.96734399334,3.7423985855368045,,14.265847095456351,,15.867052176533242,-1.6012050810768912,,2.4657304838776386,36.60853111322992
Baseline,2055,,164307.78021657458,3.6798737748433297,,14.265847095456351,,15.84730167996802,-1.5814545845116683,,2.4657304838776386,36.5378090425168
Baseline,2056,,176239.35697462677,3.6345154999447544,,14.265847095456351,,15.823253562171539,-1.5574064667151877,,2.4657304838776386,36.461500585065664
Baseline,2057,,188922.56934959788,3.571578200800303,,14.265847095456351,,15.80770442864713,-1.5418573331907783,,2.4657304838776386,36.39422083369278
