scenario,year,real_gdp,nominal_gdp,real_gdp_growth_percent,nominal_gdp_growth_percent,revenue_percent_gdp,interest_expenditure_percent_gdp,primary_expenditure_percent_gdp,primary_balance_percent_gdp,overall_balance_percent_gdp,nominal_interest_rate,debt_to_gdp
Baseline,2030,,3122067.7259591366,6.290188714351828,,25.313053748358023,,27.93749587290073,-2.624442124542707,,2.74475328656968,30.388538964992144
Baseline,2031,,3434164.8444197355,6.276799779757653,,25.313053748358023,,27.848763828160276,-2.5357100798022536,,2.74475328656968,30.92082493154041
Baseline,2032,,3775873.8125997097,6.232153196678354,,25.313053748358023,,27.75091099126111,-2.437857242903089,,2.74475328656968,31.332304539061717
Baseline,2033,,4152750.0345240724,6.261995847096344,,25.313053748358026,,27.623925544025855,-2.310871795667829,,2.74475328656968,31.581609919099947
Baseline,2034,,4569103.485382383,6.305284517463704,,25.313053748358026,,27.462374201342698,-2.1493204529846714,,2.74475328656968,31.6409462482106
Baseline,2035,,5025242.036207592,6.263872786196771,,25.313053748358033,,27.2837887968848,-1.970735048526766,,2.74475328656968,31.529285132071593
Baseline,2036,,5518049.984686023,6.093382610277203,,25.313053748358033,,27.21908882062906,-1.9060350722710275,,2.74475328656968,31.40760526539452
Baseline,2037,,6041464.394357151,5.7830879068720975,,25.313053748358037,,27.202772850465056,-1.8897191021070192,,2.74475328656968,31.363638230152322
Baseline,2038,,6594245.0117366975,5.458723302584545,,25.313053748358037,,27.1514014614661,-1.8383477131080639,,2.74475328656968,31.36153422729163
Baseline,2039,,7173206.729015125,5.1012588772807845,,25.313053748358033,,27.09661645542757,-1.7835627070695352,,2.74475328656968,31.40517453062061
Baseline,2040,,7774459.336316375,4.716833043882858,,25.313053748358037,,27.06980779449997,-1.756754046141932,,2.74475328656968,31.528480211908434
Baseline,2041,,8392083.096510395,4.2939771900813355,,25.313053748358037,,27.069736690101454,-1.756682941743417,,2.74475328656968,31.766483639421626
Baseline,2042,,9020088.38492732,3.848605182419803,,25.313053748358044,,27.092878142268518,-1.7798243939104736,,2.74475328656968,32.14583782177187
Baseline,2043,,9653885.73907765,3.4072554149677643,,25.313053748358044,,27.132177115817942,-1.8191233674598983,,2.74475328656968,32.67891872197803
Baseline,2044,,10290958.13336529,2.9943277449366406,,25.313053748358044,,27.183637285598316,-1.8705835372402717,,2.74475328656968,33.36790876358219
Baseline,2045,,10930284.425490316,2.620777811030564,,25.313053748358044,,27.246164699961156,-1.933110951603112,,2.74475328656968,34.21158468209373
Baseline,2046,,11575239.444683282,2.319443770974374,,25.313053748358037,,27.31565122984538,-2.002597481487342,,2.74475328656968,35.19466646918744
Baseline,2047,,12228763.34395388,2.0733120941214054,,25.313053748358037,,27.393615264953937,-2.0805615165958997,,2.74475328656968,36.30875282173763
Baseline,2048,,12895787.191979699,1.8884528188125813,,25.313053748358044,,27.476689233650333,-2.163635485292289,,2.74475328656968,37.53938644105178
Baseline,2049,,13578674.578567361,1.7347149974786191,,25.313053748358044,,27.569225026268786,-2.2561712779107417,,2.74475328656968,38.886203536622304
Baseline,2050,,14281081.8231896,1.6162999505940974,,25.313053748358044,,27.66915467551662,-2.3561009271585753,,2.74475328656968,40.34454197255285
Baseline,2051,,15006485.50120583,1.5260607525184184,,25.313053748358044,,27.775950866682937,-2.462897118324893,,2.74475328656968,41.91103953723939
Baseline,2052,,15761052.004819594,1.4765886966030166,,25.313053748358044,,27.88172709504824,-2.568673346690197,,2.74475328656968,43.56848650077576
Baseline,2053,,16554560.292327369,1.4827198013400675,,25.313053748358044,,27.97361661372619,-2.6605628653681457,,2.74475328656968,45.279211934826506
Baseline,2054,,17393377.528116025,1.5139960384689317,,25.313053748358044,,28.046722670527206,-2.733668922169162,,2.74475328656968,47.01210157550588
Baseline,2055,,18273634.402377352,1.508090561392919,,25.313053748358044,,28.1116131000732,-2.7985593517151557,,2.74475328656968,48.77425521565831
Baseline,2056,,19195807.30888879,1.4941708912710396,,25.313053748358044,,28.17053392416172,-2.8574801758036763,,2.74475328656968,50.563023903924474
Baseline,2057,,20167280.961098835,1.508080910800814,,25.313053748358044,,28.21736412506515,-2.9043103767071052,,2.74475328656968,52.35265137983984
Baseline,2058,,21196468.52364075,1.549037634225428,,25.313053748358044,,28.24542079875807,-2.9323670504000248,,2.74475328656968,54.110233079224294
Baseline,2059,,22285722.445950422,1.5834263032048312,,25.313053748358044,,28.256694043520277,-2.9436402951622327,,2.74475328656968,55.821741469762
Baseline,2060,,23438098.39888636,1.6144114436014831,,25.31305374835805,,28.25286211402013,-2.9398083656620777,,2.74475328656968,57.47381151000782
Baseline,2061,,24658320.158795934,1.6484508089357917,,25.313053748358044,,28.23320399316452,-2.920150244806475,,2.74475328656968,59.04930976247189
Baseline,2062,,25954821.509758472,1.6984209392924612,,25.31305374835805,,28.1946007219209,-2.8815469735628483,,2.74475328656968,60.52100911298607
Baseline,2063,,27333607.711148858,1.7509706347811829,,25.313053748358044,,26.739609532285932,-1.4265557839278884,,2.74475328656968,60.472069273055666
Baseline,2064,,28796631.007069588,1.7898265933629034,,25.313053748358044,,26.670708498338584,-1.35765474998054,,2.74475328656968,60.332900487244466
Baseline,2065,,30339798.432062905,1.7959875341290825,,25.31305374835805,,26.59627650705547,-1.2832227586974199,,2.74475328656968,60.119183348409905
Baseline,2066,,31959558.791088093,1.776552120082016,,25.31305374835805,,26.52469476338309,-1.2116410150250374,,2.74475328656968,59.85038268422284
Baseline,2067,,33656328.32452621,1.747936604704961,,25.31305374835805,,26.71306268990076,-1.4000089415427084,,2.74475328656968,59.792986974433404
Baseline,2068,,35436664.263152175,1.7292279461660627,,25.31305374835805,,26.702191998297476,-1.3891382499394247,,2.74475328656968,59.736846749821964
Baseline,2069,,37300969.30397624,1.7014005634013074,,25.31305374835805,,26.694556586595485,-1.3815028382374344,,2.74475328656968,59.6903781213872
Baseline,2070,,39241933.63070733,1.6459154493030752,,25.31305374835805,,26.689971824895075,-1.3769180765370237,,2.74475328656968,59.67223964474085
Baseline,2071,,41255360.64675087,1.57565681579554,,25.31305374835805,,26.675118700223155,-1.3620649518651042,,2.74475328656968,59.67998187227636
Baseline,2072,,43331877.082235225,1.4814735569123059,,25.31305374835805,,26.664910642754688,-1.3518568943966365,,2.74475328656968,59.7314712305386
Baseline,2073,,45462759.95154261,1.3696495319047415,,25.313053748358055,,26.681817068147875,-1.3687633197898208,,2.74475328656968,59.86320104922406
Baseline,2074,,47662073.086284526,1.2923813022901243,,25.313053748358055,,26.715216440270186,-1.4021626919121317,,2.74475328656968,60.07032147638705
Baseline,2075,,49949526.81049815,1.255378233181716,,25.313053748358055,,26.558001020025507,-1.2449472716674528,,2.74475328656968,60.1376058094166
Baseline,2076,,52341978.03763585,1.2461232085666722,,25.313053748358055,,26.53417256193479,-1.2211188135767337,,2.74475328656968,60.18513206824413
Baseline,2077,,54839019.864889085,1.2276613196268613,,25.313053748358055,,26.532311738912217,-1.219257990554162,,2.74475328656968,60.24063237190284
Baseline,2078,,57422046.50410728,1.1692738216516858,,25.313053748358055,,26.534351498653002,-1.2212977502949478,,2.74475328656968,60.33119349239247
Baseline,2079,,60082893.13205551,1.095499045412268,,25.31305374835806,,26.518477380932577,-1.2054236325745151,,2.74475328656968,60.447381122486235
Baseline,2080,,62828706.135826975,1.033856285730053,,25.313053748358055,,26.491521031668714,-1.1784672833106598,,2.74475328656968,60.57072902164812
Baseline,2081,,65683794.08681345,1.0089286977056133,,25.313053748358055,,26.46147262560471,-1.1484188772466553,,2.74475328656968,60.676562543092004
Baseline,2082,,68657883.14351803,0.9931291294910096,,25.313053748358055,,26.449540874110053,-1.136487125751998,,2.74475328656968,60.777971607466554
Baseline,2083,,71717965.5665443,0.9246384851452945,,25.31305374835806,,26.456034772727612,-1.1429810243695506,,2.74475328656968,60.92468687770072
Baseline,2084,,74837884.30340439,0.8215082810321519,,25.313053748358055,,26.44250300299982,-1.1294492546417665,,2.74475328656968,61.116763690392645
Baseline,2085,,78039362.04027657,0.7515785610453065,,25.313053748358055,,26.400058609981475,-1.08700486162342,,2.74475328656968,61.30520816198354
Baseline,2086,,81376183.23744379,0.7495827423627617,,25.31305374835806,,26.3582395772999,-1.0451858289418396,,2.74475328656968,61.45025960575968
Baseline,2087,,84917494.3458502,0.8229742324756444,,25.31305374835806,,26.336010357834642,-1.02295660947658,,2.74475328656968,61.526877707841564
Baseline,2088,,88664338.87818849,0.881483328667926,,25.31305374835806,,26.361354708413128,-1.048300960055066,,2.74475328656968,61.5925255072929
Baseline,2089,,92619131.09886102,0.9279314767656217,,25.31305374835806,,26.382028932432817,-1.0689751840747554,,2.74475328656968,61.649906212124236
Baseline,2090,,96795232.40994586,0.9747798014671645,,25.31305374835806,,26.39634745251678,-1.0832937041587165,,2.74475328656968,61.69252966400403
Baseline,2091,,101200531.70719443,1.0156069365342262,,25.31305374835806,,26.411026934143976,-1.0979731857859143,,2.74475328656968,61.724599934525244
Baseline,2092,,105839330.81053957,1.0471202870987497,,25.31305374835806,,26.423433927547904,-1.1103801791898427,,2.74475328656968,61.74960577296618
Baseline,2093,,110704485.35418433,1.0596482380816497,,25.313053748358065,,26.435704975093714,-1.1226512267356483,,2.74475328656968,61.77892271067346
Baseline,2094,,115789394.93013932,1.0562590745797138,,25.31305374835806,,26.442161949598095,-1.129108201240033,,2.74475328656968,61.81621275823012
Baseline,2095,,121096120.51029962,1.046458260913056,,25.313053748358065,,26.43993242158173,-1.1268786732236649,,2.74475328656968,61.85650403723412
Baseline,2096,,126637734.83199601,1.0398176580552132,,25.31305374835806,,26.433448541545484,-1.1203947931874225,,2.74475328656968,61.8935971202121
Baseline,2097,,132419995.25386557,1.0299375376576734,,25.31305374835806,,26.428438502706108,-1.115384754348046,,2.74475328656968,61.930977365648275
Baseline,2098,,138439449.83018398,1.0103665121041843,,25.31305374835806,,26.423580426521763,-1.1105266781637013,,2.74475328656968,61.97463877913889
Baseline,2099,,144690496.38850144,0.9810290514547688,,25.31305374835806,,26.416726133771643,-1.1036723854135815,,2.74475328656968,62.02838873911375
