country,iso3c,params_label,worst_diff,worst_year,worst_metric,status,phase
Aruba,ABW,default,,,,ENGINE_DATA_GAP,2
Anguilla,AIA,default,,,,ENGINE_DATA_GAP,2
Andorra,AND,default,,,,ENGINE_DATA_GAP,2
Antigua and Barbuda,ATG,default,,,,ENGINE_DATA_GAP,2
Dominica,DMA,default,,,,ENGINE_DATA_GAP,2
Eritrea,ERI,default,,,,ENGINE_DATA_GAP,2
Micronesia,FSM,default,,,,ENGINE_DATA_GAP,2
Grenada,GRD,default,,,,ENGINE_DATA_GAP,2
Kiribati,KIR,default,,,,ENGINE_DATA_GAP,2
St. Kitts and Nevis,KNA,default,,,,ENGINE_DATA_GAP,2
Marshall Islands,MHL,default,,,,ENGINE_DATA_GAP,2
Montserrat,MSR,default,,,,ENGINE_DATA_GAP,2
Nauru,NRU,default,,,,ENGINE_DATA_GAP,2
Palau,PLW,default,,,,ENGINE_DATA_GAP,2
San Marino,SMR,default,,,,ENGINE_DATA_GAP,2
South Sudan,SSD,default,,,,ENGINE_DATA_GAP,2
Seychelles,SYC,default,,,,ENGINE_DATA_GAP,2
Turkmenistan,TKM,default,,,,ENGINE_DATA_GAP,2
Tuvalu,TUV,default,,,,ENGINE_DATA_GAP,2
Taiwan Province of China,TWN,default,,,,ENGINE_DATA_GAP,2
Venezuela,VEN,default,,,,ENGINE_DATA_GAP,2
Kosovo,XKX,default,,,,ENGINE_DATA_GAP,2
Yemen,YEM,default,,,,ENGINE_DATA_GAP,2
Afghanistan,AFG,default,0.0,,,TIMEOUT,2
Angola,AGO,default,0.0,2081,debt_to_gdp,PARITY_PASS,2
Albania,ALB,default,0.0,2046,debt_to_gdp,PARITY_PASS,2
United Arab Emirates,ARE,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Argentina,ARG,default,0.0,2048,debt_to_gdp,PARITY_PASS,2
Armenia,ARM,default,0.0,,,PYTHON_ERROR,2
Australia,AUS,default,0.0,2096,debt_to_gdp,PARITY_PASS,2
Austria,AUT,default,0.0,2041,debt_to_gdp,PARITY_PASS,2
Azerbaijan,AZE,default,0.0,2082,debt_to_gdp,PARITY_PASS,2
Burundi,BDI,default,0.0,2043,debt_to_gdp,PARITY_PASS,2
Belgium,BEL,default,0.0,2077,debt_to_gdp,PARITY_PASS,2
Benin,BEN,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Burkina Faso,BFA,default,0.0,,,PYTHON_ERROR,2
Bangladesh,BGD,default,0.0,,,PYTHON_ERROR,2
Bulgaria,BGR,default,0.0,2095,debt_to_gdp,PARITY_PASS,2
Bahrain,BHR,default,0.0,2080,debt_to_gdp,PARITY_PASS,2
The Bahamas,BHS,default,0.0,2055,debt_to_gdp,PARITY_PASS,2
Bosnia and Herzegovina,BIH,default,0.0,2086,debt_to_gdp,PARITY_PASS,2
Belarus,BLR,default,0.0,,,PYTHON_ERROR,2
Belize,BLZ,default,0.0,2096,debt_to_gdp,PARITY_PASS,2
Bolivia,BOL,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Brazil,BRA,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Barbados,BRB,default,0.0,2070,debt_to_gdp,PARITY_PASS,2
Brunei Darussalam,BRN,default,0.0,2069,debt_to_gdp,PARITY_PASS,2
Bhutan,BTN,default,0.0,,,TIMEOUT,2
Botswana,BWA,default,0.0,2092,debt_to_gdp,PARITY_PASS,2
Central African Republic,CAF,default,0.0,2062,debt_to_gdp,PARITY_PASS,2
Canada,CAN,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Switzerland,CHE,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Chile,CHL,default,0.0,2094,debt_to_gdp,PARITY_PASS,2
China,CHN,default,0.0,2093,debt_to_gdp,PARITY_PASS,2
Côte d'Ivoire,CIV,default,0.0,2091,debt_to_gdp,PARITY_PASS,2
Cameroon,CMR,default,0.0,2098,debt_to_gdp,PARITY_PASS,2
Democratic Republic of the Congo,COD,default,0.0,2062,debt_to_gdp,PARITY_PASS,2
Republic of Congo,COG,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Colombia,COL,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Comoros,COM,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Cabo Verde,CPV,default,0.0,2090,debt_to_gdp,PARITY_PASS,2
Costa Rica,CRI,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Cyprus,CYP,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Czech Republic,CZE,default,0.0,2068,debt_to_gdp,PARITY_PASS,2
Germany,DEU,default,0.0,2084,debt_to_gdp,PARITY_PASS,2
Djibouti,DJI,default,0.0,,,PYTHON_ERROR,2
Denmark,DNK,default,0.0,2098,debt_to_gdp,PARITY_PASS,2
Dominican Republic,DOM,default,0.0,2047,debt_to_gdp,PARITY_PASS,2
Algeria,DZA,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Ecuador,ECU,default,0.0,2094,debt_to_gdp,PARITY_PASS,2
Egypt,EGY,default,0.0,2067,debt_to_gdp,PARITY_PASS,2
Spain,ESP,default,0.0,2092,debt_to_gdp,PARITY_PASS,2
Estonia,EST,default,0.0,2087,debt_to_gdp,PARITY_PASS,2
Ethiopia,ETH,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Finland,FIN,default,0.0,2096,debt_to_gdp,PARITY_PASS,2
Fiji,FJI,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
France,FRA,default,0.0,2044,debt_to_gdp,PARITY_PASS,2
Gabon,GAB,default,0.0,2094,debt_to_gdp,PARITY_PASS,2
United Kingdom,GBR,default,0.0,2080,debt_to_gdp,PARITY_PASS,2
Georgia,GEO,default,0.0,2098,debt_to_gdp,PARITY_PASS,2
Ghana,GHA,default,0.0,2085,debt_to_gdp,PARITY_PASS,2
Guinea,GIN,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
The Gambia,GMB,default,0.0,2092,debt_to_gdp,PARITY_PASS,2
Guinea-Bissau,GNB,default,0.0,2045,debt_to_gdp,PARITY_PASS,2
Equatorial Guinea,GNQ,default,0.0,2088,debt_to_gdp,PARITY_PASS,2
Greece,GRC,default,0.0,2069,debt_to_gdp,PARITY_PASS,2
Guatemala,GTM,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
Guyana,GUY,default,0.0,2081,debt_to_gdp,PARITY_PASS,2
Hong Kong SAR,HKG,default,0.0,,,PYTHON_ERROR,2
Honduras,HND,default,0.0,2097,debt_to_gdp,PARITY_PASS,2
Croatia,HRV,default,0.0,2093,debt_to_gdp,PARITY_PASS,2
Haiti,HTI,default,0.0,2096,debt_to_gdp,PARITY_PASS,2
Hungary,HUN,default,0.0,2099,debt_to_gdp,PARITY_PASS,2
